RX06171201,46.7 ,47.9 ,50.8 ,46.6 ,51.8 ,46.6 ,43.8 ,48.6 ,53.7 ,62.0 ,53.7 ,58.9 ,46.0 ,50.8 ,41.1 ,51.2 
RX06171202,57.0 ,49.1 ,53.2 ,54.6 ,42.5 ,40.4 ,56.4 ,41.2 ,55.1 ,45.0 ,51.1 ,60.2 ,42.3 ,51.8 ,48.4 ,51.7 
RX06171203,46.6 ,54.3 ,47.3 ,44.6 ,45.8 ,50.7 ,62.8 ,46.6 ,54.3 ,51.5 ,49.4 ,50.0 ,50.8 ,51.0 ,52.2 ,42.1 
RX06171204,59.7 ,43.2 ,51.6 ,54.8 ,46.7 ,53.7 ,48.2 ,54.3 ,44.8 ,50.7 ,48.4 ,45.6 ,50.9 ,52.2 ,49.6 ,45.6 
RX06171205,50.0 ,56.2 ,46.1 ,52.1 ,49.8 ,53.2 ,41.3 ,46.2 ,42.5 ,49.4 ,52.2 ,53.7 ,60.0 ,49.0 ,49.6 ,48.6 
RX06171207,50.9 ,53.8 ,41.4 ,53.6 ,45.2 ,46.6 ,58.5 ,56.4 ,50.1 ,47.3 ,58.1 ,48.6 ,44.8 ,49.9 ,46.1 ,48.8 
RX06171209,50.1 ,44.4 ,48.4 ,48.2 ,52.3 ,48.0 ,55.2 ,54.2 ,49.2 ,,,,,,,
RX06171211,50.7 ,54.7 ,51.1 ,48.5 ,54.7 ,50.5 ,47.0 ,53.4 ,42.9 ,43.8 ,50.7 ,49.5 ,50.7 ,52.0 ,,
RX06171212,49.6 ,45.3 ,49.0 ,55.0 ,60.1 ,50.9 ,44.8 ,49.0 ,48.0 ,43.8 ,47.9 ,50.3 ,56.3 ,57.5 ,44.7 ,47.7 
RX08171201,52.6 ,47.8 ,49.7 ,54.8 ,50.7 ,55.6 ,46.2 ,51.3 ,53.7 ,49.9 ,47.5 ,51.4 ,41.3 ,43.9 ,51.7 ,52.0 
RX08171202,41.4 ,49.5 ,56.2 ,48.9 ,50.7 ,48.8 ,43.7 ,40.3 ,52.4 ,53.7 ,50.8 ,55.4 ,44.6 ,49.8 ,57.2 ,56.6 
RX08171203,46.1 ,45.3 ,49.3 ,50.2 ,51.4 ,53.9 ,43.1 ,44.1 ,49.1 ,50.3 ,50.2 ,53.9 ,56.6 ,50.2 ,60.4 ,45.9 
RX08171204,60.2 ,56.7 ,44.3 ,44.2 ,52.9 ,52.0 ,46.3 ,49.9 ,39.9 ,44.4 ,47.7 ,49.0 ,51.3 ,54.6 ,52.2 ,54.6 
RX08171205,46.5 ,42.9 ,47.3 ,46.9 ,58.8 ,38.8 ,47.6 ,57.6 ,40.9 ,60.5 ,50.9 ,53.0 ,48.7 ,56.9 ,46.9 ,55.8 
RX08171206,57.1 ,50.5 ,43.1 ,50.5 ,46.0 ,45.0 ,56.0 ,50.5 ,49.7 ,48.1 ,66.0 ,50.2 ,48.0 ,48.2 ,40.6 ,50.5 
RX08171208,49.0 ,46.4 ,46.8 ,44.7 ,43.8 ,49.4 ,44.9 ,50.2 ,50.8 ,48.7 ,69.2 ,48.5 ,42.5 ,51.2 ,57.5 ,56.2 
RX08171209,52.8 ,46.9 ,45.1 ,51.3 ,51.1 ,50.9 ,50.9 ,52.6 ,48.5 ,,,,,,,
RX08171210,56.4 ,42.6 ,60.7 ,52.8 ,40.9 ,57.0 ,46.3 ,49.1 ,46.6 ,54.9 ,48.1 ,44.2 ,50.0 ,51.2 ,55.2 ,44.1 
RX08171211,51.7 ,51.2 ,35.7 ,46.7 ,51.4 ,57.0 ,54.4 ,49.0 ,45.5 ,49.9 ,50.6 ,50.5 ,56.3 ,47.4 ,55.4 ,47.3 
RX08171212,44.7 ,53.2 ,53.5 ,47.8 ,51.4 ,42.7 ,50.2 ,48.8 ,60.3 ,55.1 ,47.3 ,49.8 ,48.6 ,47.7 ,49.9 ,49.0 
