RX04172201,45.1 ,49.3 ,44.9 ,48.7 ,61.8 ,48.2 ,51.3 ,49.7 ,54.6 ,54.7 ,45.3 ,57.3 ,47.8 ,45.2 ,46.0 ,,,
RX04172203,59.8 ,46.8 ,47.8 ,48.8 ,44.9 ,50.6 ,49.5 ,50.9 ,46.1 ,53.2 ,53.2 ,58.2 ,44.0 ,47.7 ,48.5 ,,,
RX04172205,54.3 ,48.3 ,48.3 ,48.6 ,51.7 ,54.3 ,47.7 ,43.1 ,53.6 ,,,,,,,,,
RX04172206,56.7 ,65.2 ,45.4 ,47.7 ,48.9 ,54.8 ,47.1 ,46.8 ,49.9 ,50.7 ,51.3 ,48.2 ,47.3 ,45.2 ,44.8 ,,,
RX04172207,57.9 ,49.8 ,50.9 ,52.2 ,46.5 ,44.7 ,46.9 ,47.6 ,48.2 ,51.7 ,54.6 ,50.5 ,50.7 ,47.5 ,50.3 ,,,
RX04172209,49.3 ,50.6 ,21.5 ,41.4 ,45.4 ,38.1 ,57.6 ,49.0 ,58.1 ,49.5 ,60.6 ,62.4 ,50.7 ,55.2 ,45.1 ,49.4 ,51.8 ,64.3 
RX04172210,49.7 ,49.8 ,46.2 ,50.7 ,43.0 ,49.0 ,52.9 ,55.2 ,54.3 ,50.1 ,43.9 ,52.2 ,50.3 ,53.2 ,49.4 ,,,
RX04172211,46.0 ,41.9 ,59.7 ,52.0 ,49.0 ,55.1 ,46.0 ,46.4 ,60.3 ,61.4 ,49.3 ,49.2 ,42.4 ,52.8 ,38.8 ,49.7 ,,
RX04172212,45.9 ,50.4 ,47.0 ,48.8 ,48.6 ,55.5 ,51.2 ,52.9 ,53.2 ,51.0 ,53.3 ,40.3 ,50.0 ,52.9 ,49.0 ,,,
RX10172202,42.9 ,59.5 ,51.1 ,54.3 ,52.6 ,43.6 ,46.2 ,57.8 ,53.8 ,37.7 ,57.6 ,47.0 ,47.3 ,51.1 ,49.0 ,48.6 ,,
RX10172203,47.4 ,51.2 ,57.6 ,51.8 ,44.2 ,45.1 ,48.4 ,48.8 ,49.1 ,50.9 ,46.6 ,52.3 ,56.7 ,50.0 ,,,,
RX10172204,42.4 ,59.0 ,45.1 ,64.7 ,34.0 ,50.7 ,53.1 ,42.6 ,56.3 ,44.6 ,50.4 ,35.7 ,39.4 ,72.0 ,54.9 ,59.7 ,47.0 ,48.3 
RX10172205,39.4 ,45.2 ,45.8 ,63.8 ,58.4 ,45.9 ,43.9 ,56.4 ,46.8 ,41.9 ,49.6 ,57.3 ,56.0 ,46.6 ,55.5 ,54.5 ,42.9 ,
RX10172206,46.4 ,53.9 ,49.4 ,48.6 ,55.4 ,48.5 ,47.4 ,48.6 ,51.8 ,,,,,,,,,
RX10172207,48.5 ,48.8 ,52.9 ,44.7 ,50.1 ,48.9 ,50.6 ,45.1 ,51.9 ,50.8 ,47.6 ,48.0 ,46.8 ,54.6 ,58.5 ,52.3 ,,
RX10172208,51.5 ,40.1 ,38.3 ,43.8 ,35.5 ,52.9 ,65.3 ,53.0 ,37.9 ,33.5 ,54.3 ,59.0 ,54.5 ,48.9 ,48.8 ,60.0 ,67.1 ,55.4 
RX10172209,48.2 ,45.7 ,53.3 ,48.6 ,47.8 ,48.8 ,52.8 ,54.8 ,48.7 ,51.3 ,,,,,,,,
RX10172210,52.9 ,50.9 ,45.1 ,47.7 ,49.5 ,50.5 ,56.9 ,47.3 ,50.3 ,54.0 ,45.0 ,,,,,,,
RX10172211,49.5 ,54.1 ,57.5 ,46.9 ,49.3 ,47.6 ,43.6 ,46.1 ,48.5 ,54.9 ,56.3 ,51.9 ,50.3 ,43.2 ,47.6 ,52.6 ,,
RX10172212,49.9 ,52.4 ,47.5 ,50.4 ,53.2 ,49.3 ,46.7 ,46.5 ,52.9 ,51.2 ,,,,,,,,
RX01171201,48.5 ,54.5 ,47.3 ,42.2 ,50.4 ,57.2 ,,,,,,,,,,,,
RX01171202,52.8 ,53.2 ,45.1 ,52.6 ,49.0 ,51.5 ,53.1 ,47.4 ,52.7 ,39.9 ,54.4 ,48.5 ,,,,,,
RX01171203,47.8 ,49.9 ,50.2 ,44.4 ,53.2 ,51.4 ,55.0 ,49.7 ,50.2 ,48.2 ,,,,,,,,
RX01171205,51.8 ,49.0 ,48.3 ,48.0 ,45.4 ,53.5 ,54.1 ,,,,,,,,,,,
RX01171206,56.0 ,52.4 ,43.9 ,47.0 ,48.8 ,49.1 ,53.2 ,47.5 ,46.1 ,49.8 ,54.9 ,51.2 ,,,,,,
RX01171207,54.5 ,49.2 ,41.5 ,51.9 ,50.6 ,52.8 ,49.2 ,50.1 ,48.9 ,49.3 ,53.2 ,48.8 ,,,,,,
RX01171208,48.3 ,53.5 ,45.5 ,54.5 ,45.4 ,46.4 ,54.2 ,53.6 ,47.3 ,50.4 ,52.5 ,48.5 ,,,,,,
RX01171209,53.2 ,46.2 ,50.9 ,53.1 ,47.5 ,45.3 ,48.1 ,50.7 ,55.0 ,,,,,,,,,
RX01171210,47.5 ,53.0 ,47.3 ,49.2 ,51.1 ,52.3 ,48.5 ,52.0 ,52.6 ,46.1 ,48.5 ,52.4 ,49.5 ,,,,,
RX01171211,54.3 ,48.9 ,49.2 ,52.3 ,47.7 ,52.8 ,51.3 ,47.3 ,50.1 ,49.9 ,47.4 ,51.3 ,47.5 ,,,,,
