03143401
1,オルフィーク,70.52,63.7,55.4,116
2,サンコールドウェル,72.48,27.8,51.7,84
3,サノノゲーム,70.69,40.2,47.5,86
4,シゲルオハシリサン,70.68,64.7,52.3,83
5,キタノスバル,71.47,39.4,37.8,88
6,ウリボー,70.18,74.0,53.3,116
7,ツバサ,71.67,24.6,54.8,86
8,トリアンドルス,70.62,63.0,48.2,109
9,トウショウカウント,70.25,70.9,56.5,110
10,カンタベリーヒメ,71.26,41.1,49.3,88
11,デルマゴシンゾサン,70.92,56.6,45.6,95
12,タケルラグーン,71.02,66.1,58.8,96
13,ペイシャンスイット,71.48,31.8,50.6,93
14,シーキングザライト,70.60,63.9,42.6,99
15,セイウンアワード,71.86,44.0,51.1,94
16,ユキノマイクイーン,73.05,27.3,44.6,83
03143402
1,ゴールデンボーダー,109.97,69.1,54.1,105
2,ファストクリス,111.52,18.8,43.3,97
3,アプリケーション,111.21,24.9,44.1,94
4,グリシーヌシチー,109.22,65.3,52.2,117
5,ミヤコエンパイア,110.79,54.1,36.9,106
6,レーヴラヴィッサン,110.53,54.5,56.1,110
7,アヴェントゥリーナ,110.59,43.6,56.2,95
8,フローリアンヌ,109.30,67.0,49.7,104
9,トラストルシファー,109.84,54.4,58.9,111
10,ダンスアンドボイス,110.11,40.8,44.4,102
11,カノンブルー,110.66,37.1,51.1,106
12,ノンリケット,110.48,45.8,48.8,100
13,エスティエッキー,110.56,65.1,55.4,109
14,ゼイロングトゥビー,110.19,56.5,47.3,110
15,レディームーン,110.47,37.7,49.7,93
16,ウインフォーエバー,110.25,64.5,51.8,109
03143403
1,トウカイエントリー,107.52,67.5,54.8,0
2,ニューハウン,107.42,76.7,56.7,110
3,モンプレジール,107.71,47.1,42.3,90
4,マヴェリックブルー,108.89,25.7,49.2,83
5,ローレルアルトス,107.62,60.2,52.1,103
6,ダンツトーラス,107.29,68.0,46.4,111
7,ジュガンティーヤ,108.00,51.6,47.2,96
8,ゼンノブショウ,109.08,23.5,49.9,91
9,ゲームフェイス,107.91,64.0,53.9,111
10,アチーヴ,107.72,49.8,52.4,89
11,ラブインザミスト,109.63,21.0,47.5,0
12,エヴリシーズン,107.53,47.9,48.5,85
13,トーセンミラージュ,107.86,65.7,53.6,108
14,クルトメッシュ,108.31,30.5,45.3,89
03143404
1,メイショウムシャ,184.40,,,113
2,スリーロンドン,185.21,,,91
3,ヘンリーフォンテン,189.06,,,83
4,ブリリアントダンス,185.76,,,91
5,クレバーアポロ,185.68,,,97
6,テイエムスラッガー,185.27,,,96
7,スズカホープ,185.70,,,93
8,コウヨウレジェンド,184.62,,,90
9,ヤマニンルポ,185.50,,,107
10,オーパルス,184.00,,,102
11,ドリームヒーロー,185.28,,,99
12,ライクアラヴァー,187.71,,,95
13,ボンジュールショウ,188.06,,,84
14,エルインペレイター,185.62,,,102
03143405
1,シャトージョイナー,72.32,26.5,48.7,
2,ハッピーホリハル,69.88,59.8,47.4,
