,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
êVäÉ,,,,,,,,,,,,,,,,,,
RX04143601,56.7,52.2,48,47.4,45.2,52.2,46.1,46.2,49.5,52.8,57.6,50,46.2,52.8,47.1, , , 
RX04143602,46.9,49.6,35.2,41.9,39.2,46.8,68.1,62.9,48.4,52.1,57,55.3,49.3,67.9,32.7,42.6,54.9,49
RX04143603,52.6,54.8,48.5,54.3,55,42.9,43.5,50.9,50.1,56.8,46.7,53.4,42,51.9,46.6, , , 
, , , , , , , , , , , , , , , , , , 
RX04143605,46.8,50.1,57.6,47.1,48.6,50.3,54,53,42.6, , , , , , , , , 
RX04143606,48.3,56.5,50.3,55,45.3,46.5,49.4,44.3,47.5,46.8,49.6,63.6,48.6,51.2,47, , , 
, , , , , , , , , , , , , , , , , , 
RX04143608,45.6,50.3,47.4,54.9,60.3,48.2,48.6,51.2,47,51.5,52.8,46.3,50.4,49.3,46.1, , , 
RX04143609,50.9,49,56,46.2,47,49,51.9,50, , , , , , , , , , 
RX04143610,52.6,51.8,47,51.3,47.3,49.3,52.2,55.6,57.1,50.9,41.6,49.1,51.1,42.8,50.4, , , 
, , , , , , , , , , , , , , , , , , 
RX04143612,57,53.8,49.9,42,45.4,46.7,61.3,52.9,54.3,46.4,46.5,45.7,52.5,46.5,48.9, , , 
ç„ê_, , , , , , , , , , , , , , , , , , 
RX09144601,54.3,54,51.2,52,39.7,48.7,53.7,45,42.2,41.8,65.1,52.1,60.9,45.5,47.8,46.2, , 
RX09144602,46.4,40.3,56.6,45.2,54,60.8,53.3,38.2,52.3,31.6,45.7,55.2,37.7,67.4,57.5,59.9,38,60.1
RX09144603,49,46.4,55.1,48.2,54.6,46.4,46.5,46.8,51.6,51.6,59.7,49.5,50.4,44.7,45.6,54.1, , 
, , , , , , , , , , , , , , , , , , 
RX09144605,43.8,55.4,52.1,53.9,49.1,53.7,52.8,48.5,45.4,50.7,48.4,55.9,40.3, , , , , 
RX09144606,51.1,48,52.1,47.3,51.7,44.3,57.3,44.1,54.3,52.7,53.5,44.1,48.2,52,50.8,48.4, , 
RX09144607,50.9,46.9,59.9,42.8,46.5,55.3,50.5,48.8,62,49.5,48.4,46.8,45,49.7,48.1,48.8, , 
RX09144608,53.1,54.5,51.9,48.8,42.9,48.7,52.8,53.4,48.6,50.4,50.9,57.3,45.5,49.5,49.2,42.6, , 
RX09144609,57.6,54.7,58.2,45,51.4,44.2,48.7,48,54.7,45.8,52,43.7,50.2,51,44.9, , , 
RX09144610,56.4,44.1,48.7,43.1,60.3,47.9,57.1,45.7,53.4,51.9,48.6,47.4,46.1,49.3, , , , 
, , , , , , , , , , , , , , , , , , 
RX09144612,50.9,55.3,52.2,40.6,50.3,57.1,50.4,52.6,44.5,50,46.3,44,45.6,48.2,62.8,49.2, , 
0,,,,,,,,,,,,,,,,,,
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
