RAA20081122200811214308050880000さざんか賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        さざんか賞　　　　　さざんか賞　さざん0000  000000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    000110000000330000001980000013200000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20081121200811204308040170000中央認定　イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        中央認定　イ　　　　中央認定　イ中央認0000  000000000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002300    000200000000600000003600000024000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20081119200811184308020250000サラ系２歳　アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系２歳　アイ　　サラ系２歳　サラ系0000  000000000000000000000３６万上７５万未満　　　　　　　　　　　　　　　　　　　　　150000002300    000130000000390000002340000015600000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20081120200811194308031060000習志野きらっとオープン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       習志野きらっとオープ習志野きらっ習志野0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    00045000000135000000900000005400000036000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,13,12,(8,11),1,6,(5,10),4,(2,3),7,9                                2014,13,12,8,11,1,6,(5,10),(3,4),2,7,9                                  3014,12,13,(1,8),11,10,6,3,4,(5,7),2,9                                  4012,14,13,1,(8,10),(3,11),(5,6),4,7,2,9                                0
RAA20081118200811174308010540000サラ系一般　Ｃ２二アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,10,3,2,11,8,6,4,12,(1,9),5                                          302,3,(7,10),11,4,6,8,12,1,5,9                                          402,3,10,11,4,8,6,7,12,1,5,9                                            00                                                                      0
RAA20081118200811174308010640000サラ系一般　Ｃ２二アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,9,3,6,14,5,11,2,13,10,(7,12),4                                    201,8,9,(3,6),14,5,11,2,13,10,12,7,4                                    301,8,3,6,9,5,11,14,2,13,10,12,7,4                                      401,8,3,6,11,5,(9,14),2,13,10,(4,12),7                                  0
RAA20081118200811174308010940000ナナカマド特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ナナカマド特別　　　ナナカマド特ナナカ0000E 120000000000000000000サラ系３歳　１４６万上　　　　　　　　　　　　　　　　　　　160000002300    00018000000054000000360000002160000014400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,13,5,14,4,12,2,(1,11),3,8,7,6                                    2010,9,13,(5,14),4,12,2,11,1,3,(6,8),7                                  3010,9,13,5,14,11,12,(2,7),4,8,1,3,6                                    4010,9,13,5,11,14,2,7,8,12,1,3,6,4                                      0
RAA20081118200811174308011140000サラ系一般　Ｃ１五アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,5,3,7,4,11,12,8,9,13,(6,14),10                                    202,1,5,3,(4,7),(8,12),9,(6,11),13,14,10                                302,1,5,3,(6,9),12,7,8,(4,13),10,11,14                                  40(1,2),5,6,9,3,12,7,8,10,13,4,11,14                                    0
RAA20081119200811184308020350000サラ系３歳　アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　アイ　　サラ系３歳　サラ系0000  120000000000000000000１１２万上１４６万未満　　　　　　　　　　　　　　　　　　　120000002300    000110000000330000001980000013200000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(2,4,10),7,5,(1,12),9,6,3,11,8                                        30(2,4),10,7,12,6,5,9,1,(3,11),8                                        40(2,4),10,7,12,5,6,9,11,(1,3),8                                        00                                                                      0
RAA20081119200811184308020450000サラ系３歳　アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　アイ　　サラ系３歳　サラ系0000  120000000000000000000１１２万上１４６万未満　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,11,8,4,(2,7),(3,5),(6,12),9,13,14                                201,10,11,8,4,7,(3,5),2,(6,12),9,13,14                                  30(1,10),3,(8,11),7,5,4,12,9,6,13,14,2                                  4010,3,1,(8,11),7,5,4,12,9,13,14,6,2                                    0
RAA20081119200811184308020950000養老特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          養老特別　Ｂ２二　　養老特別　Ｂ養老特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00026000000078000000520000003120000020800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,8,(3,14),(4,11),(5,9),13,12,7,(1,2)                              2010,6,8,3,14,4,11,(5,9),13,(7,12),(1,2)                                3010,6,8,14,4,11,(3,9),13,5,12,7,(1,2)                                  4010,6,8,14,4,9,11,3,13,12,5,7,(1,2)                                    0
