RAA20090519200905183501030640000３歳Ｃ１一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        ３歳Ｃ１一組　　　　３歳Ｃ１一組３歳Ｃ0000  000000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    000025000000050000000250000001800000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090602200905313502020620000正樹＆真由美マリッジＣ３歳Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        正樹＆真由美マリッジ正樹＆真由美正樹＆0000  000000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    000030000000060000000300000002100000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090525200905233501040210000Ｃ２十六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        Ｃ２十六組　　　　　Ｃ２十六組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000014000000028000000140000001000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090519200905163501010710000Ｂ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２五組　　　　　　Ｂ２五組　　Ｂ２五0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000250000000500000002500000018000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,10,(2,4,8),6,9,1,7                                                403,10,2,8,5,4,1,6,7,9                                                  00                                                                      00                                                                      0
RAA20090602200905313502020720000マリオス２０Ｆスカイメトロ杯Ｂ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     マリオス２０Ｆスカイマリオス２０マリオ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000250000000500000002500000018000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,10,5,2,(4,7),1,3,8,6                                                409,2,10,(1,5,7),8,3,4,6                                                00                                                                      00                                                                      0
RAA20090519200905163501011110000盛岡市職員盛駿会会長杯Ｂ２三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     盛岡市職員盛駿会会長盛岡市職員盛盛岡市0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000250000000500000002500000018000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,8,9,3,4,1,10,2,6                                                  40(5,7),8,3,4,9,1,6,2,10                                                00                                                                      00                                                                      0
RAA20090519200905173501021120000上の橋カキツバタ園レースＢ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     上の橋カキツバタ園レ上の橋カキツ上の橋0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000001100    0000350000000700000003500000025000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,5,1,10,9,8,2,7,4                                                  203,6,5,1,(7,9),10,8,2,4                                                303,6,5,1,8,9,(2,4),7,10                                                405,3,8,1,6,4,9,7,2,10                                                  0
RAA20090525200905243501050120000３歳Ｃ２三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳Ｃ２三組　　　　３歳Ｃ２三組３歳Ｃ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000200000000400000002000000014000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,3,6,10,1,4,7,2,5,9                                                  408,3,(1,4),6,10,7,2,5,9                                                00                                                                      00                                                                      0
RAA20090525200905243501050320000Ｃ２十三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十三組　　　　　Ｃ２十三組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,9,3,5,6,10,1,2,7,8                                                  404,9,10,5,3,6,2,7,1,8                                                  00                                                                      00                                                                      0
RAA20090601200905303502011010000五月雨賞　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          五月雨賞　Ｂ２　　　五月雨賞　Ｂ五月雨0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000001100    0000300000000690000003900000027000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111114100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,11,(6,7),9,4,10,2,8,5                                             201,3,11,6,9,7,4,2,10,8,5                                               30(1,3),11,(6,9),7,4,2,10,5,8                                           40(1,3),6,11,4,7,9,10,2,8,5                                             0
RAA20090602200905313502020220000Ｃ２四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２四組　　　　　　Ｃ２四組　　Ｃ２四0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,(1,7),6,4,2                                                       403,5,1,7,6,4,2                                                         00                                                                      00                                                                      0
RAA20090526200905253501061040000アメジスト賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アメジスト賞（中央交アメジスト賞アメジ0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000002300000013000000090000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,10,11,7,8,9,3,4,1,6,2                                               4010,11,5,7,8,3,9,6,4,2,1                                               00                                                                      00                                                                      0
RAA20090525200905233501040110000３歳Ｃ２一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳Ｃ２一組　　　　３歳Ｃ２一組３歳Ｃ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000200000000400000002000000014000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,5,8,9,6,3,2,4,10,7                                                  401,5,8,3,9,6,2,4,7,10                                                  00                                                                      00                                                                      0
