RAA20090609200906084605040840000ガーベラ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        ガーベラ賞（中央交流ガーベラ賞（ガーベ0000E 000000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000060000000138000000540000003000000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090623200906224606040840000ペチュニア賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        ペチュニア賞（中央交ペチュニア賞ペチュ0000E 000000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000060000000138000000540000003000000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090623200906224606040440000２歳新馬戦（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        ２歳新馬戦（中央認定２歳新馬戦（２歳新0000  000000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　090000002400    000170000000391000001530000008500000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080707304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090629200906284607010220000サラ系一般　Ｃ４３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系一般　Ｃ４３　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000016000000040000000160000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090608200906074605030520000サラ系３歳　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ２　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000450000001800000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,7,8,6,3,1,4,9                                                     205,2,7,8,6,1,3,4,9                                                     30(2,5),7,8,6,3,1,4,9                                                   40(2,5),6,7,8,3,1,4,9                                                   0
RAA20090622200906214606030620000ペルセウス特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ペルセウス特別　Ｂ１ペルセウス特ペルセ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000180000000450000001800000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,7,9,4,6,1,8,3                                                     205,2,7,4,9,6,1,(3,8)                                                   30(2,5),4,7,9,(6,8),3,1                                                 405,2,4,6,8,9,3,1,7                                                     0
RAA20090603200906024605020250000サラ系一般　Ｃ４５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001600000004000000016000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,3,5,1,4,8,6,(7,9)                                                2010,2,3,5,1,4,8,7,6,9                                                  3010,2,3,5,1,4,7,8,6,9                                                  4010,2,5,1,3,4,7,8,6,9                                                  0
RAA20090608200906074605030320000サラ系一般　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000170000000420000001700000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,8,3,4,10,1,2,9,7                                                  205,6,8,3,4,1,2,10,7,9                                                  305,8,3,6,4,9,1,10,7,2                                                  408,(3,5),6,9,4,1,7,10,2                                                0
RAA20090615200906144606010120000サラ系一般　Ｃ４５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000160000000400000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,10,8,2,3,7,6,9                                                  201,4,5,10,8,2,3,7,6,9                                                  30(1,4,5),10,8,2,3,6,7,9                                                40(1,4,5),10,8,2,3,6,7,9                                                0
RAA20090615200906144606011120000しょうぶ特別　Ｂ３１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          しょうぶ特別　Ｂ３１しょうぶ特別しょう0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000230000000570000002300000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,3,8,11,1,4,6,9,10,7                                               202,5,3,1,8,4,6,11,9,10,7                                               305,(2,3),4,6,1,8,9,10,7,11                                             40(3,5),2,4,1,6,7,8,10,9,11                                             0
RAA20090616200906154606020340000エーコー功労賞杯　Ｃ３３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     エーコー功労賞杯　Ｃエーコー功労エーコ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    00001600000004000000016000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,5,6,8,9,3,7,2,1,4                                                  2010,5,6,8,3,9,7,2,1,4                                                  3010,6,8,3,9,5,7,2,1,4                                                  4010,6,8,3,9,7,2,5,1,4                                                  0
RAA20090616200906154606020840000サラ系一般　Ｂ４２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ４２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000020000000050000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,3,5,7,10),4,6,8,9,1                                                202,3,5,7,10,4,6,8,9,1                                                  302,7,5,3,10,6,4,8,9,1                                                  407,2,4,6,3,5,8,9,10,1                                                  0
RAA20090623200906224606040140000サラ系一般　Ｃ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２４　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000160000000400000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,6,2,9,8,7,10,4                                                  201,3,5,6,2,7,8,9,4,10                                                  30(3,5),6,1,7,2,8,9,10,4                                                405,3,6,1,7,8,2,9,10,4                                                  0
RAA20090629200906284607011120000きんぎょそう特別Ｂ３級以下勝馬　Ｂ３１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          きんぎょそう特別Ｂ３きんぎょそうきんぎ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000350000000800000003100000017000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,8,7,5,4,1                                                       202,3,6,8,5,4,7,1                                                       302,3,(4,8),6,5,7,1                                                     403,2,5,4,8,7,6,1                                                       0
RAA20090603200906024605021050000ロベリア賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ロベリア賞（中央交流ロベリア賞（ロベリ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001000000002300000009000000050000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,2,1,6,7,(3,11),4,10                                             205,8,(1,9),2,6,7,3,(4,11),10                                           308,2,9,6,5,1,3,7,4,11,10                                               402,9,8,1,6,5,3,4,(7,11),10                                             0
RAA20090609200906084605040340000サラ系一般　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000160000000400000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,10,5,7,2,4,6,8,3                                                  201,9,10,(2,7),5,4,3,8,6                                                309,10,1,7,5,2,4,8,3,6                                                  4010,1,9,7,2,5,4,8,3,6                                                  0
