RAA20090719200907185605040510000ストロングホース（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ストロングホース（中ストロングホストロ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0001500000004500000015000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,5,3,9,7,1,8,2,4                                                     401,3,6,9,2,7,5,8,4                                                     00                                                                      00                                                                      0
RAA20090702200907015605010660000サラ系Ｃ－１２組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－１２組　Ｃサラ系Ｃ－１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,3,2,6,8,9,5,1                                                     204,7,3,6,(2,8),9,5,1                                                   304,7,(3,8,9),6,2,5,1                                                   404,7,9,6,3,8,5,2,1                                                     0
RAA20090702200907015605010760000サラ系Ｃ－１０組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－１０組　Ｃサラ系Ｃ－１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,7,9,2,6,5,3,10,8                                                  204,7,1,9,2,3,5,6,10,8                                                  304,1,7,9,2,3,6,5,(8,10)                                                404,1,2,6,7,3,9,5,8,10                                                  0
RAA20090702200907015605010960000サラ系Ｃ－６組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－６組　Ｃ　サラ系Ｃ－６サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000120000000300000001200000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,7,8,6,9,10,2,4,3                                                  201,5,7,6,8,2,9,4,10,3                                                  301,5,7,6,8,4,9,2,10,3                                                  405,6,1,4,7,8,9,10,3,2                                                  0
RAA20090703200907025605020970000サラ系Ｃ－５組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－５組　Ｃ　サラ系Ｃ－５サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000320000001300000004000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,8,2,1,7,9,6,4                                                     203,5,8,2,7,1,9,6,4                                                     305,(3,8),7,1,9,2,6,4                                                   405,8,1,7,9,3,6,2,4                                                     0
RAA20090716200907155605030160000サラ系Ｃ－１９組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－１９組　Ｃサラ系Ｃ－１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　095000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,10,1,3,7,8,2,6,9,5                                                  404,1,10,3,2,7,6,8,9                                                    00                                                                      00                                                                      0
RAA20090716200907155605030960000サラ系Ｃ－６組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－６組　Ｃ　サラ系Ｃ－６サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000120000000300000001200000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,9,3,5,8,4,6,7,2                                                  201,10,9,3,5,4,8,6,7,2                                                  301,10,9,3,5,8,4,6,7,2                                                  401,3,10,9,5,4,8,6,7,2                                                  0
RAA20090716200907155605031260000サラ系Ｃ－５組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－５組　Ｃ　サラ系Ｃ－５サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000320000001300000004000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,8,9,1,11,6,2,10,4,5                                               203,7,9,8,1,11,2,6,4,10,5                                               303,7,9,1,8,11,2,4,10,6,5                                               403,7,9,1,4,11,2,8,10,6,5                                               0
RAA20090719200907185605040610000サラ系Ｃ－１０組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－１０組　Ｃサラ系Ｃ－１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000010000000025000000100000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,7),9,8,2,4,5,10,6,1                                                203,7,2,9,8,4,5,1,6,10                                                  303,7,2,9,4,6,8,1,5,10                                                  407,3,2,6,4,1,9,10,8,5                                                  0
RAA20090719200907185605040910000三浦あずさ誕生日記念サラ系Ｃ－２組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     三浦あずさ誕生日記念三浦あずさ誕三浦あ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001800000004500000018000000050000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,5,6,8,3,(1,9),(2,7),4                                              2010,(1,5),6,3,2,8,9,7,4                                                3010,5,(1,6),3,2,8,9,7,4                                                4010,5,1,6,3,2,9,8,7,4                                                  0
RAA20090731200907305606010270000サラ系Ｃ－８組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－８組　Ｃ　サラ系Ｃ－８サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,5,(4,7),8,1,2,6                                                     30(3,5),7,4,8,1,2,6                                                     403,4,5,1,8,7,6,2                                                       00                                                                      0
