RAA20091211200912105017061070000八重垣酒造青乃無特別　Ａ１Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          八重垣酒造青乃無特別八重垣酒造青八重垣0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000900000001800000009000000054000000360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,1,7,2,3,(4,5)                                                   206,8,9,1,7,2,3,4,5                                                     30(6,8),9,1,7,3,2,4,5                                                   408,6,9,1,7,4,2,3,5                                                     0
RAA20091209200912085017040550000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002500000005000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,11,10,7,6,8,3,2,1,4,5,9                                            2012,11,10,7,6,8,(2,3),1,4,5,9                                          3012,(1,10,11),7,6,8,3,4,(2,9),5                                        4012,11,10,7,(1,6),3,4,8,9,2,5                                          0
RAA20091209200912085017040850000セカンドトライ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            セカンドトライ（中央セカンドトラセカン0000  110003000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00015000000030000000150000000900000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,1,5,8,9,3,12,4,7,11,2                                            2010,6,1,8,5,9,12,3,7,4,11,2                                            3010,9,6,(1,12),8,5,3,7,4,11,2                                          4010,9,1,12,(3,8),6,5,4,7,11,2                                          0
RAA20091210200912095017050560000サラ系３歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２二サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,3,9,1,11,6,10,2,4,5,12                                            207,(1,8),3,9,6,11,10,2,4,5,12                                          307,4,8,3,1,(9,10),6,11,5,12,2                                          407,4,9,8,3,1,10,6,5,12,11,2                                            0
RAA20091211200912105017060770000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 サラ系２歳　一組　　サラ系２歳　サラ系0000E 110003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,11,10,5,8,2,1,4,(3,7),6                                             209,11,10,5,8,2,1,3,(4,7),6                                             308,9,1,4,11,2,10,5,7,3,6                                               408,(4,9),1,7,11,2,3,(5,10),6                                           0
RAA20091217200912165018020560000セカンドトライ（中央認定）　二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            セカンドトライ（中央セカンドトラセカン0000  110003000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001500000003000000015000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,12,1,7,9,5,11,4,8,10,6                                            202,3,12,1,7,9,5,4,11,8,10,6                                            302,(3,7),9,1,11,12,5,4,8,10,6                                          407,2,3,11,9,12,(1,4),5,8,6,10                                          0
RAA20091225200912245018060570000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,11,5,6,8,10,2,1,7,(3,4),12                                          209,11,5,(6,8),10,2,1,7,4,3,12                                          309,11,5,8,10,6,3,2,4,1,7,12                                            409,5,11,10,8,3,6,4,1,2,7,12                                            0
RAA20100105200912315019031070000園田ジュニアＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SONODA JUNIOR CUP                                                                                                                                                                                                                                                                                                                                                       園田ジュニアＣ　　　園田ジュニア園田ジ0000D 110003000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    00060000000120000000600000003600000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,1,9,3,11,4,6,8,2,7,10,5                                            2012,1,9,3,6,11,4,(2,7,8),10,5                                          309,12,11,4,(2,3),1,8,7,(6,10),5                                        409,11,4,12,3,2,1,7,10,6,8,5                                            0
RAA20091202200912015017010850000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,10,2,8,9,7,6,3,1                                                  204,5,(2,10),8,9,7,6,3,1                                                304,(3,5),10,8,9,2,6,7,1                                                404,3,10,(5,8),(2,9),6,7,1                                              0
RAA20091203200912025017020560000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,12,1,9,4,7,11,10,6,8,5                                            202,3,1,12,9,7,4,11,10,6,8,5                                            303,12,2,1,9,4,7,10,11,6,8,5                                            4012,3,1,2,9,7,4,10,11,6,8,5                                            0
RAA20091203200912025017020760000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,12,1,10,5,2,8,11,(6,7),4                                          203,9,12,1,5,10,2,(8,11),6,7,4                                          3010,3,12,4,1,9,5,7,6,2,8,11                                            404,(3,10),1,(5,12),9,6,7,(2,8),11                                      0
