RAA20100506201005045003051050000兵庫ＣｈＳ（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HYOGO CHAMPIONSHIP                                                                                                                                                                                                                                                                                                                                                      兵庫ＣｈＳ（中央交流兵庫ＣｈＳ（兵庫Ｃ0000B 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　187000002400    0028000000089600000504000003360000022400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,2,10,3,11,4,1,5,12,6                                            207,8,9,2,10,3,11,1,4,5,12,6                                            302,7,9,8,3,11,5,1,10,4,(6,12)                                          402,7,3,11,5,(1,9),(4,10),8,(6,12)                                      0
RAA20100506201005055004011160000サラ系４歳上　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,(5,12),8,6,9,4,11,3,(2,7)                                        201,10,5,12,8,6,9,4,11,(2,3),7                                          301,10,(5,12),9,8,6,11,4,7,3,2                                          4010,1,(5,9),12,8,6,11,(4,7),3,2                                        0
RAA20100507201005065004020870000サラ系４歳上　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,10,5,7,9,8,1,3,6                                                  202,4,10,5,(7,8),9,1,3,6                                                304,2,5,8,10,9,7,1,6,3                                                  404,5,(2,8),10,9,7,1,6,3                                                0
RAA20100510201005065004020970000三熊山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               三熊山特別（中央交流三熊山特別（三熊山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,11,(2,6),1,9,3,10,8,4,5,12                                          207,11,2,6,1,9,3,8,10,4,(5,12)                                          307,11,6,2,9,1,3,8,(4,10),(5,12)                                        407,6,11,2,1,9,3,8,4,5,10,12                                            0
RAA20100513201005125004040760000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,5,3,9,8,2,12,10,4,7,1                                            206,11,5,3,9,8,2,12,7,4,10,1                                            306,11,5,9,8,2,3,7,4,12,10,1                                            4011,6,5,8,9,2,7,3,4,10,12,1                                            0
RAA20100513201005125004041060000淀川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           淀川特別（中央交流）淀川特別（中淀川特0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　187000002400    0001300000002600000013000000078000000520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,8,4,9,1,2,7,3                                                     206,5,4,8,1,9,7,2,3                                                     306,5,8,4,1,9,7,2,3                                                     406,5,8,1,4,9,7,2,3                                                     0
RAA20100514201005135004051070000のじぎく賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NOJIGIKU SHO                                                                                                                                                                                                                                                                                                                                                            のじぎく賞　　　　　のじぎく賞　のじぎ0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0003500000007000000035000000210000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,12,9,3,11,4,10,2,8,1,7,5                                            206,12,9,3,11,4,10,2,8,1,7,5                                            3012,6,9,11,10,3,4,8,1,7,5,2                                            4012,9,6,11,10,4,8,3,5,1,7,2                                            0
RAA20100504201005035003040840000サラ系３歳　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳　Ｂ　　　サラ系３歳　サラ系0000E 120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,12,3,11,7,10,2,4,(1,9),(5,6)                                        208,12,3,11,7,2,10,(1,4),9,(5,6)                                        3012,11,8,3,10,4,7,1,2,6,5,9                                            4012,11,3,8,10,(1,4),7,5,2,6,9                                          0
RAA20100505201005045003050550000サラ系４歳上　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,9,7,8,5,3,6,4                                                     202,1,9,7,8,5,3,6,4                                                     302,9,(1,8),7,(5,6),3,4                                                 402,9,8,6,3,1,7,4,5                                                     0
RAA20100513201005125004040660000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,(8,9),10,5,6,12,2,4,7,(1,11)                                        203,8,9,(5,10),(6,12),2,7,4,1,11                                        3010,9,12,2,5,7,8,6,4,3,(1,11)                                          409,10,7,(5,12),2,6,4,11,8,1,3                                          0
RAA20100507201005065004021170000サラ系４歳上　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,4,10,7,11,3,2,8,1                                                 206,9,4,10,7,11,(2,3),8,1                                               306,9,3,4,(2,7),10,11,8,1                                               406,9,4,(3,7),11,2,10,8,1                                               0
