RAA20100528201005265101050960000神鍋山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               神鍋山特別（中央交流神鍋山特別（神鍋山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00008000000016000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,7,6,1,4,8,5,(2,3)                                                2010,9,7,6,1,(4,5),8,(2,3)                                              3010,9,6,7,1,5,4,8,2,3                                                  4010,7,9,6,(1,5),4,8,2,3                                                0
RAA20100519201005185101010850000サラ系３歳　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳　Ｂ　　　サラ系３歳　サラ系0000E 120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,5,2,8,9,10,3,11,12,7,4                                            206,1,5,2,8,10,9,3,(11,12),7,4                                          301,5,6,10,2,8,12,(3,11),9,7,4                                          401,5,10,6,2,3,8,(9,11,12),7,4                                          0
RAA20100520201005195101020660000サラ系４歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２三サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,2,6,8,1,9,4,11,(5,12),3                                          207,10,2,(6,8),1,9,4,11,(5,12),3                                        307,10,8,2,6,9,1,4,11,5,12,3                                            40(7,10),8,2,6,9,1,11,4,5,12,3                                          0
RAA20100527201005265101050760000サラ系４歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,5,2,10,(1,11),3,4,7,12                                          206,8,9,5,2,10,1,3,11,4,7,12                                            30(6,8),9,10,2,3,5,7,1,4,11,12                                          408,6,9,2,7,10,3,1,5,4,12,11                                            0
RAA20100528201005275101060570000サラ系４歳上　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,3,8,5,2,4,6                                                       201,7,3,8,5,2,4,6                                                       307,1,3,8,5,2,6,4                                                       407,1,8,3,5,2,(4,6)                                                     0
RAA20100521201005205101030770000サラ系４歳上　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,5,2,6,3,1,8                                                       207,4,(2,5),(1,3,6),8                                                   307,4,6,2,3,5,1,8                                                       407,4,2,6,3,5,1,8                                                       0
RAA20100519201005185101010950000上郡赤松円心特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           上郡赤松円心特別　Ｂ上郡赤松円心上郡赤0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000700000001400000007000000042000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,4,6,7,1,8,2                                                       203,9,6,4,7,1,8,2                                                       303,9,7,4,8,6,1,2                                                       403,7,9,4,8,1,6,2                                                       0
RAA20100528201005275101060770000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,9,10,5,8,4,12,2,7,1                                               203,6,9,10,5,(4,8),12,2,7,1                                             306,10,3,9,4,5,8,12,7,2,1                                               406,10,3,4,9,5,(7,8),12,2,1                                             0
RAA20100519201005185101010750000サラ系４歳上　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,9,1,3,5,6,(2,7)                                                   208,4,9,1,3,5,2,7,6                                                     308,4,5,9,3,2,1,7                                                       404,(5,8),9,3,1,2,7                                                     0
RAA20100526201005255101040350000サラ系４歳上　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,6,1,3,7,4,2                                                       208,5,6,1,7,3,4,2                                                       308,6,4,5,(3,7),1,2                                                     408,6,4,5,7,3,1,2                                                       0
RAA20100526201005255101040450000ファーストトライ（中央認定）　一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ファーストトライ（中ファーストトファー0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0002000000004000000020000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,(5,7),8,3,9,6,2,1                                                   404,(5,7),8,3,9,1,6,2                                                   00                                                                      00                                                                      0
