RAA20100707201007064706010950000槍ヶ岳賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          槍ヶ岳賞（中央交流）槍ヶ岳賞（中槍ヶ岳0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,10,3,7,5,9,4,2,1                                                  206,8,10,3,9,5,7,2,1,4                                                  306,8,10,3,5,9,2,1,7,4                                                  408,10,3,6,2,9,5,1,7,4                                                  0
RAA20100722201007214707020960000あじめ峡特別（中央交流）　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          あじめ峡特別（中央交あじめ峡特別あじめ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,1,8,5,9,10,3,6,4                                                  202,7,1,8,5,9,6,3,10,4                                                  302,7,8,1,9,5,6,3,10,4                                                  402,7,8,1,9,5,3,6,10,4                                                  0
RAA20100707201007064706010850000サラ系３歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系３歳１組特別　サラ系３歳１サラ系0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000380000000950000005000000027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,3,7,5,4,8,10,6,1                                                  202,9,3,7,4,5,8,10,6,1                                                  302,9,3,4,7,8,5,10,6,1                                                  409,2,3,4,7,8,10,6,5,1                                                  0
RAA20100724201007234707040880000セントラルビデオ賞　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          セントラルビデオ賞　セントラルビセント0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,1,6,5,4,3                                                         202,7,1,6,5,3,4                                                         302,7,6,1,5,3,4                                                         402,7,1,5,6,3,4                                                         0
RAA20100707201007064706010650000サラ系Ｃ１７組牝馬　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１７組牝馬　サラ系Ｃ１７サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,5,10,3,9,4,2,8,7                                                  201,6,5,10,3,9,4,2,8,7                                                  301,6,5,3,10,9,4,2,7,8                                                  405,6,1,3,10,9,4,2,7,8                                                  0
RAA20100707201007064706010750000サラ系Ａ５・Ｂ２組特選　Ａ５Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ａ５・Ｂ２組特サラ系Ａ５・サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000450000002400000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,6,1,2,7,4,10,5,8                                                  203,9,6,1,2,7,4,5,8,10                                                  303,9,5,1,6,7,2,4,8,10                                                  403,9,5,1,7,2,6,4,8,10                                                  0
RAA20100710201007094706040880000サラ系Ｂ７・Ｃ３組　Ｂ７Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ７・Ｃ３組　サラ系Ｂ７・サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,3,7,2,10,8,6,1                                                  204,5,9,3,7,2,10,1,8,6                                                  304,5,9,3,7,1,2,10,8,6                                                  409,5,4,7,3,1,2,10,8,6                                                  0
RAA20100720201007194707010940000キリンラガー杯　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          キリンラガー杯　Ｂ１キリンラガーキリン0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,9,2,3,6,7,5,4,10                                                  201,8,2,9,3,6,7,10,5,4                                                  301,8,9,2,3,6,7,10,5,4                                                  408,1,9,10,2,6,3,7,4,5                                                  0
RAA20100724201007234707040980000納涼賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     納涼賞　Ｃ２　　　　納涼賞　Ｃ２納涼賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000430000002300000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,10,2,6,1,9,4,8                                                  203,5,7,10,2,1,6,9,4,8                                                  303,5,1,10,7,2,6,4,9,8                                                  405,1,3,10,2,7,6,8,4,9                                                  0
RAA20100709201007084706030170000サラ系３歳１０組　１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１０組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,9,4,6,1,5,8,3                                                     202,7,9,4,6,1,5,8,3                                                     302,7,9,5,6,4,1,8,3                                                     407,9,4,6,5,2,1,8,3                                                     0
RAA20100722201007214707020360000サラ系３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳８組　８　サラ系３歳８サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,6,1,8,9,2,7,3                                                     204,5,1,8,6,9,2,7,3                                                     304,5,1,9,2,6,7,8,3                                                     404,1,2,5,9,6,7,3,8                                                     0
RAA20100722201007214707020560000月の祝日　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     月の祝日　Ｃ１５　　月の祝日　Ｃ月の祝0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,6,8,2,9,10,7,4,1                                                  203,5,6,2,10,9,8,7,4,1                                                  303,5,6,2,10,9,7,8,4,1                                                  403,6,5,2,9,7,4,10,8,1                                                  0
RAA20100707201007064706010550000ティンと来た！高木杯　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ティンと来た！高木杯ティンと来たティン0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,4,2,1,7,5,6,10,3,8                                                  404,9,2,7,6,1,10,5,3,8                                                  00                                                                      00                                                                      0
