RAA20100903201009025607030970000大阿蘇賞　Ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          大阿蘇賞　Ａ　　　　大阿蘇賞　Ａ大阿蘇0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000400000001000000004000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,7,4,3,6,5,2                                                       201,7,8,3,4,6,5,2                                                       301,7,8,4,6,3,5,2                                                       404,1,6,7,5,8,3,2                                                       0
RAA20100903201009025607030370000山口吉久記念Ｃ－６組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     山口吉久記念Ｃ－６組山口吉久記念山口吉0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,3,5,2,1,4                                                         206,7,(2,3),5,1,4                                                       306,7,3,2,5,1,4                                                         407,3,5,6,2,1,4                                                         0
RAA20100903201009025607030670000Ｃ－３組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－３組　Ｃ　　　　Ｃ－３組　ＣＣ－３0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,6,3,1,2                                                           204,5,6,3,1,2                                                           304,5,6,3,1,2                                                           404,5,1,3,6,2                                                           0
RAA20100918201009175608010580000Ｃ－４組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－４組　Ｃ　　　　Ｃ－４組　ＣＣ－４0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,1,4,3,2,6,5                                                     207,8,9,4,1,2,3,6,5                                                     307,8,4,9,2,6,1,5,3                                                     407,8,4,5,2,9,1,3,6                                                     0
RAA20100924201009235608020870000秋分の日特選Ｃ－９組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     秋分の日特選Ｃ－９組秋分の日特選秋分の0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,10,7,2,8,6,4,9,3                                                  201,5,10,2,6,8,7,4,9,3                                                  301,2,8,10,5,6,7,3,4,9                                                  402,1,6,5,10,8,3,7,4,9                                                  0
RAA20100906201009055607050920000桜島特別Ｃ－９組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          桜島特別Ｃ－９組　Ｃ桜島特別Ｃ－桜島特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000150000000370000001500000004000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,2,1,8,6,4                                                       203,5,7,2,1,8,6,4                                                       303,5,7,2,1,8,6,4                                                       403,5,1,2,7,4,8,6                                                       0
RAA20100918201009175608010480000Ｃ－５組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－５組　Ｃ　　　　Ｃ－５組　ＣＣ－５0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,6,9,3,2,7,8                                                     201,4,5,9,6,3,7,8,2                                                     301,4,5,9,6,3,7,8,2                                                     404,1,9,5,3,6,7,8,2                                                     0
RAA20100924201009235608020470000フレフレ鮫島藤村送別会記念Ｃ－１４組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     フレフレ鮫島藤村送別フレフレ鮫島フレフ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,3,6,4,7,1,2                                                     205,8,9,3,4,6,1,7,2                                                     305,8,9,3,4,1,6,7,2                                                     403,8,9,5,4,1,6,7,2                                                     0
RAA20100924201009235608020170000Ｃ－１７組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－１７組　Ｃ　　　Ｃ－１７組　Ｃ－１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　095000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,4,7,3,1,2,5,6                                                       408,3,7,4,1,2,5,6                                                       00                                                                      00                                                                      0
RAA20100903201009025607031070000Ｃ－１組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－１組　Ｃ　　　　Ｃ－１組　ＣＣ－１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000002000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,2,3,1,4                                                           205,6,2,3,1,4                                                           305,3,2,6,4,1                                                           405,3,2,4,6,1                                                           0
RAA20100918201009175608010880000久住山Ｃ　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          久住山Ｃ　Ｂ　　　　久住山Ｃ　Ｂ久住山0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000500000002000000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,5,3,2,1,4,7                                                     206,8,9,3,5,2,4,1,7                                                     306,8,9,3,5,2,4,1,7                                                     408,6,2,4,9,3,1,5,7                                                     0
