RAA20101117201011164509020850000ガーベラスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ガーベラスター賞（中ガーベラスタガーベ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    000400000001200000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,5),6,1,7,10,8,2,9,3                                                204,5,6,1,8,(7,10),2,9,3                                                30(4,5),6,(1,8),7,(2,3,10),9                                            404,6,1,5,8,2,10,7,3,9                                                  0
RAA20101118201011174509030960000トパーズスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          トパーズスター賞（中トパーズスタトパー0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    000400000001200000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,4),8,10,9,2,6,11,5,12,7,3                                          201,4,8,10,2,6,9,5,11,12,7,3                                            301,(4,8),10,2,(6,9,11),5,12,7,3                                        401,8,2,4,10,5,11,12,9,7,3,6                                            0
RAA20101119201011184509040870000ノベンバースター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ノベンバースター賞（ノベンバースノベン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,6,2,12,14,4,13,10,9,5,8,7                                         201,3,2,6,12,4,14,10,5,13,9,8,7                                         30(1,3,6),(2,12),10,4,14,5,13,8,9,7                                     401,3,6,12,2,10,4,5,8,14,9,7,13                                         0
RAA20101117201011164509021050000小春特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          小春特別　Ｃ２一　　小春特別　Ｃ小春特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,14,13,8,3,1,5,9,7,12,11,10,4                                      202,6,14,8,13,3,1,7,5,12,9,11,10,4                                      302,6,(8,14),3,7,1,13,5,12,11,10,9,4                                    402,6,8,(7,12),3,1,14,11,5,13,10,4,9                                    0
RAA20101116201011154509010440000サラ系一般　Ｃ２二三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,10,2,3,12,11,6,4,1,8,9                                            205,2,10,7,12,3,11,6,4,1,8,9                                            305,7,2,10,12,3,11,4,6,1,8,9                                            405,12,7,11,10,3,2,4,1,8,6,9                                            0
RAA20101116201011154509010840000葉牡丹特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 葉牡丹特別　１　　　葉牡丹特別　葉牡丹0000E 110002000000000000000サラ系２歳　１８０万上　　　　　　　　　　　　　　　　　　　150000002300    0002300000006900000046000000276000001840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313133010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,5,12,1,8,3,10,7,13,11,6,2                                         204,9,5,1,12,8,3,10,7,11,13,2,6                                         304,9,5,8,12,1,10,3,11,2,7,13,6                                         404,9,5,1,12,10,8,3,11,13,2,7,6                                         0
RAA20101120201011194509050480000サラ系一般　Ｃ２八九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,13,10,5,14,8,7,4,12,3,1,11,6,9                                      202,13,10,5,8,14,4,7,12,3,11,6,1,9                                      302,13,14,8,10,7,5,12,4,3,9,6,1,11                                      402,13,14,8,12,7,5,10,4,1,3,6,9,11                                      0
RAA20101119201011184509040570000サラ系３歳　７イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　７イ　　サラ系３歳　サラ系0000  120000000000000000000５０万上８３万未満　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,12,11,4,3,6,5,10,9,8,1                                            202,7,12,4,11,3,6,5,10,1,8,9                                            302,7,12,4,11,3,5,6,10,8,9,1                                            407,2,4,12,11,5,8,3,6,10,1,9                                            0
RAA20101116201011154509010240000特選　２イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            特選　２イ　　　　　特選　２イ　特選　0000  110000000000000000000サラ系２歳　５０万上１８０万未満　　　　　　　　　　　　　　150000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,14,5,6,8,1,3,9,11,13,12,7,10                                      202,4,14,5,6,8,1,3,9,11,13,12,7,10                                      302,6,14,4,8,3,5,1,11,9,13,12,7,10                                      4014,6,2,3,8,1,4,11,9,5,13,12,10,7                                      0
RAA20101118201011174509030360000サラ系３歳　５ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　５ロ　　サラ系３歳　サラ系0000  120000000000000000000８３万上１２１万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,9,7,12,4,11,10,2,3,5,8                                            201,6,7,9,4,12,2,11,10,3,5,8                                            301,12,10,6,11,3,9,4,7,2,8,5                                            40(1,12),6,11,10,3,9,4,2,8,7,5                                          0
RAA20101118201011174509031060000ロジータ記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ROSITA KINEN                                                                                                                                                                                                                                                                                                                                                            ロジータ記念　　　　ロジータ記念ロジー0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　210000002300    00200000000700000004000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,7,1,3,6,4,9,2,8,12,5                                            2010,11,7,1,3,4,6,9,2,8,12,5                                            3010,11,7,3,4,1,9,12,8,6,5,2                                            4010,11,3,4,7,1,9,12,8,5,6,2                                            0
RAA20101119201011184509040970000霜月特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          霜月特別　Ａ２　　　霜月特別　Ａ霜月特0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,8,4,1,9,3,5,7,6,12,11                                            202,10,8,4,1,9,3,5,6,7,12,11                                            302,8,10,4,9,3,7,5,1,11,6,12                                            402,8,4,9,7,10,3,1,5,11,6,12                                            0
RAA20101119201011184509040370000サラ系３歳　９ハ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　９ハ　　サラ系３歳　サラ系0000  120000000000000000000５０万上８３万未満　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,12,10,11,2,8,7,6,5,4,3                                            201,9,12,10,2,11,8,7,5,6,4,3                                            301,9,10,12,2,8,11,7,5,6,4,3                                            401,9,10,2,8,12,6,7,4,11,5,3                                            0
