RAA20101111201011104713030960000安房峠特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          安房峠特別（中央交流安房峠特別（安房峠0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    00004100000010300000041000000250000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,9,3,1,6,7,4,5,2                                                  2010,8,9,1,3,6,7,5,4,2                                                  3010,1,9,3,6,8,7,4,5,2                                                  4010,9,6,1,7,3,4,5,8,2                                                  0
RAA20101112201011114713040270000サラ系２歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳３組　３　サラ系２歳３サラ系0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000004900000026000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,6,4,9,7,5,8                                                     201,2,4,3,5,6,7,9,8                                                     301,2,3,4,5,6,7,9,8                                                     402,3,1,4,7,5,6,8,9                                                     0
RAA20101125201011244714030960000古太尽特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          古太尽特別（中央交流古太尽特別（古太尽0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,2,4,8,3,6,7,1,10                                                  205,9,2,4,3,8,6,1,7,10                                                  305,9,2,4,3,8,6,7,10,1                                                  405,9,2,4,8,3,6,7,10,1                                                  0
RAA20101109201011084713010640000サラ系Ｃ２８組　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２８組　Ｃ２サラ系Ｃ２８サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,2,6,4,7,1,3                                                     205,8,9,2,6,4,3,7,1                                                     305,8,9,2,6,3,4,1,7                                                     405,9,2,6,3,8,4,7,1                                                     0
RAA20101109201011084713010940000中山七里特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          中山七里特別　Ｂ１　中山七里特別中山七0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,8,4,1,5,3,7                                                       206,2,8,4,1,5,3,7                                                       306,2,8,1,4,5,3,7                                                       406,8,4,5,3,2,1,7                                                       0
RAA20101110201011094713020750000サラ系Ｂ６組　Ｂ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ６組　Ｂ６　サラ系Ｂ６組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000430000002300000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,3,6,1,9,4,5,2,10                                                  208,7,6,3,1,9,4,5,2,10                                                  308,7,6,3,1,9,5,10,2,4                                                  407,6,8,1,3,5,9,10,2,4                                                  0
RAA20101123201011224714010840000サラ系Ｃ２５組牝馬　Ｃ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２５組牝馬　サラ系Ｃ２５サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,5,3,6,9,4,2,7                                                     208,1,5,3,6,9,4,2,7                                                     308,1,3,5,6,4,9,2,7                                                     408,1,3,5,2,4,6,9,7                                                     0
RAA20101123201011224714011040000磨墨特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          磨墨特別　Ｂ１　　　磨墨特別　Ｂ磨墨特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,1,8,6,3,9,4,7,2                                                  205,10,1,8,6,3,4,9,7,2                                                  305,10,8,1,6,3,9,4,7,2                                                  405,10,8,6,1,9,3,4,7,2                                                  0
RAA20101126201011254714040170000サラ系２歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳３組　３　サラ系２歳３サラ系0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000004900000026000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,6,1,4,2,8,3,5                                                     207,9,6,1,2,4,3,8,5                                                     307,9,6,2,1,3,8,4,5                                                     407,9,6,3,2,1,8,5,4                                                     0
RAA20101126201011254714040670000サラ系２歳２組特選　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳２組特選　サラ系２歳２サラ系0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000390000000980000005100000028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,8,1,3,7,5                                                         204,6,8,1,3,7,5                                                         306,8,3,1,4,7,5                                                         406,3,8,1,7,5,4                                                         0
RAA20101112201011114713040570000サラ系Ｃ１２組　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１２組　Ｃ１サラ系Ｃ１２サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,3,6,4,9,8,2,7                                                     201,5,3,9,4,6,8,2,7                                                     301,5,3,9,4,8,6,2,7                                                     401,5,9,4,3,8,6,7,2                                                     0
