RAA20101215201012144510020950000ディセンバースター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ディセンバースター賞ディセンバーディセ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,13,3,11,5,8,12,9,6,2,7,1,10,4                                      2014,13,3,11,5,8,12,2,9,7,6,1,10,4                                      3014,13,11,3,12,8,7,5,2,9,1,6,10,4                                      4014,13,(3,11),12,7,1,8,5,2,9,(6,10),4                                  0
RAA20101216201012154510031060000全日本２歳優駿（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ZENNIPPON NISAI YUSHUN                                                                                                                                                                                                                                                                                                                                                  全日本２歳優駿（中央全日本２歳優全日本0000A 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0035000000122500000700000003500000017500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,4,5,11,9,(6,8),13,10,12,7                                       201,2,4,3,5,11,6,8,9,10,13,12,7                                         30(1,2,3,5),9,(4,8,11),10,13,6,12,7                                     40(2,3),5,9,4,11,8,1,10,13,6,7,12                                       0
RAA20101218201012174510050580000サラ系３歳　８イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　８イ　　サラ系３歳　サラ系0000  120000000000000000000４８万上８１万未満　　　　　　　　　　　　　　　　　　　　　140000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,4),5,10,6,9,2,1,8,11,7                                             204,3,5,6,10,2,1,9,8,11,7                                               30(3,4),5,6,(2,10),11,9,8,7,1                                           403,4,6,(2,5),11,8,9,10,1,7                                             0
RAA20101214201012134510011040000サラ系一般　Ｃ１七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１七　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,11,4,2,9,7,3,1,8,10,6,12                                            205,11,2,4,1,7,9,3,6,8,10,12                                            305,(7,9),11,2,1,8,(3,6),4,10,12                                        405,7,8,2,6,1,9,3,11,12,10,4                                            0
RAA20101215201012144510020850000ポインセチア特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 ポインセチア特別　１ポインセチアポイン0000E 110002000000000000000サラ系２歳　２２８万上　　　　　　　　　　　　　　　　　　　160000002300    0002300000006900000046000000276000001840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,6,2,8,3,7                                                       201,4,(5,6),2,3,8,7                                                     301,4,5,6,(2,3),7,8                                                     401,(4,5,6),2,3,7,8                                                     0
RAA20101214201012134510010840000シクラメン特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               シクラメン特別　１　シクラメン特シクラ0000E 120002000000000000000サラ系３歳　１６８万上　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,10,3,2,6,1,5,9,4                                                  207,8,3,10,2,6,1,5,9,4                                                  307,8,(2,3),5,6,10,1,4,9                                                40(7,8),5,2,3,6,1,9,4,10                                                0
RAA20101215201012144510020150000特選　３ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            特選　３ロ　　　　　特選　３ロ　特選　0000  110000000000000000000サラ系２歳　１０６万上２２８万未満　　　　　　　　　　　　　150000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,11,(5,7),9,2,12,4,8,10,3                                          206,1,5,7,11,9,12,2,4,8,10,3                                            306,11,5,12,1,7,4,9,2,8,10,3                                            406,11,12,5,2,9,4,7,3,1,8,10                                            0
RAA20101215201012144510020450000サラ系３歳　６ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　６ロ　　サラ系３歳　サラ系0000  120000000000000000000８１万上１２０万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,10,12,3,6,4,5,11,8,7,1                                            202,9,10,3,12,4,5,11,6,7,1,8                                            302,9,5,3,10,1,4,(6,12),7,11,8                                          402,9,5,3,4,1,10,6,7,11,8,12                                            0
RAA20101216201012154510030760000サラ系一般　Ｃ１四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,3,5,4,7,11,10,12,8,2,9                                            206,1,4,3,5,10,7,11,12,8,2,9                                            301,(3,5,6),4,10,7,12,11,2,8,9                                          401,3,5,4,7,10,2,11,12,8,6,9                                            0
RAA20101217201012164510041070000ウインターイルミネーションＨ　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ウインターイルミネーウインターイウイン0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,6,7,9,12,8,1,11,3,4,10                                            202,5,(6,7),9,1,8,12,11,4,3,10                                          302,5,6,7,9,1,(8,11),12,10,4,3                                          405,2,7,6,(1,9),11,8,10,12,4,3                                          0
RAA20101218201012174510050380000サラ系３歳　９ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　９ロ　　サラ系３歳　サラ系0000  120000000000000000000４８万上８１万未満　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,2,1,9,3,8,7,5,6,4                                               2010,2,11,1,9,3,7,8,5,4,6                                               3010,2,11,(3,9),1,7,5,4,(6,8)                                           4010,2,11,(1,3,9),4,7,5,8,6                                             0
RAA20101218201012174510050880000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,5,2,3,1,7,4,10,11,9,8,6,12                                         2013,5,2,1,3,7,4,10,11,6,8,9,12                                         3013,5,2,3,7,10,4,1,11,8,6,9,12                                         4013,5,2,7,3,1,(4,10),11,6,8,12,9                                       0
RAA20101215201012144510020350000サラ系３歳　７ハ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　７ハ　　サラ系３歳　サラ系0000  120000000000000000000８１万上１２０万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,1,9,12,3,7,2,6,10,11                                            204,5,8,1,9,12,7,3,6,2,10,11                                            304,5,8,1,12,9,6,3,7,10,2,11                                            404,1,5,6,8,12,9,2,3,7,10,11                                            0
