RAA20110103201101024821030320000サラ３歳２組　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳２組　２　　サラ３歳２組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000590000002500000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,1,5,7,6,8,3                                                       202,4,1,5,7,6,8,3                                                       302,4,5,1,8,7,6,3                                                       402,4,5,1,8,6,3,7                                                       0
RAA20110103201101024821031020000新春ペガサスＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SHINSHUN PEGASUS CUP                                                                                                                                                                                                                                                                                                                                                    新春ペガサスＣ　　　新春ペガサス新春ペ0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0002000000004600000016000000100000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,1,11,10,12,5,4,6,7,9,3                                            202,8,11,1,12,10,6,5,4,9,7,3                                            302,11,8,6,1,10,12,5,4,9,7,3                                            402,8,11,10,1,7,12,4,9,5,6,3                                            0
RAA20110113201101124822020260000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000590000002500000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,1,3,5,4,6,2                                                     207,8,9,1,3,5,2,4,6                                                     307,8,9,1,3,5,2,4,6                                                     407,8,1,9,3,5,2,4,6                                                     0
RAA20110113201101124822020860000名古屋ＣＣアップル賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣアップル賞名古屋ＣＣア名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000470000001170000004700000028000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,7,2,9,3,8,6,5,1                                                  204,10,7,9,2,3,8,6,5,1                                                  304,10,8,9,2,6,3,7,5,1                                                  404,2,8,10,6,9,3,5,7,1                                                  0
RAA20110113201101124822021060000名古屋ＣＣオルフェウス賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣオルフェウ名古屋ＣＣオ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　190000002400    0000540000001350000005400000032000000210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,7,8,10,5,3,6,2                                                  204,1,7,9,10,8,5,3,2,6                                                  304,1,7,10,8,9,2,5,6,3                                                  404,1,7,10,2,8,5,6,9,3                                                  0
RAA20110126201101254823020950000名古屋ＣＣオレンジ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣオレンジ賞名古屋ＣＣオ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000470000001170000004700000028000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,2,1,9,10,8,4,5,6                                                  203,7,2,10,5,9,1,8,4,6                                                  303,7,10,5,2,9,1,4,8,6                                                  403,7,10,5,9,4,8,1,6,2                                                  0
RAA20110103201101024821030120000サラＣ１３組　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１３組　Ｃ１３サラＣ１３組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,6,7,4,5,1,2                                                         403,6,7,4,5,1,2                                                         00                                                                      00                                                                      0
RAA20110104201101034821040340000サラＣ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ７組　Ｃ７　　サラＣ７組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,8,6,2,1,3,5                                                       204,7,8,6,2,1,3,5                                                       304,7,1,2,8,6,3,5                                                       404,7,1,2,8,6,3,5                                                       0
RAA20110105201101044821051050000Ｃ級セレクトＣ　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ級セレクトＣ　Ｃ　Ｃ級セレクトＣ級セ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000300000000780000003300000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,1,2,7,5,3,6,4                                                     209,8,1,2,7,3,5,4,6                                                     309,8,2,3,1,7,5,4,6                                                     409,8,3,1,2,7,5,4,6                                                     0
RAA20110112201101114822010850000丹頂鶴特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               丹頂鶴特別　１　　　丹頂鶴特別　丹頂鶴0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000450000001170000004900000036000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,11,6,8,5,10,2,7,4,1                                               203,9,11,6,8,5,7,10,2,4,1                                               303,9,11,6,8,7,4,5,10,2,1                                               403,9,11,6,8,7,4,5,10,2,1                                               0
RAA20110125201101244823011040000白鳥特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               白鳥特別　１　　　　白鳥特別　１白鳥特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000450000001170000004900000036000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,10,1,9,4,6,8,3,5,11                                               202,7,10,1,9,8,4,6,3,5,11                                               303,2,7,9,10,1,6,8,5,4,11                                               403,(2,7,9),1,5,6,4,8,11,10                                             0
RAA20110128201101274823040470000サラＣ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１０組　Ｃ１０サラＣ１０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,9,1,4,5,8,6                                                       202,7,9,1,4,5,6,8                                                       302,7,9,1,5,4,8,6                                                       402,7,9,1,5,4,8,6                                                       0
