RAA20110202201102014417020450000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000６１万上１２０万未満　　　　　　　　　　　　　　　　　　　　120000002400    0001400000004900000028000000210000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,4,5,2,(3,7),11,8,(6,13),10,12,14,15,9,16                            401,4,2,5,7,3,8,(12,13),11,15,10,6,14,9,16                              00                                                                      00                                                                      0
RAA20110203201102024417031160000ＴＣＫ女王盃（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TCK JO-O HAI                                                                                                                                                                                                                                                                                                                                                            ＴＣＫ女王盃（中央交ＴＣＫ女王盃ＴＣＫ0000C 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0025000000087500000500000002500000012500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,13,1,(10,15),12,9,16,5,14,3,8,4,7,11                              202,6,13,1,15,10,9,12,5,16,3,7,(8,14),4,11                              302,6,15,13,10,1,12,9,5,16,3,8,4,7,14,11                                402,6,15,1,10,13,9,5,3,16,12,4,8,11,14,7                                0
RAA20110204201102034417041070000フォーチュネイト寒椿特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイト寒椿フォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    00028000000098000000560000004200000028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,9,10,6,2,7,4,3,5,8,1,12,14,13                                      2011,9,10,6,2,7,3,5,4,1,8,14,12,13                                      3011,(8,10),9,2,6,7,14,3,5,1,12,13,4                                    4011,8,10,6,7,2,9,14,3,12,5,13,1,4                                      0
RAA20110216201102154418021050000フォーチュネイト水仙特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイト水仙フォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002800000009800000056000000420000002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,11,14,5,9,13,10,2,8,1,4,3,7,12                                      406,(5,11),14,2,9,13,10,(1,8),7,4,3,12                                  00                                                                      00                                                                      0
RAA20110217201102164418031060000アーバンステージ如月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           アーバンステージ如月アーバンステアーバ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0004000000014000000080000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,4,2,5,(7,12),14,1,8,10,13,11,6,9                                    403,2,4,7,5,14,12,1,8,10,(6,13),9,11                                    00                                                                      00                                                                      0
RAA20110205201102044417051080000ゆきやなぎ特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ゆきやなぎ特別　　　ゆきやなぎ特ゆきや0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002800000009800000056000000420000002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,8,2,10,(4,11),12,15,14,5,13,6,16,9,7,3                              401,8,2,4,10,12,11,15,5,14,6,13,16,7,9,3                                00                                                                      00                                                                      0
RAA20110219201102184418051080000若獅子特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若獅子特別　　　　　若獅子特別　若獅子0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0002800000009800000056000000420000002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001412112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,(7,11),9,6,12,13,2,14,5,10                                        201,3,7,11,6,9,12,2,13,14,5,10                                          301,7,3,11,9,6,12,2,13,14,10                                            407,1,3,11,(6,12),9,13,2,14,10                                          0
RAA20110205201102044417050880000サラ系一般　Ｃ２１３１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１３サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,15,6,14,1,3,4,13,7,5,8,11,10,(9,16),12                              402,15,6,1,3,14,13,4,7,5,8,10,(9,11),16,12                              00                                                                      00                                                                      0
RAA20110216201102154418020650000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000100000000350000002000000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(9,16),15,4,6,3,2,5,1,7,8,11,12,13,10,14                              40(9,16),15,6,4,5,1,3,7,8,2,11,12,13,10,14                              00                                                                      00                                                                      0
RAA20110204201102034417040970000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,(10,15),1,6,9,2,5,7,12,16,14,11,(4,13),3                            208,10,15,1,(6,9),2,7,5,12,(11,14,16),4,3,13                            308,10,9,1,15,6,(2,7),12,16,11,5,14,4,3,13                              408,10,9,1,7,15,2,12,6,5,16,14,11,3,13,4                                0
RAA20110205201102044417050380000サラ系４歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　　　　　サラ系４歳　サラ系0000  000000000000000000000１６９万上　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000002800000016000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,10,12,2,6,15,4,7,9,8,14,16,11,5,13                                201,3,10,2,12,6,4,7,15,9,11,8,14,16,5,13                                301,3,10,2,12,6,7,14,4,11,15,16,(8,9),5,13                              401,2,3,10,12,7,6,4,14,11,16,15,8,5,9,13                                0
RAA20110217201102164418030760000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,13,11,1,3,8,2,7,4,12,5,10                                         206,9,13,11,1,8,3,7,2,(4,12),5,10                                       306,9,13,1,8,11,2,7,5,(4,12),3,10                                       406,1,13,9,8,2,5,12,11,4,(3,7),10                                       0
RAA20110218201102174418040270000サラ系４歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　　　　　サラ系４歳　サラ系0000  000000000000000000000１７６万上　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000002800000016000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,14,10,8,9,(11,12),6,13,2,1,4,5                                    203,7,14,8,10,12,9,11,6,13,1,2,4,5                                      303,14,(7,8),10,12,9,6,(11,13),4,1,5,2                                  403,14,8,7,10,12,9,6,11,13,1,(4,5),2                                    0
RAA20110218201102174418041170000雲取賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                                 雲取賞　　　　　　　雲取賞　　　雲取賞0000E 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0007000000021000000140000000840000005600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,8,4,7,11,10,13,3,6,9,1,12                                         202,5,8,4,7,10,11,13,3,6,(1,9),12                                       302,5,8,10,7,13,(1,6),4,11,9,12,3                                       402,5,8,10,7,(6,13),1,11,12,4,3,9                                       0
RAA20110219201102184418050480000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１２３万上２０７万未満　　　　　　　　　　　　　　　　　　　160000002400    0001500000005250000030000000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,12,13,1,15,10,8,(9,14),4,11,5,7,16,2                              203,6,12,13,1,15,10,8,14,9,4,11,5,16,7,2                                303,13,12,10,6,15,1,14,8,11,(5,9),4,16,7,2                              403,13,10,12,6,15,1,8,11,14,5,9,4,16,7,2                                0
