RAA20110302201103014513020950000アクアマリンフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アクアマリンフラワーアクアマリンアクア0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    000250000000750000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,8),(6,11),9,3,4,12,1,5,7,10                                        202,8,3,6,11,4,9,1,5,12,7,10                                            30(2,8),(3,6),(4,11),9,5,1,10,12,7                                      402,8,3,6,4,11,9,5,10,1,12,7                                            0
RAA20110303201103024513030960000マーチスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マーチスター賞（中央マーチスターマーチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,14,8,9,4,12,1,13,3,10,7,11,5                                      202,6,8,14,9,4,12,1,13,3,10,7,11,5                                      306,2,8,14,(9,12),1,10,4,3,7,13,11,5                                    406,(2,8),12,1,14,9,10,3,4,7,11,13,5                                    0
RAA20110303201103024513031060000エンプレス杯（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　EMPRESS HAI                                                                                                                                                                                                                                                                                                                                                             エンプレス杯（中央交エンプレス杯エンプ0000B 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　210000002300    0035000000122500000700000003500000017500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,12,5,3,9,2,8,11,10,7,6                                            201,4,12,5,3,9,2,8,11,10,7,6                                            301,4,12,2,3,9,5,8,10,11,6,7                                            401,4,3,12,9,2,8,5,10,11,6,7                                            0
RAA20110304201103034513040970000マーチフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               マーチフラワー賞（中マーチフラワマーチ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,9,11,5,1,12,7,13,3,2,4,10                                         208,6,9,1,11,5,3,12,7,13,2,4,10                                         308,6,9,11,5,1,12,3,10,4,7,2,13                                         408,6,9,1,11,10,5,3,12,4,2,7,13                                         0
RAA20110305201103044513050880000サラ系一般　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,6,2,8,5,7,9,10                                                    203,4,6,2,8,7,5,9,10                                                    307,4,3,6,8,9,2,5,10                                                    404,3,7,8,6,9,2,5,10                                                    0
RAA20110305201103044513050980000チューリップ特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               チューリップ特別　　チューリップチュー0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002200000006600000044000000264000001760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,9,10,5,6,4,7,1,2                                                  203,8,9,5,10,6,4,7,1,2                                                  303,8,9,10,6,5,7,4,1,2                                                  403,8,6,9,5,10,(1,4),7,2                                                0
RAA20110305201103044513050680000サラ系一般　Ｃ２１４１５１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,8,5,4,12,1,11,2,7,9,10                                            203,6,8,4,5,1,12,11,2,7,9,10                                            303,6,(8,11),4,5,7,12,1,2,10,9                                          406,8,3,11,4,1,7,5,2,12,9,10                                            0
RAA20110304201103034513041070000ブラッドストーン特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ブラッドストーン特別ブラッドストブラッ0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,3,4,14,5,2,8,12,13,1,10,11                                      206,7,9,3,4,14,2,5,8,1,12,13,10,11                                      306,7,9,3,4,13,8,14,(2,5),12,10,1,11                                    406,3,4,7,8,9,2,14,13,5,12,10,1,11                                      0
RAA20110303201103024513030260000サラ系４歳　３イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　３イ　　サラ系４歳　サラ系0000  000000000000000000000５４万上１３１万未満　　　　　　　　　　　　　　　　　　　　140000002300    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,9,3,6,7,8,10,2,4,1,5                                               2011,9,3,7,6,8,2,4,10,1,5                                               3011,9,3,7,2,6,8,4,10,1,5                                               4011,9,3,7,2,6,4,8,1,10,5                                               0
RAA20110302201103014513020550000サラ系一般　Ｃ２五六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,10,3,2,5,6,8,4,7                                                  201,9,3,10,2,5,6,8,7,4                                                  309,10,1,2,6,3,(7,8),5,4                                                409,10,2,1,4,8,3,7,6,5                                                  0
RAA20110302201103014513020650000サラ系一般　Ｃ２五六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,11,3,4,7,5,1,9,2,6                                               2011,8,10,3,4,5,7,1,9,2,6                                               3011,8,(3,4,10),7,5,9,6,1,2                                             4011,8,3,5,(4,7),9,6,10,2,1                                             0
RAA20110304201103034513040570000サラ系一般　Ｃ２１１１２１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,11,12,7,1,8,10,5,9,6,3,4                                            202,11,1,12,10,7,8,5,9,6,4,3                                            302,11,10,1,12,(7,8),4,9,5,6,3                                          402,11,1,10,12,8,4,9,7,6,5,3                                            0
RAA20110305201103044513050780000サラ系一般　Ｃ２１４１５１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,13,2,5,12,1,9,14,6,8,10,7,4,3                                      2011,13,2,5,12,1,9,6,14,7,10,8,4,3                                      3011,13,5,2,12,9,(1,10,14),7,6,8,4,3                                    4011,13,5,1,12,9,2,7,10,6,14,4,8,3                                      0
RAA20110305201103044513051180000朧月特別　Ｂ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          朧月特別　Ｂ３三　　朧月特別　Ｂ朧月特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,8,12,4,13,7,6,9,11,10,5,3                                         202,1,8,4,12,13,7,6,11,10,9,5,3                                         301,2,7,12,11,8,4,13,6,10,5,9,3                                         407,1,12,11,10,2,(4,8,13),6,5,3,9                                       0
