RAA20110616201106154705020860000あやめ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          あやめ賞（中央交流）あやめ賞（中あやめ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,9,2,6,8,10,4                                                    203,5,7,2,9,4,6,8,10                                                    303,5,7,2,4,9,8,10,6                                                    403,5,7,2,8,4,6,9,10                                                    0
RAA20110616201106154705020960000水無月特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          水無月特別（中央交流水無月特別（水無月0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,10,3,2,6,5,8,4                                                    201,9,10,3,2,6,5,8,4                                                    301,9,10,6,3,8,2,5,4                                                    401,9,10,6,3,8,4,2,5                                                    0
RAA20110630201106294706021060000槍ヶ岳賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          槍ヶ岳賞（中央交流）槍ヶ岳賞（中槍ヶ岳0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,2,1,6,3,8,4,7                                                     205,9,1,2,6,3,4,8,7                                                     309,5,1,2,6,3,8,7,4                                                     409,5,1,2,3,6,4,7,8                                                     0
RAA20110630201106294706020160000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,8,1,2,6,7,5                                                       203,4,8,1,2,6,7,5                                                       303,4,2,6,1,8,7,5                                                       403,4,6,2,1,7,5,8                                                       0
RAA20110617201106164705031170000雷鳥特別　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          雷鳥特別　Ｂ３　　　雷鳥特別　Ｂ雷鳥特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,8,7,10,2,4,3,6                                                  201,5,9,8,7,2,10,4,3,6                                                  301,5,2,9,7,8,10,4,3,6                                                  405,1,2,7,9,4,10,3,8,6                                                  0
RAA20110618201106174705041080000白山特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          白山特別　Ｃ１１　　白山特別　Ｃ白山特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,1,6,7,2,9,4,5,8                                                     203,1,6,2,7,4,9,8,5                                                     303,1,2,6,7,8,4,9,5                                                     403,1,2,7,6,8,9,4,5                                                     0
RAA20110628201106274706010840000サラ系Ｃ１８組　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１８組　Ｃ１サラ系Ｃ１８サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,4,8,3,2,5,1,6                                                     209,7,4,8,3,2,5,1,6                                                     309,7,4,8,3,2,5,1,6                                                     409,4,7,8,3,2,5,1,6                                                     0
RAA20110628201106274706010940000れんこん料理の竹扇賞　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     れんこん料理の竹扇賞れんこん料理れんこ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,7,1,6,8,5,3,2                                                     209,7,1,4,6,8,5,2,3                                                     309,7,1,4,6,5,8,3,2                                                     409,7,1,4,6,5,3,8,2                                                     0
RAA20110701201106304706030670000サラ系Ｂ６組　Ｂ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ６組　Ｂ６　サラ系Ｂ６組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,1,3,2,6,7,4,8,10,5                                                  209,1,3,2,6,7,4,5,8,10                                                  309,1,2,3,6,7,4,5,8,10                                                  401,9,2,4,7,3,6,5,8,10                                                  0
RAA20110701201106304706030370000サラ系３歳７組　７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳７組　７　サラ系３歳７サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,10,2,7,4,3,1,8                                                    209,6,10,2,7,3,4,1,8                                                    309,10,6,3,7,2,4,1,8                                                    409,10,3,7,6,2,4,1,8                                                    0
RAA20110617201106164705030270000サラ系３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳８組　８　サラ系３歳８サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,1,2,8,7,5,9,4                                                     203,6,1,8,2,7,5,9,4                                                     303,6,1,8,2,9,5,7,4                                                     403,6,8,1,2,9,5,4,7                                                     0
RAA20110628201106274706010140000サラ系３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳６組　６　サラ系３歳６サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,8,2,9,4,1,6,7                                                     203,5,8,2,9,1,4,6,7                                                     303,5,8,2,9,1,4,6,7                                                     403,8,5,2,1,9,6,4,7                                                     0
RAA20110630201106294706020960000白ばら特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               白ばら特別　１　　　白ばら特別　白ばら0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000330000000660000003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,4,7,6,8,2,5,9                                                     201,3,4,6,7,2,8,5,9                                                     301,3,6,4,7,8,5,2,9                                                     401,3,6,7,4,8,5,2,9                                                     0
