RAA20110604201106035603041080000虫歯予防デー特選３歳－１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          虫歯予防デー特選３歳虫歯予防デー虫歯予0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000002000000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,6,2,8,1,3,5                                                       207,4,2,6,1,8,3,5                                                       307,4,6,2,8,1,3,5                                                       407,2,4,6,8,1,3,5                                                       0
RAA20110611201106105604021180000梅雨特選Ｃ－２組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     梅雨特選Ｃ－２組　Ｃ梅雨特選Ｃ－梅雨特0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606063040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,5,6,3,4                                                           201,2,5,6,3,4                                                           301,2,5,6,3,4                                                           401,2,5,3,4,6                                                           0
RAA20110604201106035603040180000３歳－５組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳－５組　　　　　３歳－５組　３歳－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　095000002400    0000150000000300000001500000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,4,3,2,5,1                                                           404,6,2,5,3,1                                                           00                                                                      00                                                                      0
RAA20110604201106035603040380000３歳－４組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳－４組　　　　　３歳－４組　３歳－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000150000000300000001500000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,2,5,3,1,6                                                           304,2,5,3,1,6                                                           402,5,4,3,1,6                                                           00                                                                      0
RAA20110610201106095604010670000３歳－２組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳－２組　　　　　３歳－２組　３歳－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000300000001500000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,4,1,6                                                           202,3,1,5,4,6                                                           302,3,1,5,4,6                                                           402,1,3,4,5,6                                                           0
RAA20110625201106245604040180000３歳－５組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳－５組　　　　　３歳－５組　３歳－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　095000002400    0000150000000300000001500000004000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,7,1,6,3,5,2                                                         407,4,1,3,6,5,2                                                         00                                                                      00                                                                      0
RAA20110625201106245604041080000パール特選３歳－１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          パール特選３歳－１組パール特選３パール0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000002000000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,1,5,3,2,8                                                       204,6,7,1,5,3,2,8                                                       304,6,7,1,3,5,2,8                                                       407,4,6,1,3,5,8,2                                                       0
RAA20110701201106305605010170000３歳－６組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳－６組　　　　　３歳－６組　３歳－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　095000002400    0000150000000300000001500000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,1,4,6,2                                                           405,3,1,4,6,2                                                           00                                                                      00                                                                      0
RAA20110610201106095604010970000Ｃ－３組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－３組　Ｃ　　　　Ｃ－３組　ＣＣ－３0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,2,5,1,3,6                                                         207,4,2,5,1,3,6                                                         307,4,5,2,1,3,6                                                         407,4,5,2,1,3,6                                                         0
RAA20110618201106175604030880000Ｃ－２組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－２組　Ｃ　　　　Ｃ－２組　ＣＣ－２0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,2,4,5,1                                                           203,6,2,1,4,5                                                           303,6,2,1,4,5                                                           403,6,1,2,5,4                                                           0
RAA20110701201106305605011170000Ｃ－３組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ－３組　Ｃ　　　　Ｃ－３組　ＣＣ－３0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,4,7,8,2,5,6                                                       201,3,4,7,8,2,5,6                                                       301,3,4,7,8,2,6,5                                                       401,8,3,6,4,7,2,5                                                       0
RAA20110611201106105604021080000高瀬川Ｃ　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          高瀬川Ｃ　Ｂ　　　　高瀬川Ｃ　Ｂ高瀬川0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000500000002000000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,5,4,8,7,2,1                                                       203,6,4,5,7,8,2,1                                                       303,6,5,4,7,8,2,1                                                       406,5,3,7,8,4,1,2                                                       0
RAA20110618201106175604030980000みなづき特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       みなづき特別　　　　みなづき特別みなづ0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000500000002000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,2,6,1,3                                                           204,5,2,6,1,3                                                           304,5,6,2,1,3                                                           404,5,2,6,1,3                                                           0
RAA20110610201106095604011070000らくのうマザーズ特別　Ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          らくのうマザーズ特別らくのうマザらくの0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000300000000750000003000000009000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,2,1,3,4,8,5                                                       207,6,2,1,3,4,8,5                                                       307,6,2,1,3,4,8,5                                                       406,2,7,1,4,3,5,8                                                       0
RAA20110701201106305605011070000九州王冠　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       九州王冠　　　　　　九州王冠　　九州王0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000001000000004000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,7,8,1,6,2,5,9                                                     203,4,(7,8),1,2,6,5,9                                                   307,3,8,4,1,2,6,5,9                                                     407,1,4,2,3,5,6,9                                                       0
