RAA20110804201108035010041060000揖保川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          揖保川特別（中央交流揖保川特別（揖保川0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002000000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,11,5,12,8,2,4,9,10,3                                            201,6,7,11,5,(8,12),2,4,9,10,3                                          301,6,11,8,12,7,5,4,2,9,10,3                                            406,1,11,8,4,12,5,7,9,2,10,3                                            0
RAA20110811201108105011020960000摩耶山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               摩耶山特別（中央交流摩耶山特別（摩耶山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,3,11,5,6,1,4,2,8,7                                               209,10,3,11,5,1,6,4,2,(7,8)                                             3010,9,(1,11),3,5,6,4,2,8,7                                             4010,9,3,11,1,5,4,6,2,8,7                                               0
RAA20110825201108245012040960000三室山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               三室山特別（中央交流三室山特別（三室山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,1,4,8,(2,7),6,5                                                   203,9,1,4,8,2,6,7,5                                                     303,8,9,7,6,4,1,2,5                                                     403,8,6,9,2,5,7,1,4                                                     0
RAA20110803201108025010031150000サラ系３歳上　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000030000000054000000270000001500000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,4),6,8,5,12,1,10,9,2,11,7                                          203,4,6,8,5,12,1,10,9,2,11,7                                            304,3,6,(5,10),(8,12),9,1,2,11,7                                        404,10,5,3,6,9,8,12,2,1,11,7                                            0
RAA20110804201108035010041160000ひまわり賞　Ｂ２Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ひまわり賞　Ｂ２Ｃ１ひまわり賞　ひまわ0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000000800000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,5,4,7,11,2,1,8,6,3                                               209,10,4,5,7,11,2,1,8,6,3                                               309,5,8,10,2,4,7,11,6,1,3                                               405,9,8,2,4,7,10,6,3,11,1                                               0
RAA20110810201108095011010950000チャオ特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          チャオ特別　Ｂ２　　チャオ特別　チャオ0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001000000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,10,12,11,1,4,(5,7),9,6,2                                          203,8,10,12,11,4,1,(5,7),6,9,2                                          308,1,10,3,12,(4,11),7,5,6,9,2                                          408,1,7,12,11,3,4,10,5,9,6,2                                            0
RAA20110812201108115011030570000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,1,4,10,6,9,3,5,8,2                                                  207,1,4,10,6,9,3,5,8,2                                                  307,1,10,3,4,6,9,2,5,8                                                  401,7,3,10,4,9,6,2,8,5                                                  0
RAA20110825201108245012041060000淡路島牛乳特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     淡路島牛乳特別　Ｂ１淡路島牛乳特淡路島0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000550000001100000005500000033000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,11,5,4,9,(2,3),6,8,12,1                                          207,10,(5,11),4,9,3,2,(6,8),12,1                                        307,11,(4,5),9,(3,10),2,8,6,12,1                                        404,7,(3,5),11,(2,9),8,10,12,6,1                                        0
RAA20110831201108305013010950000たかさご万灯祭特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     たかさご万灯祭特別　たかさご万灯たかさ0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,9,3,6,12,10,2,11,5,7,8                                            201,4,9,3,6,12,2,10,5,11,7,8                                            301,4,3,12,5,9,6,2,10,11,7,8                                            401,5,3,12,4,6,2,10,9,11,(7,8)                                          0
RAA20110901201108315013020960000藻川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          藻川特別（中央交流）藻川特別（中藻川特0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00010000000020000000100000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,10,3,9,7,2,4,1,8,5                                                 2011,10,9,3,7,2,4,1,8,5                                                 309,10,4,7,11,2,3,1,5,8                                                 409,4,10,7,2,1,11,3,5,8                                                 0
RAA20110805201108045010051070000兵庫サマークイーン賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HYOGO SUMMER QUEEN SHO                                                                                                                                                                                                                                                                                                                                                  兵庫サマークイーン賞兵庫サマーク兵庫サ0000D 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0004000000008000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,5,3,6,8,4,7,1                                                     202,9,5,3,6,8,4,7,1                                                     302,9,5,6,3,8,4,1,7                                                     402,9,6,5,3,8,1,4,7                                                     0
RAA20110810201108095011010150000リミテッド　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     リミテッド　Ｃ３　　リミテッド　リミテ0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000360000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,9,1,4,6,10,2,3,8                                                  207,5,9,1,4,6,10,2,3,8                                                  30(5,7),9,10,1,4,6,8,2,3                                                405,7,9,1,10,(4,8),(3,6),2                                              0
RAA20110812201108115011030470000サラ系３歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２二サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,8,3,6,4,5,7,10,1                                                  209,2,8,3,6,4,5,7,10,1                                                  309,8,2,4,3,6,5,7,10,1                                                  409,4,8,2,3,5,6,7,10,1                                                  0
