RAA20111114201111133514021020000南部駒賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NAMBU KOMA SHO                                                                                                                                                                                                                                                                                                                                                          南部駒賞　　　　　　南部駒賞　　南部駒0000D 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0005000000011500000065000000450000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,8,3,2,1,7,5,4,10,6                                                  409,8,3,2,1,5,4,7,10,6                                                  00                                                                      00                                                                      0
RAA20111106201111053513040410000ホープフル（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ホープフル（中央認定ホープフル（ホープ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000001100    0001000000002300000013000000090000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,7,4,10,6,5,9,1,2,3                                                  408,7,4,5,10,9,6,1,3,2                                                  00                                                                      00                                                                      0
RAA20111115201111143514030340000ホープフル（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ホープフル（中央認定ホープフル（ホープ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000001100    0001000000002300000013000000090000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,9,5,(3,7),1,8,2,6                                                   404,(5,7),3,8,1,9,2,6                                                   00                                                                      00                                                                      0
RAA20111107201111053513041110000中津川鮭の遡上レースＡ二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     中津川鮭の遡上レース中津川鮭の遡中津川0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000460000000920000004600000033000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,7,4,3,5,9,2,10,8,1                                                  407,6,3,4,5,9,2,8,10,1                                                  00                                                                      00                                                                      0
RAA20111120201111193514041010000滝観洞レースＡ二組Ｂ１一組混合　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     滝観洞レースＡ二組Ｂ滝観洞レース滝観洞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000460000000920000004600000033000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,9,10,7,5,8,3,6,4,2                                                  401,9,10,7,3,8,5,6,4,2                                                  00                                                                      00                                                                      0
RAA20111108201111073513060540000選抜戦Ｃ２二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２二組　　　選抜戦Ｃ２二選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,5,9,4,2,8,6,7,10                                                  401,3,5,9,4,8,2,7,6,10                                                  00                                                                      00                                                                      0
RAA20111114201111133514020520000Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２五組　　　　　　Ｃ２五組　　Ｃ２五0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909094020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,(6,7),5,(3,9),1,8,2                                                 404,(6,7),3,9,5,1,8,2                                                   00                                                                      00                                                                      0
RAA20111114201111133514020620000Ｃ２四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２四組　　　　　　Ｃ２四組　　Ｃ２四0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,10,9,1,4,7,5,3,8,2                                                  406,10,9,4,1,5,7,3,8,2                                                  00                                                                      00                                                                      0
RAA20111115201111143514030440000Ｃ２三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２三組　　　　　　Ｃ２三組　　Ｃ２三0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,7,9,2,5,6,10,1,4,8                                                  40(3,7),2,9,5,6,10,1,4,8                                                00                                                                      00                                                                      0
RAA20111115201111143514030840000Ｂ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２六組　　　　　　Ｂ２六組　　Ｂ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000170000000340000001700000012000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,3,9,8,1,2,7,6,5,10                                                  404,3,9,8,7,1,2,6,5,10                                                  00                                                                      00                                                                      0
RAA20111120201111193514040910000Ｃ１十組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１十組　　　　　　Ｃ１十組　　Ｃ１十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,9,10,1,8,2,4,3,(5,7)                                                406,10,9,1,8,2,4,3,5,7                                                  00                                                                      00                                                                      0
RAA20111122201111213514061040000ダービーＧＰ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　DERBY GRAND PRIX                                                                                                                                                                                                                                                                                                                                                        ダービーＧＰ　　　　ダービーＧＰダービ0000D 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　200000002300    0008000000018400000104000000720000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(8,11),7,4,10,6,12,9,5,3                                            201,(8,11),7,4,10,6,5,9,12,3                                            3011,1,7,4,8,10,5,9,6,3,12                                              4011,7,4,10,5,1,8,9,12,3,6                                              0
RAA20111128201111263515010910000ＨＡＰＰＹ八幡平レースＢ２七組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＨＡＰＰＹ八幡平レーＨＡＰＰＹ八ＨＡＰ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000170000000340000001700000012000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,7,9,5,8,1,6,4,10                                                    407,9,5,3,1,6,8,4,10                                                    00                                                                      00                                                                      0
RAA20111128201111273515020520000Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２五組　　　　　　Ｃ２五組　　Ｃ２五0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,8,7,3,5,1,9,2,4                                                     406,8,7,3,1,5,2,9,4                                                     00                                                                      00                                                                      0
RAA20111128201111273515020720000２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ２歳　　　　　　　　２歳　　　　２歳　0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000640000001280000006400000045000000190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,8,7,1,(6,9),5,(3,4)                                                 402,(1,8),7,6,9,5,4,3                                                   00                                                                      00                                                                      0
RAA20111113201111123514010810000Ｃ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２六組　　　　　　Ｃ２六組　　Ｃ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,2,6,1,8,3,5,4,7                                                     409,2,1,6,3,5,8,4,7                                                     00                                                                      00                                                                      0
