RAA20111117201111164308030960000フェイスフルブーツ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フェイスフルブーツ特フェイスフルフェイ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,1,7,2,6,5,(3,8),9                                                204,10,1,7,2,(5,6),8,3,9                                                30(4,10),7,1,5,8,(2,6),3,9                                              404,10,7,8,(1,5),(3,6),9,2                                              0
RAA20111118201111174308040970000フェイスフルステッキ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フェイスフルステッキフェイスフルフェイ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,2,8,(6,9),11,1,7,10,3                                             204,5,2,8,(6,11),9,1,7,10,3                                             30(4,5),8,(1,11),(2,9),6,7,10,3                                         405,8,1,4,(9,11),6,10,2,7,3                                             0
RAA20111117201111164308030460000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002012,(3,5),9,4,7,6,(1,10),2,8,11                                        3012,3,5,(4,9),7,(1,6),10,2,11,8                                        4012,3,(5,7),4,9,1,6,10,11,2,8                                          00                                                                      0
RAA20111119201111184308050680000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(4,6),7,(1,3,8,9,12),5,10,2,11                                        304,6,(7,12),1,3,9,11,8,5,10,2                                          40(4,6),12,1,7,9,3,11,5,2,10,8                                          00                                                                      0
RAA20111115201111144308010940000長狭特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          長狭特別　Ｃ２一　　長狭特別　Ｃ長狭特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,3,2,13,5,6,4,12,7,14,8,11                                        209,10,3,2,13,6,5,4,12,7,(8,14),11                                      3010,3,9,2,5,13,6,12,4,7,14,8,11                                        4010,3,9,2,5,(6,12),13,7,4,14,8,11                                      0
RAA20111116201111154308021050000養老特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          養老特別　Ｂ１　　　養老特別　Ｂ養老特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00030000000090000000600000003600000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,6,7,(2,5,10),9,8,1,(4,11),14,3,12                                  2013,6,7,9,5,10,2,8,1,4,11,14,3,12                                      30(6,13),7,(5,9),(8,10),1,(2,11),14,4,3,12                              40(6,13),(5,7),8,10,9,1,11,14,2,4,3,12                                  0
RAA20111117201111164308031060000平和賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HEIWA SHO                                                                                                                                                                                                                                                                                                                                                               平和賞　　　　　　　平和賞　　　平和賞0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0012000000042000000240000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001312121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,2,13,1,12,10,(8,11),(5,7),9,6                                       204,2,13,1,12,10,11,8,7,5,9,6                                           304,2,13,(1,12),(5,8,10,11),9,7,6                                       404,(2,13),12,8,(5,7,9),10,1,11,6                                       0
RAA20111116201111154308020750000ＳｕｎｄａｙＢｒｅｅｚｅ賞　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＳｕｎｄａｙＢｒｅｅＳｕｎｄａｙＳｕｎ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,4,10,(7,11),2,8,3,9,6,1,12                                          305,10,(4,11),(7,8),2,(3,9),6,1,12                                      405,10,4,11,7,8,2,3,9,6,1,12                                            00                                                                      0
RAA20111118201111174308040870000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,1,(4,13),9,5,10,8,(7,14),11,12                                  202,3,6,1,(4,13),9,5,10,(7,8),14,11,12                                  302,3,6,1,(9,13),5,(4,8),(7,10),14,11,12                                40(2,3),1,9,13,6,5,8,7,(11,14),10,4,12                                  0
RAA20111116201111154308020350000サラ系２歳　ア　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　ア　　　サラ系２歳　サラ系0000  110000000000000000000２３万上５９万未満　　　　　　　　　　　　　　　　　　　　　120000002300    000130000000390000002340000015600000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(3,6,11),5,2,8,7,1,9,4,10                                             3011,(3,6),5,2,7,(4,8),1,9,10                                           403,(6,11),5,2,7,(4,8),1,9,10                                           00                                                                      0
RAA20111116201111154308020650000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001312121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,4,5,11,1,12,(3,13),7,2,10                                         206,8,4,5,11,1,13,12,3,7,2,10                                           306,8,(4,13),5,11,12,1,(2,3,7),10                                       40(6,8),4,13,5,11,2,(1,12),(3,7),10                                     0
RAA20111117201111164308030560000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,(1,8,12),14,3,13,5,11,6,2,7,10,9                                    204,8,(1,12),14,3,13,5,11,6,2,(7,10),9                                  30(4,8),12,(1,3),(5,13),(11,14),(2,6),10,7,9                            408,3,1,4,5,12,11,13,2,6,(7,10),14,9                                    0
RAA20111117201111164308030260000サラ系一般　Ｃ３五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３五　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,12,5,2,4,3,(1,7,11),8,9                                          206,10,2,12,5,7,1,4,11,3,9,8                                            306,10,(2,12),5,(4,7),(1,11),3,(8,9)                                    406,10,12,(2,5),4,11,7,1,3,(8,9)                                        0
