RAA20111109201111084509020850000シトリンスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          シトリンスター賞（中シトリンスタシトリ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,5,4,8,3,1,10,2                                                  206,7,5,9,4,8,1,3,2,10                                                  30(6,7,9),5,8,4,3,1,2,10                                                40(6,9),5,(4,7),8,1,3,2,10                                              0
RAA20111109201111084509020950000ノベンバースター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ノベンバースター賞（ノベンバースノベン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,8,9,2,5,1,11,4,6,3                                               207,10,8,2,9,1,5,4,11,6,3                                               30(8,10),7,9,11,2,5,6,1,4,3                                             407,(2,10),(8,9),11,1,6,5,4,3                                           0
RAA20111111201111104509040870000トパーズスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          トパーズスター賞（中トパーズスタトパー0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,10,1,5,6,4,8,2,11                                               203,7,9,1,(5,10),6,4,8,2,11                                             303,(7,9),1,10,6,4,(5,8),(2,11)                                         403,1,7,9,(4,6),10,8,2,11,5                                             0
RAA20111110201111094509031060000ロジータ記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ROSITA KINEN                                                                                                                                                                                                                                                                                                                                                            ロジータ記念　　　　ロジータ記念ロジー0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　210000002300    0020000000070000000400000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,9,4,8,10,1,3,13,11,6,7,(12,14)                                    205,2,9,4,1,8,10,3,13,11,6,7,14,12                                      305,9,2,1,4,3,13,8,(7,11),10,14,12,6                                    405,9,1,2,4,3,13,7,(11,14),10,(8,12),6                                  0
RAA20111112201111114509050580000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,10,12,2,6,7,5,3,4,11,8                                            201,9,10,2,12,6,5,7,3,4,11,8                                            30(1,9),10,12,2,6,5,11,4,3,7,8                                          401,9,2,10,12,6,5,11,4,3,7,8                                            0
RAA20111113201111114509051080000ローレル賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　LAUREL SHO                                                                                                                                                                                                                                                                                                                                                              ローレル賞　　　　　ローレル賞　ローレ0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0010000000035000000200000001000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,9,14,10,3,11,4,1,8,5,12,7,13                                      202,6,9,3,10,14,1,4,5,11,7,8,12,13                                      302,(6,9),10,14,5,1,7,3,13,4,8,12,11                                    402,9,6,5,10,7,1,13,11,12,8,14,4,3                                      0
RAA20111111201111104509040270000新馬（中央認定）　８イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            新馬（中央認定）　８新馬（中央認新馬（0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000036000000240000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,1,2,8,3,7,6,4                                                     205,9,1,2,3,8,7,6,4                                                     30(5,9),2,1,3,8,7,6,4                                                   40(5,9),2,1,3,7,8,6,4                                                   0
RAA20111108201111074509011040000日高特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          日高特別　Ｃ２一　　日高特別　Ｃ日高特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,4,14,10,7,2,1,11,12,5,3,8,13                                      209,6,4,14,2,10,1,7,5,11,12,3,8,13                                      30(6,9),(3,4,10,14),(1,2,12),13,11,5,8,7                                406,9,4,1,2,10,(5,12),11,8,13,14,7,3                                    0
RAA20111112201111114509050380000特選　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            特選　２　　　　　　特選　２　　特選　0000  110000000000000000000サラ系２歳　７９万上１９１万未満　　　　　　　　　　　　　　150000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,8,2,1,4,6,10,12,11,9                                            203,5,7,2,8,1,4,6,10,11,12,9                                            303,5,7,2,8,9,1,6,10,4,12,11                                            403,5,2,1,(7,9),8,4,10,6,11,12                                          0
RAA20111109201111084509020750000サラ系一般　Ｃ２二三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,8,3,4,13,9,6,14,2,11,12,1,10                                      205,7,8,3,4,13,6,2,9,14,11,12,1,10                                      309,13,5,7,4,3,8,6,14,11,2,12,(1,10)                                    4013,9,4,5,3,6,14,(2,7),11,(1,8),12,10                                  0
RAA20111109201111084509020450000サラ系３歳　４イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　４イ　　サラ系３歳　サラ系0000  120000000000000000000８８万上１２４万未満　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,14,9,6,3,4,13,10,1,7,11,5,2,12                                      208,9,3,14,6,4,13,1,10,7,11,2,5,12                                      308,9,14,3,4,(1,7),6,13,10,11,2,5,12                                    408,(3,9),1,4,14,7,10,2,(11,13),6,5,12                                  0
RAA20111111201111104509041070000サラ系一般　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,13,3,10,7,9,1,6,2,11,8,12                                         205,4,13,3,10,7,1,9,6,2,11,8,12                                         305,(4,13),9,(3,10),(2,11),6,1,7,8,12                                   405,13,4,(3,9),2,(1,10),6,7,8,11,12                                     0
RAA20111112201111114509050180000サラ系３歳　７ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　７ロ　　サラ系３歳　サラ系0000  120000000000000000000５４万上８８万未満　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,12,7,8,6,11,10,1,2,3                                            204,5,6,9,7,12,8,11,1,10,2,3                                            304,5,6,9,12,7,10,11,2,8,1,3                                            404,9,6,10,7,12,5,11,2,8,1,3                                            0
