RAA20111109201111084616021050000能登巌門賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          能登巌門賞（中央交流能登巌門賞（能登巌0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001000000002000000009000000070000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,9,(3,11),5,10,6,8,2                                             201,(4,7),9,3,11,10,5,8,6,2                                             301,(4,7),9,10,3,8,11,5,6,2                                             407,1,4,9,(8,10),5,3,11,6,2                                             0
RAA20111109201111084616020250000サラ系一般　Ｃ３７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３７　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,9,6,(7,8),(3,5),2                                                 201,4,9,7,8,6,3,5,2                                                     301,4,9,5,7,8,3,6,2                                                     401,4,9,5,(2,7),3,8,6                                                   0
RAA20111109201111084616020850000金沢市民マラソン特別　Ｃ３１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          金沢市民マラソン特別金沢市民マラ金沢市0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000030000000060000000270000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,5),10,2,(3,11),(4,7),(6,8,9)                                       201,5,10,2,4,3,11,6,9,7,8                                               301,4,5,10,3,11,2,6,9,8,7                                               401,(4,10),5,3,6,8,11,9,2,7                                             0
RAA20111114201111134616030620000輪島かにまつり特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          輪島かにまつり特別　輪島かにまつ輪島か0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,9,2,11,7,3,(6,10),1                                             204,5,(2,8,9),11,1,3,7,6,10                                             304,5,2,11,9,8,1,3,(6,7),10                                             404,5,2,11,9,1,3,(6,8),7,10                                             0
RAA20111123201111224617020650000サラ系一般　Ｃ３３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３３　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,6,10,4,8,1,2,3                                                    209,7,6,10,4,8,1,2,3                                                    307,9,6,10,4,1,2,8,3                                                    407,9,10,6,4,1,2,8,3                                                    0
RAA20111123201111224617020750000三厩の川村忠志引退記念　Ｃ３２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     三厩の川村忠志引退記三厩の川村忠三厩の0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,11,5,10,6,7,1,8,4,9                                               202,3,11,5,6,10,7,1,8,4,9                                               303,2,11,6,5,8,1,7,10,4,9                                               403,2,11,6,5,1,8,7,10,4,9                                               0
RAA20111128201111274617030720000おんねも祭り特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          おんねも祭り特別　Ｃおんねも祭りおんね0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,7,11,2,3,8,1,6,5,4                                               209,10,2,7,(3,11),8,1,6,5,4                                             309,10,2,7,8,3,11,1,6,5,4                                               409,2,10,3,8,7,11,(1,5),6,4                                             0
RAA20111114201111134616031020000北國王冠　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HOKKOKU OKAN                                                                                                                                                                                                                                                                                                                                                            北國王冠　　　　　　北國王冠　　北國王0000D 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　260000002400    0003000000006000000027000000210000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,10,7,4,12,8,1,3,11,2,9                                            205,6,10,7,8,4,12,1,3,11,2,9                                            305,6,7,1,4,3,8,10,12,11,2,9                                            405,6,7,1,4,3,11,2,8,9,12,10                                            0
RAA20111128201111274617030920000くわい・そば祭り特別　Ｂ３１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          くわい・そば祭り特別くわい・そばくわい0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002200000017000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,(4,5,6),10,(1,7,8),9,2                                              203,5,6,4,10,1,7,8,9,2                                                  305,(6,10),3,4,8,(1,7),9,2                                              4010,5,3,6,4,8,1,7,2,9                                                  0
RAA20111116201111154616041050000プリンセスＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　PRINCESS CUP                                                                                                                                                                                                                                                                                                                                                            プリンセスＣ　　　　プリンセスＣプリン0000D 110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001500000003000000013500000105000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,11,8,2,9,4,1,7,3                                                 206,10,2,11,8,9,(1,4),7,3                                               306,10,(8,11),2,4,9,7,1,3                                               40(6,10),8,11,9,4,2,1,7,3                                               0
RAA20111123201111224617020550000サラ系一般　Ｃ３４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３４　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,9,11,8,2,7,10,3,6,5                                               204,1,9,8,11,2,10,7,6,3,5                                               304,1,8,9,11,10,7,6,2,3,5                                               404,1,8,7,10,11,6,3,5,9,2                                               0
