RAA20111104201111035018060670000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,1,12,4,3,11,9,8,7,10,6                                            202,5,1,12,3,4,(7,11),8,9,10,6                                          302,12,5,1,(8,11),(3,7),6,10,4,9                                        402,12,1,8,11,5,3,7,6,10,4,9                                            0
RAA20111118201111175019061070000円山川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          円山川特別（中央交流円山川特別（円山川0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　187000002400    0001000000002000000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,3,8,6,10,9,2,4,1                                                  205,7,3,8,6,10,2,9,4,1                                                  302,4,5,10,7,8,3,1,9,6                                                  402,(4,5),3,(1,10),6,7,8,9                                              0
RAA20111124201111235020021060000兵庫ジュニアＧＰ（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HYOGO JUNIOR GRAND PRIX                                                                                                                                                                                                                                                                                                                                                 兵庫ジュニアＧＰ（中兵庫ジュニア兵庫ジ0000B 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    002200000005500000026400000176000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,8),9,3,10,5,2,11,4,(6,12),7                                        201,8,9,3,5,(2,10),11,4,6,12,7                                          30(1,8),9,5,3,10,(2,6),11,(4,12),7                                      40(1,8),9,5,2,3,6,4,12,7,10,11                                          0
RAA20111102201111015018041250000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,12,2,11,4,1,7,5,6,9,3,10                                            208,12,2,11,4,1,7,5,9,6,10,3                                            301,8,4,2,12,11,9,7,5,10,6,3                                            401,(4,8),2,12,9,5,(3,10),7,6,11                                        0
RAA20111103201111025018050960000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,3,10,2,1,4,(6,7),5                                                209,8,3,10,2,1,4,6,7,5                                                  309,8,3,10,2,1,6,4,5,7                                                  409,8,3,10,(1,2),6,4,5,7                                                0
RAA20111103201111025018051060000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,6,1,(8,9),10,3,7,2                                                204,5,6,1,(8,9),10,3,7,2                                                304,5,1,6,8,10,7,3,9,2                                                  405,4,1,6,8,10,3,7,2,9                                                  0
RAA20111110201111095019020860000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,1,9,3,6,5,10                                                    202,7,8,1,3,6,9,5,10                                                    302,(7,8),3,1,6,9,5,10                                                  402,8,7,1,(3,6),10,9,5                                                  0
RAA20111111201111105019030870000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,6,1,8,2,5,9,10,3                                                  204,7,6,1,8,2,5,9,10,3                                                  304,7,1,6,2,5,9,10,3,8                                                  404,7,(1,5),2,6,10,9,3,8                                                0
RAA20111116201111155019040950000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,7,2,4,3,1,12,6,10,11,5                                            208,9,7,2,4,3,1,6,12,10,11,5                                            307,8,2,1,9,3,4,6,12,11,5,10                                            407,8,2,1,3,6,12,9,5,11,4,10                                            0
RAA20111117201111165019051060000楽天競馬賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     楽天競馬賞　Ｃ１　　楽天競馬賞　楽天競0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,11,4,5,1,8,7,10,3,2,6,12                                            209,4,11,5,1,8,7,10,3,2,6,12                                            30(4,8),9,5,11,1,10,3,7,6,2,12                                          404,8,5,9,3,10,1,11,7,12,6,2                                            0
RAA20111118201111175019060770000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,5,1,4,9,6,10,3,7                                                  202,8,5,1,9,4,6,10,3,7                                                  30(2,8),1,9,6,4,5,10,7,3                                                408,2,1,9,6,4,10,5,7,3                                                  0
RAA20111123201111225020010250000サラ系３歳上　Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ３二サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000360000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,3,5,8,2,9,10,4                                                  201,6,7,3,8,5,2,9,10,4                                                  306,1,7,2,8,3,10,5,9,4                                                  406,1,2,(7,8),10,3,5,4,9                                                0
RAA20111123201111225020011250000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,12,1,2,7,4,8,10,3,(9,11)                                          205,6,12,1,2,7,4,8,10,3,(9,11)                                          307,6,8,5,12,2,1,10,4,9,(3,11)                                          407,6,8,(5,12),2,10,1,9,4,(3,11)                                        0
