RAA20111219201112173601041010000奥州市職員奥馬の会会長杯Ａ二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     奥州市職員奥馬の会会奥州市職員奥奥州市0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000460000000920000004600000033000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010096040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,4,6,2,8,7,9,5,3                                                  201,10,6,2,4,9,7,8,5,3                                                  301,10,2,6,7,5,4,9,8,3                                                  401,2,10,6,5,7,4,9,3                                                    0
RAA20111212201112113601020820000ＪＡ岩手ふるさと奥州牛杯Ｂ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＪＡ岩手ふるさと奥州ＪＡ岩手ふるＪＡ岩0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000340000001700000012000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,5,4,1,8,6,2,9,7                                                  203,10,5,4,1,2,8,6,9,7                                                  303,(4,10),5,1,6,2,9,8,7                                                403,4,10,5,1,6,2,9,7,8                                                  0
RAA20111212201112113601021020000寒菊賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 寒菊賞　　　　　　　寒菊賞　　　寒菊賞0000E 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001500000003450000019500000135000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,3,1,5,10,2,4,11,9,7                                               208,6,3,1,10,5,2,4,11,9,7                                               30(1,6,8),11,3,5,10,4,2,9,7                                             406,1,10,3,5,11,8,4,9,2,7                                               0
RAA20111219201112173601040810000Ｃ１十一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１十一組　　　　　Ｃ１十一組　Ｃ１十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909096040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,1,6,4,2,8,3,5                                                     207,9,1,6,4,2,8,3,5                                                     307,9,1,3,6,2,8,4,5                                                     407,9,3,1,8,4,2,6,5                                                     0
RAA20111219201112173601041110000伝統の味岩谷堂羊羹レースＣ１五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     伝統の味岩谷堂羊羹レ伝統の味岩谷伝統の0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010106040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,7,1,8,6,2,10,3,4                                                  209,5,7,1,6,8,2,10,3,4                                                  308,7,10,5,9,6,1,2,4,3                                                  407,8,10,6,5,1,4,2,3,9                                                  0
RAA20111220201112193601060640000Ｃ２一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一組　　　　　　Ｃ２一組　　Ｃ２一0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010106040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,4,10,5,6,7,9,8                                                  201,2,3,4,10,6,5,8,7,9                                                  301,2,3,6,10,4,7,8,5,9                                                  401,3,2,6,10,8,7,9,4,5                                                  0
RAA20111227201112263602021040000ディセンバーＣ　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ディセンバーＣ　Ｂ２ディセンバーディセ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000210000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,12,11,2,5,8,9,4,7,6,1,3                                            2010,12,2,11,5,4,8,9,7,1,6,3                                            3010,12,5,2,11,8,9,4,(1,6,7),3                                          4010,12,5,8,2,9,(1,6),4,11,3,7                                          0
RAA20120106201112303602030780000Ｃ１八組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１八組　　　　　　Ｃ１八組　　Ｃ１八0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010105040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,8,10,9,5,6,1,4,2                                                  203,7,8,9,10,5,6,1,4,2                                                  303,7,8,10,9,6,5,1,2,4                                                  403,7,9,10,2,5,6,1,8,4                                                  0
RAA20120106201112303602030980000連合岩手優駿の会ガンバロウ岩手Ｃ１三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     連合岩手優駿の会ガン連合岩手優駿連合岩0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000010000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909096040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,8,1,5,4,2,9                                                     203,6,8,7,1,5,4,2,9                                                     306,5,3,8,1,7,4,2,9                                                     406,5,1,3,8,4,9,2,7                                                     0
RAA20120106201112313602040510000Ｃ２一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一組　　　　　　Ｃ２一組　　Ｃ２一0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,2,8,6,4,7,5,3,1                                                  209,10,2,8,6,4,7,5,3,1                                                  309,10,8,2,6,4,5,(3,7),1                                                409,10,2,8,4,6,5,3,7,1                                                  0
