RAA20120323201203224211040970000ツインファイター特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツインファイター特別ツインファイツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,12,8,3,10,2,6,5,7,11,4,9                                            201,12,3,8,10,2,6,5,7,11,4,9                                            301,3,8,7,6,10,11,2,5,4,9                                               401,3,7,8,11,6,4,10,5,9,2                                               0
RAA20120327201203224211041170000マルチスピリット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチスピリット特別マルチスピリマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000068000000520000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,8,12,11,6,1,7,3,10,5,4                                            202,9,12,8,11,6,1,7,3,10,5,4                                            302,12,9,8,7,6,1,11,3,10,5,4                                            402,12,8,1,6,7,9,3,11,5,10,4                                            0
RAA20120324201203234211051080000幸手桜ほのか賞　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     幸手桜ほのか賞　Ｃ２幸手桜ほのか幸手桜0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,7,8,6,2,3,1,4,5                                                  209,10,7,2,6,8,1,3,4,5                                                  309,10,7,2,8,6,1,3,4,5                                                  409,2,10,8,6,7,1,5,3,4                                                  0
RAA20120321201203204211020950000若草特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若草特別　　　　　　若草特別　　若草特0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,6,8,7,1,4,3,11,5,2                                               209,10,8,6,7,1,4,3,11,5,2                                               309,10,8,7,6,1,4,3,11,5,2                                               409,8,10,1,6,7,4,3,11,5,2                                               0
RAA20120322201203214211031260000花見月特別　Ｂ１Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          花見月特別　Ｂ１Ｂ２花見月特別　花見月0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　190000002300    00024000000072000000408000003120000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,1,3,5,6,2,4,7,8,9,10                                               2011,1,3,5,2,6,4,7,9,8,10                                               3011,1,6,3,5,4,7,2,9,8,10                                               4011,6,4,3,1,5,7,2,9,8,10                                               0
RAA20120324201203234211050580000サラ系一般　Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３二　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000800000002400000013600000104000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,11,5,12,1,3,8,10,2,9,6                                            207,4,11,5,12,1,3,8,10,2,9,6                                            307,4,11,12,5,10,8,3,1,2,9,6                                            407,11,4,5,12,10,3,8,1,2,9,6                                            0
RAA20120323201203224211041270000春霞特別　Ｂ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春霞特別　Ｂ３四　　春霞特別　Ｂ春霞特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,4,9,5,6,11,7,1,10,2                                               203,4,5,8,9,6,11,7,1,10,2                                               303,9,4,6,5,11,7,1,8,10,2                                               407,9,6,4,3,5,11,1,10,8,2                                               0
RAA20120320201203194211010340000サラ系４歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　　　　　サラ系４歳　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00008000000024000000136000001040000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,9,6,8,5,2,4,3,7                                                  2010,1,9,6,8,5,2,4,3,7                                                  301,9,10,8,6,5,3,4,2,7                                                  401,9,8,10,6,5,3,2,4,7                                                  0
RAA20120322201203214211030560000サラ系一般　Ｃ２八九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,6,8,10,2,4,3,1,5                                                  209,6,8,10,2,1,4,3,5                                                    309,8,10,2,1,4,6,3,5                                                    408,10,9,2,1,4,3,6,5                                                    0
RAA20120324201203234211050880000サラ系一般　Ｃ２１４１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,11,3,9,8,6,12,7,4,2,1                                            205,10,11,3,9,8,6,12,7,2,4,1                                            305,10,11,8,9,3,6,12,2,7,4,1                                            405,9,8,10,3,11,2,6,12,1,7,4                                            0
RAA20120322201203214211030660000サラ系一般　Ｃ２八九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,3,7,5,1,9,2,6,10,4,8                                               2011,3,7,1,5,9,2,6,4,10,8                                               3011,3,7,9,5,1,6,2,10,4,8                                               4011,9,3,7,5,2,1,4,(6,8),10                                             0
RAA20120320201203194211011140000幸手権現堂桜堤賞　Ｃ１五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     幸手権現堂桜堤賞　Ｃ幸手権現堂桜幸手権0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001200000003600000020400000156000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,7,5,2,4,9,3,1,8,10                                               206,11,7,5,4,9,2,3,1,8,10                                               30(6,11),7,3,5,4,1,9,2,8,10                                             407,3,11,5,1,4,6,2,9,8,10                                               0
