RAA20120306201203054825010240000サラ３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳４組　４　　サラ３歳４組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000210000000420000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,4,8,3,5,2,1,6                                                     207,9,4,8,3,5,2,1,6                                                     307,9,4,5,8,3,2,1,6                                                     407,9,4,5,3,8,2,6,1                                                     0
RAA20120307201203064825020950000名古屋ＣＣストロベリー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣストロベリ名古屋ＣＣス名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000920000003700000022000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,4,8,10,(1,2,6,9),7                                                203,5,4,8,10,6,1,9,2,7                                                  304,8,3,10,5,1,6,9,7,2                                                  408,10,4,5,1,3,6,9,7,2                                                  0
RAA20120309201203084825041070000スプリングＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SPRING CUP                                                                                                                                                                                                                                                                                                                                                              スプリングＣ　　　　スプリングＣスプリ0000D 120000000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0002000000004600000016000000100000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,11,5,10,7,9,3,2,6,1                                               208,4,11,5,10,7,3,9,2,1,6                                               308,4,11,5,10,7,3,9,2,1,6                                               408,4,11,10,5,1,2,3,7,9,6                                               0
RAA20120323201203224826041170000名古屋大賞典（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NAGOYA DAISHOTEN                                                                                                                                                                                                                                                                                                                                                        名古屋大賞典（中央交名古屋大賞典名古屋0000C 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　190000002400    0021000000054600000273000001260000010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,3,9,10,7,8,11,6,1,4                                               202,5,(3,9),10,7,8,11,1,6,4                                             302,(5,9),3,7,10,8,11,1,6,4                                             402,5,9,3,7,8,11,1,6,4,10                                               0
RAA20120307201203064825020550000サラＣ２２組　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２２組　Ｃ２２サラＣ２２組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    000013000000026000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,3,5,6),2,4,9,10,7,8                                                403,5,1,6,2,4,9,8,10,7                                                  00                                                                      00                                                                      0
RAA20120308201203074825030760000東日本大震災私たちは忘れない！　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東日本大震災私たちは東日本大震災東日本0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,(3,8),5,4,6,9,2,1                                                   207,8,(3,5),4,6,9,2,1                                                   307,8,4,3,5,9,6,2,1                                                     407,8,4,3,5,6,9,2,1                                                     0
RAA20120308201203074825030860000慎吾☆夏希結婚おめでとう記念　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     慎吾☆夏希結婚おめで慎吾☆夏希結慎吾☆0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,9,2,5,7,8,6,3                                                     201,4,9,2,5,7,6,8,3                                                     301,4,9,(2,7),6,5,8,3                                                   404,9,7,1,8,6,2,5,3                                                     0
RAA20120310201203094825050880000サラＣ２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２組　Ｃ２　　サラＣ２組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,10,2,1,6,5,9,7,8                                                  203,4,(2,10),1,6,5,7,9,8                                                303,4,10,(2,5),6,1,(7,9),8                                              403,4,10,5,2,1,6,7,9,8                                                  0
RAA20120320201203194826010540000涼くん中学卒業おめでとう記念　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     涼くん中学卒業おめで涼くん中学卒涼くん0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,5,1,8,2,7,4,3                                                     206,9,5,1,8,2,7,4,3                                                     306,5,1,8,9,2,7,4,3                                                     401,6,5,9,8,2,3,7,4                                                     0
RAA20120320201203194826010640000駒鳥特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               駒鳥特別　１　　　　駒鳥特別　１駒鳥特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000380000000760000003800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,2,8,5,9,10,3,6                                                  201,4,7,2,(5,8),9,10,3,6                                                301,4,7,(2,8),5,9,3,10,6                                                401,7,4,2,5,8,9,3,10,6                                                  0
RAA20120320201203194826011040000牡羊座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          牡羊座特別　Ｂ１　　牡羊座特別　牡羊座0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000270000000540000002700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,8,1,5,4,6,9,10                                                  202,3,7,8,1,4,5,6,9,10                                                  302,3,7,(1,8),4,9,6,5,10                                                402,3,7,1,8,10,9,5,6,4                                                  0
RAA20120321201203204826020150000根本凛ちゃん２歳お誕生日　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          根本凛ちゃん２歳お誕根本凛ちゃん根本凛0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000210000000420000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,(2,4,8),3,1                                                     205,6,(2,7),4,8,3,1                                                     305,6,7,(2,8),3,4,1                                                     405,2,6,7,8,3,4,1                                                       0
