RAA20120411201204104501020950000エイプリルスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          エイプリルスター賞（エイプリルスエイプ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,8,5,9,10,7,2,3,12,11                                              201,4,8,5,2,9,7,10,3,12,11                                              301,4,8,(5,7),9,2,12,(3,10),11                                          401,5,8,(4,7),12,9,2,11,3,10                                            0
RAA20120412201204114501030860000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,3,11,5,2,13,14,12,9,8,1,10,6                                      204,3,7,11,2,5,13,9,14,12,8,1,10,6                                      304,11,9,3,8,7,2,(5,10),13,(12,14),1,6                                  40(4,11),9,3,8,2,(5,10),12,13,14,1,6,7                                  0
RAA20120413201204124501040970000エイプリルフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               エイプリルフラワー賞エイプリルフエイプ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,8,2,9,1,10,3,(4,6)                                                207,5,2,8,1,9,3,10,6,4                                                  307,2,9,5,10,8,(1,6),3,4                                                407,9,2,5,8,10,1,3,6,4                                                  0
RAA20120411201204104501021050000稲妻特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          稲妻特別　Ｃ２　　　稲妻特別　Ｃ稲妻特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　090000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,9,(3,10,11),(2,8),1,4,5,6                                           307,10,9,11,(2,3),8,1,4,5,6                                             407,10,11,9,2,(1,3),8,5,4,6                                             00                                                                      0
RAA20120414201204134501050580000サラ系一般　Ｃ３一二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,(9,10),4,6,14,13,1,8,11,12,7                                    202,3,4,5,6,10,9,14,13,1,8,11,12,7                                      302,3,4,5,6,10,1,9,14,13,8,12,11,7                                      402,4,3,6,1,5,10,14,9,13,12,8,11,7                                      0
RAA20120410201204094501011040000花まつり特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          花まつり特別　Ｃ２一花まつり特別花まつ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00017000000051000000340000002040000013600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,11,9,12,1,5,3,6,13,2,8,14,7                                      2010,4,1,11,9,12,5,3,2,6,13,8,14,7                                      3010,11,4,1,9,3,5,6,12,13,8,2,7,14                                      4010,(1,4),3,11,(8,9),5,13,6,12,7,2,14                                  0
RAA20120412201204114501031060000クラウンＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　CROWN CUP                                                                                                                                                                                                                                                                                                                                                               クラウンＣ　　　　　クラウンＣ　クラウ0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0010000000035000000200000001000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,9,5,12,14,7,10,8,2,13,11,3,6                                      201,4,9,5,12,14,7,10,8,2,13,11,6,3                                      301,9,5,4,12,10,8,7,14,2,11,13,6,3                                      40(1,5),9,(7,12),(2,10),8,4,11,6,14,13,3                                0
RAA20120414201204134501051080000箱根町特別　Ｂ１Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          箱根町特別　Ｂ１Ｂ２箱根町特別　箱根町0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00030000000090000000600000003600000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111030200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,3,2,10,8,6,7,12,1,4,5                                              2011,3,2,10,8,6,12,7,1,4,5                                              3011,3,10,2,12,6,8,1,7,4,5                                              4011,3,2,10,(6,8),(1,12),(4,7),5                                        0
RAA20120413201204124501041070000大観山特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          大観山特別　Ａ２　　大観山特別　大観山0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,11,3,1,2,5,4,7,8,12,9                                            206,10,11,3,1,2,5,7,4,8,9,12                                            306,10,11,(1,3),7,5,2,4,12,8,9                                          406,(1,10),11,3,(5,7),(4,12),8,9                                        0
RAA20120413201204124501040770000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,1,8,3,5,10,12,11,9                                              204,6,7,1,8,5,3,10,11,12,9                                              304,6,7,1,8,5,10,12,(3,11),9                                            404,6,(1,7),5,8,10,3,(11,12),9                                          0
RAA20120411201204104501020850000山桜特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               山桜特別　１　　　　山桜特別　１山桜特0000E 120002000000000000000サラ系３歳　２８５万上　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,11,2,7,8,3,5,10,6,13,12,1                                         204,9,2,11,7,8,3,5,10,6,13,12,1                                         30(4,9),11,2,8,10,3,5,1,6,7,13,12                                       404,9,11,2,8,10,3,6,5,1,12,7,13                                         0
