RAA20120620201206194303020850000ナイスサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ナイスサドル特別（中ナイスサドルナイス0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    000200000000600000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121111203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,3),12,10,4,1,6,7,(5,9),8                                           20(2,3),12,10,4,1,7,6,9,5,8                                             30(2,3),(7,12),(1,4),10,6,9,5,8                                         403,(2,7,12),1,6,4,9,(5,10),8                                           0
RAA20120622201206214303040970000ファンシーサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ファンシーサドル特別ファンシーサファン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,6,(1,2),9,5,7,3                                                   208,4,6,(1,2),9,5,7,3                                                   308,6,9,4,2,7,5,3,1                                                     40(6,8),9,7,2,5,4,3,1                                                   0
RAA20120621201206204303031060000京成盃グランドマイラーズ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KEISEI HAI GRAND MILERS                                                                                                                                                                                                                                                                                                                                                 京成盃グランドマイラ京成盃グラン京成盃0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002300    0010000000035000000200000001000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,11,13,5,14,4,6,1,12,2,10,8,7,9                                      203,11,13,5,14,4,6,12,1,2,10,8,7,9                                      30(3,11),(5,13),14,4,6,10,8,12,(1,2),(7,9)                              403,11,5,13,4,6,14,8,10,2,1,12,9,7                                      0
RAA20120619201206184303011140000コアジサシ賞　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     コアジサシ賞　Ｃ１Ｃコアジサシ賞コアジ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,4,5,3,7,8,6,9,2                                                     30(1,4),5,8,3,6,7,2,9                                                   404,(1,5),8,(3,6),2,7,9                                                 00                                                                      0
RAA20120622201206214303040370000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,(2,4),3,1                                                         205,6,(1,2,4),3                                                         305,6,1,(2,4),3                                                         406,3,5,(1,4),2                                                         0
RAA20120619201206184303010740000サラ系一般　Ｃ１三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,7,3,11,6,1,8,2,4,9,10                                               305,7,3,(6,11),1,2,8,4,9,10                                             405,7,6,3,1,2,(8,11),4,9,10                                             00                                                                      0
RAA20120619201206184303010840000ブルーベリー特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ブルーベリー特別　　ブルーベリーブルー0000E 120000000000000000000サラ系３歳　２５５万上　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,13,14,11,3,7,9,2,4,12,8,10,6                                      201,5,(13,14),11,3,(7,9),4,12,(2,8),10,6                                30(1,5),(11,13),14,4,3,(7,8),(9,12),10,(2,6)                            405,1,13,4,11,(8,14),3,7,10,12,9,6,2                                    0
RAA20120621201206204303030860000報知新聞創刊１４０周年記念　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     報知新聞創刊１４０周報知新聞創刊報知新0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,9,5,1,3,4,8,7,10                                                  202,6,9,(1,5),3,4,8,7,10                                                30(2,6,9),1,5,(3,4),8,7,10                                              406,9,1,2,5,4,8,3,7,10                                                  0
RAA20120622201206214303040770000祝運転士研修４０期１５周年　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝運転士研修４０期１祝運転士研修祝運転0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,9,11,4,6,10,5,8,(1,2),7                                             303,9,11,6,4,10,5,8,2,1,7                                               40(3,9),6,11,10,4,5,8,2,1,7                                             00                                                                      0
RAA20120620201206194303020450000サラ系一般　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909084030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,6,8,7,(2,9),1,(4,5)                                                 30(3,6),8,7,9,2,(1,4),5                                                 406,7,8,9,4,(1,2),5,3                                                   00                                                                      0
RAA20120621201206204303031160000青柳特別　Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          青柳特別　Ｂ２一　　青柳特別　Ｂ青柳特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,6,5,3,1                                                           204,2,6,3,5,1                                                           30(2,4),6,3,5,1                                                         404,6,2,1,5,3                                                           0
RAA20120623201206224303050380000サラ系３歳　イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　イ　　　サラ系３歳　サラ系0000  120000000000000000000２７万未満　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000110000000330000001980000013200000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070706204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(1,5),(3,6),4,7,2                                                     30(1,3),6,5,4,7,2                                                       40(3,6),7,5,4,2                                                         00                                                                      0
RAA20120619201206184303010140000サラ系一般　Ｃ３五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505052040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,2,4,1                                                             205,3,2,1,4                                                             305,3,2,(1,4)                                                           403,5,2,1,4                                                             0
