RAA20120613201206124606020950000金沢城賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          金沢城賞（中央交流）金沢城賞（中金沢城0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000100000000200000000900000007000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,2,4),8,9,6,3,7,10,5                                                201,2,4,8,6,9,3,7,10,5                                                  302,4,8,1,6,9,3,7,10,5                                                  402,(6,8),9,4,3,5,10,(1,7)                                              0
RAA20120627201206264607020950000獅子吼賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               獅子吼賞（中央交流）獅子吼賞（中獅子吼0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000600000001200000005400000042000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,10,4,11,1,6,7,2,8,3                                               205,10,9,4,7,1,11,6,8,2,3                                               305,10,7,4,11,9,8,1,6,2,3                                               405,(4,7),10,11,6,8,(3,9),2,1                                           0
RAA20120604201206034605030620000サラ系一般　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001500000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,2,5,6,4,3                                                       201,7,8,2,5,4,6,3                                                       30(1,7,8),2,5,(3,6),4                                                   401,8,(3,6,7),2,4,5                                                     0
RAA20120618201206174606030520000外濠公園白鳥路特別　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          外濠公園白鳥路特別　外濠公園白鳥外濠公0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001500000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,7,1,11,2,3,10,4,8,5                                               206,7,9,1,11,10,2,3,4,8,5                                               306,9,1,11,10,7,3,4,2,8,5                                               406,1,9,11,10,4,8,3,5,2                                                 0
RAA20120604201206034605030220000サラ系一般　Ｃ４６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４６　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,11,12,5,3,2,9,4,10,1,6                                            208,7,11,5,12,9,3,2,4,10,1,6                                            308,7,11,5,12,9,3,2,1,10,4,6                                            408,5,7,11,2,9,3,1,12,4,10,6                                            0
RAA20120604201206034605030720000サラ系一般　Ｂ３３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３３　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,4,10,9,2,5,6,1,7                                                  203,4,8,10,9,(2,5),6,1,7                                                308,10,3,4,2,5,9,6,1,7                                                  408,10,3,4,2,5,6,1,9,7                                                  0
RAA20120611201206104606010420000東日本大震災復興支援　Ｃ４４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東日本大震災復興支援東日本大震災東日本0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(5,7),(8,10),2,9,6,3,4                                              201,5,7,10,8,6,2,9,4,3                                                  301,5,7,10,8,6,9,4,2,3                                                  401,5,7,6,10,9,8,4,2,3                                                  0
RAA20120611201206104606010720000梅鉢紋特別　Ｃ４１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          梅鉢紋特別　Ｃ４１　梅鉢紋特別　梅鉢紋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,7,5,(1,3),4,11,9,6                                               208,10,5,7,1,(3,4),11,9,6                                               308,10,5,1,7,4,3,11,9,6                                                 408,10,1,7,5,3,(4,9),11,6                                               0
RAA20120618201206174606030720000ビッグゴールドＳＣ杯　Ｂ３３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ビッグゴールドＳＣ杯ビッグゴールビッグ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,9,2,7,10,4,8,3                                                  201,5,6,9,7,2,10,4,8,3                                                  301,5,6,7,9,10,2,4,8,3                                                  401,6,5,7,9,10,4,8,2,3                                                  0
RAA20120625201206244607010820000三方岩岳特別　Ｃ４１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          三方岩岳特別　Ｃ４１三方岩岳特別三方岩0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000320000000640000002800000022000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,11,10,(3,9),4,1,7,2,5                                             206,8,11,10,3,9,1,4,2,7,5                                               306,11,(8,9),3,10,(1,4),2,5,7                                           406,11,9,3,4,8,5,1,2,10,7                                               0
RAA20120627201206264607020850000サラ系一般　Ｂ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000440000001900000015000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,8,4,1,3,9,2,10,6                                                  205,7,8,4,1,3,2,9,6,10                                                  305,7,8,4,1,3,2,9,6,10                                                  405,8,7,1,4,3,2,9,6,10                                                  0
RAA20120606201206054605040350000サラ系一般　Ｃ３６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３６　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000016000000032000000140000001100000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,5),6,4,7,1,2,8,9                                                   203,5,6,7,4,2,1,8,9                                                     30(3,5),7,6,4,2,8,1,9                                                   403,5,(6,7),4,2,1,8,9                                                   0
