RAA20120809201208084305011160000ファビィレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ファビィレイン特別（ファビィレイファビ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,9,13,12,2,4,7,(3,5,10,11)                                         201,6,9,13,12,2,4,7,3,5,11,10                                           301,6,9,(12,13),2,(3,4),7,(5,11),10                                     401,6,12,2,9,(4,13),(3,5),7,11,10                                       0
RAA20120809201208084305011260000カワセミ賞　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     カワセミ賞　Ｃ１Ｃ２カワセミ賞　カワセ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,(5,8),6,7,2,3,12,11,10,9                                            304,5,6,8,3,(2,7),12,11,10,9                                            404,5,6,3,7,2,12,(8,10,11),9                                            00                                                                      0
RAA20120809201208084305010660000サラ系一般　Ｃ２一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,(1,9),4,5,8,6,7,2                                                   301,(3,9),8,(4,5),6,7,2                                                 401,9,3,(5,8),6,4,7,2                                                   00                                                                      0
RAA20120809201208084305010860000サラ系一般　Ｃ１二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000110000000330000001980000013200000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(4,5),10,11,2,8,(7,9),3,1                                             30(4,5),10,11,(2,7,8),9,(1,3)                                           40(4,5),10,(2,8),11,7,1,(3,9)                                           00                                                                      0
RAA20120809201208084305010560000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000５４万上１５３万未満　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,10,4,11,1,7,2,3,9,5                                               206,8,10,4,1,11,7,2,3,(5,9)                                             306,8,10,(1,4,7),(3,5,11),2,9                                           40(6,8),10,7,(3,4,5),1,11,2,9                                           0
RAA20120810201208094305021070000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,9,5,6,1,2,8,4,11,12,3,10                                            307,9,11,1,(5,6),8,2,4,12,3,10                                          407,9,11,6,1,8,5,4,2,12,3,10                                            00                                                                      0
RAA20120809201208084305011060000ベイサイドスター特別（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 ベイサイドスター特別ベイサイドスベイサ0000E 110000000000000000000サラ系２歳　３７万上　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,3,5,2,(4,6),1                                                     207,8,3,5,2,(4,6),1                                                     307,8,(3,5),(4,6),2,1                                                   40(7,8),3,5,(2,4,6),1                                                   0
RAA20120810201208094305020470000サラ系２歳　ア　新馬　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   サラ系２歳　ア　新馬サラ系２歳　サラ系0000  110000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0002000000006000000036000000240000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,5,4,2,8,1,(7,10),3,6                                                409,4,5,2,10,1,8,3,7,6                                                  00                                                                      00                                                                      0
RAA20120810201208094305020670000サラ系一般　Ｃ３三四ア　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,6,2,7,1,9,4,10,5                                                  208,3,2,6,7,1,9,4,10,5                                                  308,3,2,6,7,(9,10),1,4,5                                                408,3,2,7,6,10,9,4,1,5                                                  0
RAA20120811201208104305030680000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,5,7,2,6,9,3,8,4,10,11                                               40(1,5),7,2,6,(3,9),4,8,10,11                                           00                                                                      00                                                                      0
RAA20120810201208094305021270000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,1,8,6,10,11,4,7,5,13,3,9,2                                         2012,1,8,6,10,4,11,7,5,13,3,9,2                                         3012,1,(4,6,8),10,(7,11),5,13,9,3,2                                     401,8,12,6,10,11,4,13,7,5,9,3,2                                         0
