RAA20120913201209124710021060000コスモス特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          コスモス特別（中央交コスモス特別コスモ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,6,9,1,2,4,8,3,5                                                  207,10,1,6,2,9,4,8,3,5                                                  307,10,6,9,2,1,4,8,3,5                                                  406,10,7,9,2,1,8,3,4,5                                                  0
RAA20120911201209104710010540000権兵衛カスＰ最弱勝負師杯笠松編　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     権兵衛カスＰ最弱勝負権兵衛カスＰ権兵衛0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,6,8,1,4,9,2,3,7                                                     405,8,6,1,4,9,3,2,7                                                     00                                                                      00                                                                      0
RAA20120913201209124710020860000サラ系Ｂ４組　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ４組　Ｂ４　サラ系Ｂ４組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,9,8,7,6,10,3,4,5                                                  201,2,9,7,8,6,10,3,5,4                                                  302,1,9,7,8,6,10,3,5,4                                                  402,9,7,8,10,1,6,3,5,4                                                  0
RAA20120913201209124710021160000サラ系Ａ４・Ｂ３組特選　Ａ４Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ａ４・Ｂ３組特サラ系Ａ４・サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,7,5,2,8,6,3,1,9                                                  204,10,7,5,2,6,3,8,1,9                                                  3010,4,7,2,6,1,8,5,3,9                                                  4010,7,2,1,8,6,5,4,3,9                                                  0
RAA20120915201209144710041080000オータムＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　AUTUMN CUP                                                                                                                                                                                                                                                                                                                                                              オータムＣ　　　　　オータムＣ　オータ0000D 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　190000002400    0002000000005000000022000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,6,7,2,1,5,4,10,8                                                  203,9,6,7,1,2,4,5,10,8                                                  309,7,6,3,1,2,4,10,5,8                                                  406,7,9,2,3,1,4,10,5,8                                                  0
RAA20120925201209244710051040000きんもくせい特別　Ｃ１４ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          きんもくせい特別　Ｃきんもくせいきんも0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,10,1,5,2,3,7,4,6                                                  208,9,10,1,5,2,3,4,7,6                                                  308,10,1,5,9,2,3,4,7,6                                                  408,10,1,5,4,2,3,9,7,6                                                  0
RAA20120925201209244710050640000サラ系３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳５組　５　サラ系３歳５サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,1,6,10,9,5,2,8,4                                                  203,7,1,6,10,2,9,5,8,4                                                  303,7,10,6,1,9,2,5,8,4                                                  407,10,3,6,9,1,2,8,5,4                                                  0
RAA20121108201209134710030570000Ｃｈ（中央認定）　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                      Ｃｈ（中央認定）　１Ｃｈ（中央認Ｃｈ（0000  110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002500000006250000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,3,10,2,8,1,7,6                                                  204,5,9,3,10,1,8,2,7,6                                                  304,5,9,10,1,3,8,2,7,6                                                  409,4,5,10,1,2,6,3,8,7                                                  0
RAA20120914201209134710030970000サラ系Ｂ６・Ｃ３組　Ｂ６Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ６・Ｃ３組　サラ系Ｂ６・サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,5,9,4,8,7,6,1,2,3                                                  2010,5,4,9,8,6,1,7,2,3                                                  3010,5,4,9,8,6,1,7,2,3                                                  409,10,4,1,6,5,8,7,2,3                                                  0
RAA20120915201209144710040380000サラ系３歳１０組　１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１０組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,6,8,5,1,4,3                                                       202,7,6,5,8,4,1,3                                                       302,7,6,4,8,5,1,3                                                       407,2,6,4,8,1,5,3                                                       0
RAA20120915201209144710040480000サラ系３歳９組　９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳９組　９　サラ系３歳９サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,4,5,9,2,8,1,6                                                     207,3,4,5,2,9,8,1,6                                                     307,3,4,5,2,8,9,1,6                                                     407,3,4,5,2,8,9,1,6                                                     0
