RAA20121003201210023012041050000羽幌産オロロン米特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          羽幌産オロロン米特別羽幌産オロロ羽幌産0000E 000004000000000000000サラ系一般　１６０万下　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,9,(3,6,10),(8,11),5,4,(2,12)                                      201,7,9,3,6,5,(8,10),11,4,(2,12)                                        307,5,9,(1,6),3,10,8,11,(4,12),2                                        407,5,9,(3,6),1,10,8,(4,11,12),2                                        0
RAA20121004201210033012050660000３歳以上Ｃ４－１組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－１組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,8,3,11,10,5,4,6,9,1,2                                               407,3,8,(5,10,11),4,(1,9),(2,6)                                         00                                                                      00                                                                      0
RAA20121004201210033012050960000美しき唄のまち「雪蔵工房」新米賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     美しき唄のまち「雪蔵美しき唄のま美しき0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　120000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,2,(5,7),3,10,(6,11),1,8,4                                           409,2,7,3,5,10,(6,11),1,8,4                                             00                                                                      00                                                                      0
RAA20121017201210163013040950000３歳以上Ｃ２－２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ２－２組　３歳以上Ｃ２３歳以0000  000004000000000000000サラ系一般　１６０万下　　　　　　　　　　　　　　　　　　　170000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,9,(1,10),8,(3,12),6,4,11,7                                        202,5,9,1,10,8,3,(6,12),11,4,7                                          302,5,9,(8,10),(1,6),(3,11),(4,7,12)                                    402,5,(8,9),1,(3,11),10,(4,6),(7,12)                                    0
RAA20121026201210253014030970000三石川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          三石川特別（中央交流三石川特別（三石川0000E 000002000000000000000サラ系一般　８００万下　　　　　　　　　　　　　　　　　　　180000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707073020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,6,4,(1,2,7)                                                       203,(5,6),4,1,(2,7)                                                     304,6,(3,5),(1,2),7                                                     404,6,(3,5),(1,2),7                                                     0
RAA20121026201210253014031170000エーデルワイス賞（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　EDELWEISS SHO                                                                                                                                                                                                                                                                                                                                                           エーデルワイス賞（中エーデルワイエーデ0000C 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0020000000040000000300000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,(3,9),1,10,(4,8,11),(5,14),13,12,7,6                                403,(2,9),10,1,(4,8,11),5,14,12,13,7,6                                  00                                                                      00                                                                      0
RAA20121003201210023012040650000３歳以上Ｃ４－２組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－２組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,(1,5),(8,9),(11,12),2,3,6,7,10                                      204,(1,5),(8,9),(2,11,12),3,6,(7,10)                                    304,(1,5),(2,9),8,(3,12),6,(7,11),10                                    401,5,4,2,6,(3,9,12),8,7,10,11                                          0
RAA20121004201210033012050560000３歳以上Ｃ４－２組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－２組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,7,8),4,2,5,11,3,10,(6,12),9                                        401,(7,8),2,4,5,(3,11),10,6,12,9                                        00                                                                      00                                                                      0
RAA20121009201210043012061270000道営スプリント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　DOEI SPRINT                                                                                                                                                                                                                                                                                                                                                             道営スプリント　　　道営スプリン道営ス0000D 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    000300000000600000004500000030000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,10),3,11,(2,5,9),8,(6,12),7,1                                      404,10,3,(2,11),(5,8),9,6,12,7,1                                        00                                                                      00                                                                      0
RAA20121011201210103013021260000サンライズＣ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SUNRISE CUP                                                                                                                                                                                                                                                                                                                                                             サンライズＣ（中央認サンライズＣサンラ0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　170000002400    0002500000005000000037500000250000001250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,10,1,(6,8),4,5,7,3                                                209,(2,10),(1,6,8),(4,5),7,3                                            309,(2,3),(5,6,10),8,(1,7),4                                            409,2,3,6,(1,7),5,10,8,4                                                0
RAA20121012201210113013030970000ハイアーゲーム賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 ハイアーゲーム賞　　ハイアーゲーハイア0000E 110004000000000000000サラ系２歳　１００万下　　　　　　　　　　　　　　　　　　　170000002400    0000550000001100000008300000055000000270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505052040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,(2,5),1                                                           203,4,(1,2,5)                                                           30(3,4),(1,2,5)                                                         40(3,4),(1,2,5)                                                         0
