RAA20121030201210294308010740000貴・皓５歳おめでとう記念　Ｃ２一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     貴・皓５歳おめでとう貴・皓５歳お貴・皓0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,11,1,12,5,4,14,7,10,3,9,8,13                                      202,6,11,1,12,14,4,5,7,3,10,8,9,13                                      302,6,12,11,5,(1,14),7,(3,4),8,9,10,13                                  402,6,12,5,14,7,1,3,11,4,8,9,13,10                                      0
RAA20121030201210294308011040000カムイユカラスプリント　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          カムイユカラスプリンカムイユカラカムイ0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0003200000009600000064000000384000002560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,8,(4,5),2,1,3,7                                                     406,8,2,5,4,1,3,7                                                       00                                                                      00                                                                      0
RAA20121101201210314308030960000フェイスフルレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フェイスフルレイン特フェイスフルフェイ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,8,1,3,7,9,2,4,10                                                  206,5,8,3,1,7,9,2,10,4                                                  306,5,3,8,(7,9),1,10,2,4                                                406,5,(3,8),7,9,(1,10),2,4                                              0
RAA20121102201210314308031060000平和賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HEIWA SHO                                                                                                                                                                                                                                                                                                                                                               平和賞　　　　　　　平和賞　　　平和賞0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0010000000035000000200000001000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,5,11,6,8,1,10,4,12                                              203,7,5,9,6,(1,11),8,10,4,12                                            30(3,7),9,(5,11),12,6,1,8,4,10                                          403,7,5,9,6,12,1,11,4,8,10                                              0
RAA20121031201210304308020850000はる・あきファーストバースデー記念　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     はる・あきファーストはる・あきフはる・0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,11,13,2,7,(1,3),5,14,6,4,9,12                                    208,10,11,13,2,7,3,1,14,6,4,5,9,12                                      30(8,10),11,13,(2,7),3,(1,6),14,4,(5,9),12                              40(8,10),(11,13),2,7,3,(1,6),9,4,14,5,12                                0
RAA20121101201210314308030460000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１０１万上１３５万未満　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,10,1,5,3,12,2,14,9,11,8,13                                      204,6,7,1,10,5,3,2,12,14,11,9,8,13                                      304,(1,6,7),(2,5,10),3,11,(12,14),(8,9),13                              40(1,4),2,7,5,10,3,6,14,11,12,8,9,13                                    0
RAA20121101201210314308031160000一茶特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          一茶特別　Ｂ２二　　一茶特別　Ｂ一茶特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,14,3,4,7,13,8,6,9,2,(10,12),11                                    201,5,14,3,(4,7),13,8,6,9,2,10,(11,12)                                  30(1,5,14),(3,7),(4,8),6,13,9,2,10,(11,12)                              405,7,(1,14),8,3,4,6,9,13,2,10,11,12                                    0
RAA20121031201210304308020750000サラ系一般　Ｃ１二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,6,4,7,5,(3,12),9,10,8,11,1                                          302,6,4,5,7,3,12,8,(9,11),10,1                                          406,5,2,4,7,3,8,12,9,10,11,1                                            00                                                                      0
RAA20121101201210314308030660000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,3,8,4,5,1,12,13,7,11,10,9,14                                      202,6,8,4,3,(5,13),12,1,7,10,11,14,9                                    302,6,(4,8),3,(12,13),10,5,(1,7),9,11,14                                40(2,10),6,4,3,8,13,12,7,1,9,5,11,14                                    0
RAA20121031201210304308020650000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,12,2,10,13,7,6,14,11,3,9,1,4,5                                      208,12,(2,10),13,7,6,14,11,3,9,1,4,5                                    308,12,10,(2,7,13),6,11,(3,14),9,5,(1,4)                                408,12,10,7,6,(2,13),11,3,14,5,9,4,1                                    0
