RAA20121109201211083015030870000沙流川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          沙流川特別（中央交流沙流川特別（沙流川0000E 000002000000000000000サラ系一般　８００万下　　　　　　　　　　　　　　　　　　　120000002400    000080000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,4),8,(5,7),9,3,(1,6)                                               40(2,4),8,(5,7),3,(1,6,9)                                               00                                                                      00                                                                      0
RAA20121109201211083015031070000北海道２歳優駿（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HOKKAIDO NISAI YUSHUN                                                                                                                                                                                                                                                                                                                                                   北海道２歳優駿（中央北海道２歳優北海道0000C 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    00200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,1,2,6,7,(5,8),(3,9)                                              2010,(1,4),2,6,(5,7,8),(3,9)                                            3010,4,(1,5),(6,7,8),2,(3,9)                                            4010,(1,4),(5,6,8),3,(7,9),2                                            0
RAA20121102201211013014060470000３歳以上Ｃ４－１組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－１組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009093020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,10,2,9,(5,6),8,7                                                  201,4,(2,10),5,9,6,(7,8)                                                30(1,4),10,9,(5,6),2,(7,8)                                              40(1,4),10,6,9,5,8,(2,7)                                                0
RAA20121102201211013014060770000３歳以上Ｃ３－２組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ３－２組　３歳以上Ｃ３３歳以0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　170000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(7,9),(3,10),6,5,2,8,4                                              201,7,9,10,3,6,5,2,8,4                                                  301,(7,9),10,3,5,(6,8),2,4                                              401,9,7,10,3,5,8,6,2,4                                                  0
RAA20121107201211063015011250000サッポロクラシックＣ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              サッポロクラシックＣサッポロクラサッポ0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    000300000000600000004500000030000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909303000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,6,8),(7,9),(2,3,5),1                                               40(4,6,8),9,7,(2,3),5,1                                                 00                                                                      00                                                                      0
RAA20121108201211073015020660000３歳以上Ｃ４－５組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－５組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,(9,11),1,8,10,(3,5),2,6,4                                           407,9,11,(1,10),5,8,(2,3),6,4                                           00                                                                      00                                                                      0
RAA20121108201211073015021260000ＪＡしずない万馬券特別　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＪＡしずない万馬券特ＪＡしずないＪＡし0000E 000002000000000000000サラ系一般　３００万下　　　　　　　　　　　　　　　　　　　180000002400    0000400000000800000006000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,(1,4,5),(3,7),2,8                                                   206,(4,5),1,7,3,2,8                                                     306,5,4,7,1,2,3,8                                                       406,5,4,7,1,2,3,8                                                       0
RAA20121114201211133015040350000３歳以上Ｃ４－４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－４組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,(3,5),11,1,(4,12),6,9,(7,10)                                        402,(1,3,5,11),(4,12),6,(7,9,10)                                        00                                                                      00                                                                      0
RAA20121114201211133015040450000３歳以上Ｃ４－２組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－２組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,5,(2,4,7,11),10,6,8,12,9                                          401,3,5,(2,11),4,7,(6,10),8,9,12                                        00                                                                      00                                                                      0
RAA20121114201211133015040850000雪印ストリングチーズ賞　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     雪印ストリングチーズ雪印ストリン雪印ス0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,6,3,11,(2,5),9,8,7,1,10,12                                          404,6,3,2,5,11,9,(1,8),7,10,12                                          00                                                                      00                                                                      0
RAA20121114201211133015041050000タイムパラドックス賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              タイムパラドックス賞タイムパラドタイム0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　200000002400    0000650000001300000009800000065000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707073040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,4,(1,2,6),3                                                       202,(5,7),4,1,6,3                                                       302,(4,5,7),6,1,3                                                       402,4,7,1,(5,6),3                                                       0
RAA20121115201211143015051160000ヤングＣｈＣ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ヤングＣｈＣ２　　　ヤングＣｈＣヤング0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000002000000015000000100000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(4,10),11,(6,7,8),(2,5,12),9,1                                      403,(4,10),(7,11),6,8,(2,5),12,9,1                                      00                                                                      00                                                                      0
RAA20121116201211153015060770000優駿ドリームゲート賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     優駿ドリームゲート賞優駿ドリーム優駿ド0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　170000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,3,7,11,8,(2,6,12),10,4                                          201,5,9,3,7,11,8,(2,12),6,10,4                                          30(1,5,9),(3,8),6,(7,11,12),10,2,4                                      40(5,9),1,(6,8),3,(11,12),7,(2,4,10)                                    0
RAA20121107201211063015011050000プレミアムアルコールフリー特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          プレミアムアルコールプレミアムアプレミ0000E 000002000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　120000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,3,4,6,(2,5,9),7,1                                                   408,3,6,4,(5,9),2,7,1                                                   00                                                                      00                                                                      0
RAA20121107201211063015011150000麦とホップ特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          麦とホップ特別　Ｃ１麦とホップ特麦とホ0000E 000002000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(2,8),3,4,11,12,5,(6,10),(7,9)                                      201,2,8,3,4,11,12,5,10,6,9,7                                            302,8,3,1,4,(5,6),12,11,10,7,9                                          402,8,3,1,4,5,6,12,11,10,7,9                                            0
