RAA20121108201211074713020960000安房峠特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          安房峠特別（中央交流安房峠特別（安房峠0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,1,10,3,8,5,7,4,2                                                  206,9,10,1,3,8,5,7,4,2                                                  306,10,8,9,3,1,7,5,4,2                                                  4010,6,8,3,7,9,5,1,4,2                                                  0
RAA20121122201211214714030860000古太尽特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          古太尽特別（中央交流古太尽特別（古太尽0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,8,1,10,5,2,7,3,4                                                  206,8,9,1,10,5,7,2,3                                                    306,8,9,(1,5,7,10),3,2                                                  406,8,5,9,7,1,10,3,2                                                    0
RAA20121108201211074713020560000祝！坂井田崇・優子結婚記念杯　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝！坂井田崇・優子結祝！坂井田崇祝！坂0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,1,3,4,8,6,2,7                                                     209,5,4,1,3,2,8,6,7                                                     309,5,1,4,3,6,2,7,8                                                     409,5,4,1,6,3,7,2,8                                                     0
RAA20121109201211084713030970000せせらぎ賞　Ｂ５Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     せせらぎ賞　Ｂ５Ｃ３せせらぎ賞　せせら0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,3,10,1,2,6,5,7,8                                                  204,9,3,1,10,2,6,5,7,8                                                  304,9,3,1,10,2,6,5,7,8                                                  404,9,3,1,2,10,6,5,7,8                                                  0
RAA20121112201211094713040880000Ｃｈ（中央認定）　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            Ｃｈ（中央認定）　１Ｃｈ（中央認Ｃｈ（0000  110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00025000000062500000250000001500000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,3,9,8,5,4,7,1,2                                                  2010,6,3,9,5,8,4,7,1,2                                                  306,3,10,8,9,5,4,1,7,2                                                  406,3,8,9,(5,10),(1,4),7,2                                              0
RAA20121110201211094713041180000虎渓山特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          虎渓山特別　Ａ２　　虎渓山特別　虎渓山0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000370000000740000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505051010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,1,4                                                             202,3,5,1,4                                                             302,3,5,1,4                                                             40(1,2,3,5),4                                                           0
RAA20121120201211194714010140000サラ系Ｃ２９組　Ｃ２９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２９組　Ｃ２サラ系Ｃ２９サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,9,3,6,2,1,5,4,7                                                  208,10,9,3,2,6,5,4,1,7                                                  308,10,9,3,6,2,5,1,4,7                                                  408,10,9,3,6,2,5,4,1,7                                                  0
RAA20121123201211224714040470000サラ系Ｃ１２組　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１２組　Ｃ１サラ系Ｃ１２サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,2,8,3,4,9,5,1                                                     207,6,2,8,3,4,5,9,1                                                     307,6,2,3,8,4,5,1,9                                                     407,6,2,3,5,8,4,1,9                                                     0
RAA20121123201211224714041070000いろり火特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          いろり火特別　Ａ２　いろり火特別いろり0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000370000000740000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,2,3,4                                                           201,5,6,2,3,4                                                           301,5,6,3,2,4                                                           401,5,6,3,2,4                                                           0
RAA20121124201211234714050680000水素水３６モンド金賞受賞杯　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     水素水３６モンド金賞水素水３６モ水素水0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,5,2,4,8,7,1,6                                                     209,3,2,5,4,8,7,1,6                                                     309,3,5,4,1,8,2,7,6                                                     403,5,1,9,4,8,7,2,6                                                     0
RAA20121109201211084713030270000サラ系Ｃ２３組　Ｃ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２３組　Ｃ２サラ系Ｃ２３サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,7,10,3,5,8,4,2,9                                                  206,1,7,10,5,3,4,8,2,9                                                  306,1,5,10,3,7,4,8,2,9                                                  405,6,10,1,3,4,7,8,9,2                                                  0
RAA20121109201211084713031070000スマホ投票ならオッズパーク賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     スマホ投票ならオッズスマホ投票なスマホ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,6,1,7,10,9,2,5,8                                                  203,4,1,6,7,9,10,2,5,8                                                  303,4,(1,6),10,9,7,8,5,2                                                403,4,6,(1,7,9),(8,10),5,2                                              0
