RAA20121105201211035410030710000Ｃ１ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１ロ　　　　　　　Ｃ１ロ　　　Ｃ１ロ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001200000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,(1,6),8,7,4,(3,5),2                                                 209,1,6,8,7,4,2,5,3                                                     309,(1,8),6,2,7,4,5,3                                                   409,(1,8),7,(2,6),4,3,5                                                 0
RAA20121119201211175411030510000土佐秋月賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOSA SHUGETSU SHO                                                                                                                                                                                                                                                                                                                                                       土佐秋月賞　　　　　土佐秋月賞　土佐秋0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000270000000680000003300000022000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,9,(1,2,10),7,5,6,4                                                203,8,9,(1,2,10),7,5,6,4                                                309,(3,7),10,1,8,2,5,6,4                                                409,3,7,1,10,6,5,4,8,2                                                  0
RAA20121105201211045410040420000Ｃ３－１１　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－１１　Ｃ３　　Ｃ３－１１　Ｃ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,(3,5,7,9),1,8,4                                                   202,6,3,5,7,9,1,4,8                                                     302,6,3,5,7,(4,9),1,8                                                   406,2,3,4,5,1,9,7,8                                                     0
RAA20121105201211045410040920000Ｃ３－９　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－９　Ｃ３　　　Ｃ３－９　ＣＣ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,8,(2,6),1,3,4                                                     207,(5,8),6,1,2,3,4                                                     307,(5,8),6,1,(2,3),4                                                   407,1,5,6,8,3,2,4                                                       0
RAA20121112201211105411010710000Ｃ３ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３ロ　　　　　　　Ｃ３ロ　　　Ｃ３ロ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,(3,5),2,8,4,1                                                     207,9,3,5,2,8,4,1                                                       307,9,5,3,8,2,4,1                                                       409,7,8,5,3,2,(1,4)                                                     0
RAA20121118201211175411031110000ファイナルレース　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ファイナルレース　Ｃファイナルレファイ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000706062040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,5,4,2                                                           201,6,(5,7),4,2                                                         301,6,7,5,2,4                                                           406,1,5,7,2,4                                                           0
RAA20121119201211185411040420000Ｃ３－１１　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－１１　Ｃ３　　Ｃ３－１１　Ｃ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,3,1,6,(2,5)                                                       204,7,1,2,3,5,6                                                         304,7,1,3,2,5,6                                                         40(4,7),1,(2,3,5),6                                                     0
RAA20121126201211255411060120000Ｃ３－９　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－９　Ｃ３　　　Ｃ３－９　ＣＣ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,6,(4,8),9,(1,2),7                                                 203,(5,6),4,2,8,9,1,7                                                   303,4,6,8,5,9,2,1,7                                                     408,3,4,6,9,5,2,1,7                                                     0
RAA20121105201211035410030210000Ｃ２ハＣ３ニ混合　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２ハＣ３ニ混合　　Ｃ２ハＣ３ニＣ２ハ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,1,4,3,8,(5,9),6                                                   207,(1,2),3,4,8,5,(6,9)                                                 307,(1,2),(3,4),(6,8),9,5                                               40(1,7),2,3,4,6,8,5,9                                                   0
RAA20121105201211045410040720000黒潮マイルＣｈＳ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KUROSHIO MILE CHAMPIONSHIP                                                                                                                                                                                                                                                                                                                                              黒潮マイルＣｈＳ　　黒潮マイルＣ黒潮マ0000D 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000500000001250000006000000040000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,3,5,4,9,2,6,1                                                     207,8,3,5,4,9,2,1,6                                                     307,8,3,5,(4,9),(1,2),6                                                 407,8,3,(2,9),5,4,1,6                                                   0
RAA20121126201211255411060220000土佐清水大岐の浜特別　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          土佐清水大岐の浜特別土佐清水大岐土佐清0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000120000000300000001500000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,(1,5),7,8,9,2,10,6,3                                             204,11,(1,5),7,9,8,2,10,6,3                                             304,(5,11),1,8,(2,7,9),6,10,3                                           404,1,5,11,2,(7,9),(3,8),6,10                                           0
RAA20121112201211115411020820000Ｃ２－２　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２－２　Ｃ２　　　Ｃ２－２　ＣＣ２－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,5,3,7,4,6,2                                                       208,1,5,3,7,(4,6),2                                                     30(1,5,8),(3,7),(4,6),2                                                 405,8,1,7,3,2,4,6                                                       0
