RAA20121213201212124715021060000初雪特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初雪特別（中央交流）初雪特別（中初雪特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,7,3,9,6,4,2,5,1                                                  208,10,7,3,9,6,4,2,5,1                                                  308,10,7,9,6,2,3,4,1,5                                                  408,10,7,9,2,6,3,1,4,5                                                  0
RAA20121213201212124715020560000馬産地から笠松競馬へ応援杯４　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     馬産地から笠松競馬へ馬産地から笠馬産地0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,3,4,5,9,10,2,8,1                                                  207,6,4,3,5,9,2,10,8,1                                                  307,6,4,3,5,9,2,10,1,8                                                  406,7,4,3,2,5,9,10,8,1                                                  0
RAA20121214201212134715030970000サラ系Ｂ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ５組　Ｂ５　サラ系Ｂ５組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,3,5,8,9,7,1,6,4                                                  202,10,3,5,8,9,1,7,4,6                                                  302,10,3,5,7,9,1,8,4,6                                                  4010,3,7,5,2,1,9,6,8,4                                                  0
RAA20121215201212144715040980000北アルプス特別　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          北アルプス特別　Ｃ１北アルプス特北アル0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,6,7,8,9,10,2,4,1                                                  203,5,6,8,7,9,2,10,4,1                                                  303,5,9,7,6,8,2,10,4,1                                                  403,9,5,6,7,2,8,4,10,1                                                  0
RAA20130102201212304716040920000ライデンリーダー記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　RAIDEN LEADER KINEN                                                                                                                                                                                                                                                                                                                                                     ライデンリーダー記念ライデンリーライデ0000D 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0001500000003750000016500000090000000450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,10,3,6,7,5,8,2,1                                                  204,9,10,3,6,7,8,2,5,1                                                  304,10,9,3,1,6,8,7,2,5                                                  404,10,3,1,9,6,8,2,7,5                                                  0
RAA20121214201212134715031170000新穂高特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新穂高特別　Ｃ１　　新穂高特別　新穂高0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,10,2,3,9,8,4,5                                                    206,7,10,2,3,9,4,8,5                                                    306,7,10,2,3,9,8,4,5                                                    407,10,6,2,8,3,9,4,5                                                    0
RAA20121215201212144715041180000じゅうろくタマルーにゃＣ　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     じゅうろくタマルーにじゅうろくタじゅう0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,1,9,10,4,6,2,8                                                  203,7,5,1,10,9,4,6,2,8                                                  303,7,10,9,1,5,4,6,2,8                                                  403,7,9,1,10,5,8,4,6,2                                                  0
RAA20121229201212284716020580000大塚騎手☆知穂さん馬くいく～　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     大塚騎手☆知穂さん馬大塚騎手☆知大塚騎0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,1,8,10,3,5,2,7,4,6                                                  209,8,1,10,3,5,7,4,2,6                                                  3010,8,5,9,3,1,7,2,4,6                                                  4010,5,3,7,8,1,2,9,6,4                                                  0
RAA20121231201212304716040620000かさオク・サンクス賞　Ｃ１５１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     かさオク・サンクス賞かさオク・サかさオ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,9,3,8,7,6,2,5                                                     204,1,9,3,8,6,7,2,5                                                     304,1,9,3,6,8,7,5,2                                                     401,4,9,6,3,8,7,5,2                                                     0
RAA20121213201212124715020360000サラ系Ｃ２２組　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２２組　Ｃ２サラ系Ｃ２２サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,10,6,8,1,4,5,3,2                                                  207,9,10,8,6,3,1,4,5,2                                                  307,9,8,2,10,3,4,1,6,5                                                  407,9,2,8,4,10,3,1,5,6                                                  0
RAA20121213201212124715020460000馬産地から笠松競馬へ応援杯３　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     馬産地から笠松競馬へ馬産地から笠馬産地0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,2,5,9,10,3,4,1,6                                                  207,8,9,2,10,5,3,4,1,6                                                  307,8,5,2,9,3,10,4,1,6                                                  407,8,2,5,3,9,10,4,1,6                                                  0
