RAA20130104201301025017040960000Ｂ２Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           Ｂ２Ｃ１　　　　　　Ｂ２Ｃ１　　Ｂ２Ｃ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    00005000000010000000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,9,8,1,7,2,5,10,3,6                                                 2011,9,8,1,7,2,5,10,3,6                                                 3011,9,7,8,1,5,10,2,6,3                                                 4011,9,7,8,1,10,5,2,6,3                                                 0
RAA20130109201301085018011150000Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ１　　　　　　　　Ｃ１　　　　Ｃ１　0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,(1,3),12,8,5,10,(4,6),7,11                                        209,2,1,12,3,8,5,10,6,4,7,11                                            309,2,1,(7,12),6,8,10,5,4,3,11                                          409,1,2,6,8,(7,12),5,10,4,3,11                                          0
RAA20130110201301095018020860000Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２一　　　　　　　Ｃ２一　　　Ｃ２一0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,4,3,5,2,8,1,6,9                                                  207,10,(3,4),5,2,1,8,6,9                                                307,10,2,3,5,4,9,1,8,6                                                  407,10,2,5,3,1,9,4,8,6                                                  0
RAA20130131201301305020020960000妙見山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               妙見山特別（中央交流妙見山特別（妙見山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,4,9,1,2,3,10,5,7                                                  206,8,4,9,1,2,(3,10),5,7                                                306,8,4,2,9,1,10,3,5,7                                                  406,4,8,2,9,1,10,3,5,7                                                  0
RAA20130104201301025017040660000北陸・近畿地区交流Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           北陸・近畿地区交流Ｃ北陸・近畿地北陸・0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,6,(4,5),3,1,2,7,8                                                209,10,6,4,5,3,1,7,2,8                                                  309,10,6,3,1,4,5,7,2,8                                                  4010,9,4,6,(1,3),7,5,2,8                                                0
RAA20130104201301025017041160000北陸・近畿地区交流Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           北陸・近畿地区交流Ｃ北陸・近畿地北陸・0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000630000003150000017500000105000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,3,12,(5,11),9,6,8,(1,2),4                                        207,10,3,12,5,11,(2,9),6,1,8,4                                          307,12,11,10,(3,6,9),5,2,8,4,1                                          4012,7,(3,11),9,6,10,2,5,8,4,1                                          0
RAA20130104201301035017050770000Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ１二　　　　　　　Ｃ１二　　　Ｃ１二0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,1,5,7,2,6,3,4                                                     208,9,1,5,7,2,6,3,4                                                     308,9,7,1,(2,5),6,3,4                                                   409,(7,8),1,(2,5),3,6,4                                                 0
RAA20130107201301045017060380000Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２三　　　　　　　Ｃ２三　　　Ｃ２三0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,10,2,8,3,5,6,7                                                  204,9,1,10,2,8,3,(5,6),7                                                304,1,9,10,8,3,2,5,6,7                                                  404,1,8,9,10,3,5,7,6,2                                                  0
RAA20130110201301095018021260000Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ１　　　　　　　　Ｃ１　　　　Ｃ１　0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,11,3,(4,8),(7,12),(1,6),9,2                                      205,10,11,3,(4,8),(7,12),6,1,2,9                                        305,10,11,8,12,6,3,7,4,(1,2),9                                          405,10,8,11,12,6,7,3,4,2,1,9                                            0
RAA20130117201301165018051160000ははこぐさ賞Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      ははこぐさ賞Ｃ１一　ははこぐさ賞ははこ0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,6,8,1,2,12,11,3,10,7,4                                            205,9,6,8,(1,2),12,11,3,10,7,4                                          305,8,9,2,6,11,1,7,10,12,3,4                                            405,8,(6,9),10,11,2,7,1,4,12,3                                          0
RAA20130118201301175019010370000Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ３二　　　　　　　Ｃ３二　　　Ｃ３二0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000360000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,3,5,1,4,6,2,8,7                                                  209,10,3,5,1,(4,6),2,7,8                                                309,10,5,6,3,1,8,4,2,7                                                  409,5,10,3,(1,6),4,8,2,7                                                0
