RAA20130206201302054311020950000ベストレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ベストレイン特別（中ベストレインベスト0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,6,10,3,1,7,2,4,8,11                                               209,5,6,10,7,3,2,1,4,8,11                                               309,5,6,10,4,7,2,3,1,8,11                                               409,5,6,4,10,7,2,1,3,8,11                                               0
RAA20130207201302064311031060000フレンドリーレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フレンドリーレイン特フレンドリーフレン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001312124030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,2,11,5,1,12,13,6,7,3,4                                           208,2,10,11,1,5,12,6,13,3,7,4                                           308,11,(10,13),2,12,1,5,6,(4,7),3                                       408,11,2,13,6,(10,12),5,1,7,4,3                                         0
RAA20130208201302074311040970000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,10,13,6,1,2,9,11,5,7,3,8,12,4                                      2014,10,13,6,1,2,9,5,11,7,12,3,8,4                                      3014,(10,13),6,(1,2),9,8,12,(5,11),4,(3,7)                              4013,14,6,(1,10),2,12,9,8,4,3,5,7,11                                    0
RAA20130209201302084311050980000佐々木昭治杯　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     佐々木昭治杯　Ｃ２　佐々木昭治杯佐々木0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,10,2,4,6,1,8,5,11,7,12                                            203,9,10,2,4,1,6,8,5,11,7,12                                            303,9,2,10,1,(4,6),8,(5,11),7,12                                        403,9,2,10,1,4,6,11,8,5,7,12                                            0
RAA20130208201302074311040470000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,11,6,12,5,1,10,7,9,2,3                                            204,8,11,6,12,1,5,9,(7,10),(2,3)                                        304,(8,11),6,(9,12),5,10,1,7,3,2                                        404,(6,9,10,11),(5,12),8,7,1,3,2                                        0
RAA20130205201302044311010940000碧空特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               碧空特別　　　　　　碧空特別　　碧空特0000E 120000000000000000000サラ系３歳　２７０万上　　　　　　　　　　　　　　　　　　　160000002300    00025000000075000000500000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131320100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,9,10,4,12,6,3,8,1,7,11,5,2                                         2013,9,10,4,12,6,8,3,1,11,7,5,2                                         30(9,13),10,4,6,12,8,3,1,7,11,(2,5)                                     4013,9,10,4,6,8,1,12,3,7,2,11,5                                         0
RAA20130205201302044311010740000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209,10,12,2,11,6,1,5,3,7,4,8                                            30(9,10,12),2,(1,11),5,7,(3,6),4,8                                      409,12,10,2,5,1,11,3,7,6,4,8                                            00                                                                      0
RAA20130207201302064311030960000中沢商会ホッとＡンドッグ賞　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     中沢商会ホッとＡンド中沢商会ホッ中沢商0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414144030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,(1,14),(10,12),(5,8,11),(3,4),2,6,13                              207,9,(1,14),12,(5,10),11,8,3,4,(2,13),6                                307,9,14,1,10,12,(5,8),(11,13),4,3,6,2                                  407,9,14,1,10,12,(5,11,13),4,8,3,6,2                                    0
RAA20130208201302074311040170000サラ系４歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　　　　　サラ系４歳　サラ系0000  000000000000000000000１０１万上１２６万未満　　　　　　　　　　　　　　　　　　　150000002300    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,8,3,9,4,6,2,7,10,5                                                 2011,8,9,3,10,4,2,6,7,5                                                 3011,8,(3,9),6,10,2,5,(4,7)                                             4011,8,6,3,9,(2,10),5,4,7                                               0
RAA20130206201302054311020650000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,11,2,12,9,10,13,14,5,7,6,4                                        201,3,11,2,12,9,14,10,13,7,5,6,4                                        301,(3,11),14,(9,12),2,13,7,(5,10),4,6                                  401,3,11,14,9,12,2,13,5,7,4,10,6                                        0
RAA20130208201302074311040370000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,10,8,11,1,4,2,12,7,5                                              206,9,10,8,11,1,4,12,2,7,5                                              30(6,9,10),(8,11),4,1,2,12,7,5                                          40(6,9),11,8,10,4,(1,2),7,12,5                                          0
RAA20130208201302074311040770000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,5,1,8,12,2,9,11,6,7,(3,10)                                          304,5,(8,12),1,9,11,2,6,3,(7,10)                                        404,5,12,8,9,1,(6,11),2,3,10,7                                          00                                                                      0
