RAA20130227201302264513021050000フェブラリーフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フェブラリーフラワーフェブラリーフェブ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,12,2,3,1,11,7,5,9,6,4                                            208,10,(1,2),12,3,5,11,(6,7),9,4                                        30(8,10),11,12,(2,3),1,(5,7,9),6,4                                      408,10,11,1,12,3,2,6,(5,7,9),4                                          0
RAA20130228201302274513031160000エンプレス杯（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　EMPRESS HAI                                                                                                                                                                                                                                                                                                                                                             エンプレス杯（中央交エンプレス杯エンプ0000B 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　210000002300    0035000000122500000700000003500000017500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,6,4,(5,11),(3,9),2,10,8                                           201,7,4,6,5,11,3,9,10,8,2                                               301,4,3,11,(6,7),5,10,8,9,2                                             401,4,3,11,7,5,8,6,10,9,2                                               0
RAA20130301201302284513040970000アメジストフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アメジストフラワー賞アメジストフアメジ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,11,9,1,8,5,13,6,12,14,3,4                                        207,10,11,1,9,5,8,6,12,13,3,14,4                                        307,10,(1,11),5,6,9,(13,14),12,3,8,4                                    407,10,1,6,14,(5,9,11,13),12,3,8,4                                      0
RAA20130301201302284513041070000アメジストスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アメジストスター賞（アメジストスアメジ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,5,1,7,2,12,4,3,10,14,11,13                                        209,8,1,5,7,2,12,3,4,10,(11,13),14                                      309,(5,8),1,7,3,2,4,12,10,14,(11,13)                                    409,7,1,3,8,4,(2,5),14,10,13,11,12                                      0
RAA20130228201302274513031060000春麗特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春麗特別　Ｃ１二　　春麗特別　Ｃ春麗特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,11,2,9,5,13,14,1,8,12,3,4,7                                      206,10,11,2,9,5,13,1,14,8,12,3,4,7                                      306,10,11,9,14,(12,13),2,5,(4,8),1,3,7                                  406,9,12,10,(2,4,11),14,(5,8,13),1,3,7                                  0
RAA20130202201302014512050580000サラ系一般　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,(6,8),1,5,12,4,9,10,2,11,7                                          203,6,8,1,5,12,4,9,2,10,7,11                                            303,(6,8),(1,12),5,(2,4),9,(7,10,11)                                    403,(1,12),4,(2,8),(6,7),5,(10,11),9                                    0
RAA20130202201302014512051080000銀嶺特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          銀嶺特別　Ｃ１一　　銀嶺特別　Ｃ銀嶺特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    000200000000600000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,11),14,10,2,1,13,9,3,8,12,6,5,7                                    204,11,14,2,10,13,3,9,1,8,5,6,12,7                                      30(4,11,14),13,(2,8,10),12,(1,3,9),6,5,7                                404,11,2,(10,14),13,1,8,12,3,5,(6,9),7                                  0
RAA20130228201302274513030460000サラ系一般　Ｃ２八九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,13,2,6,5,1,3,7,12,4,8,9,10,11                                      2014,13,2,6,1,5,3,7,8,4,12,9,10,11                                      30(6,8),(13,14),(2,12),9,1,4,5,3,7,10,11                                40(6,8,13),(2,9),12,4,1,3,14,10,5,(7,11)                                0
RAA20130226201302254513011040000うぐいす特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               うぐいす特別　１　　うぐいす特別うぐい0000E 120000000000000000000サラ系３歳　３１１万上　　　　　　　　　　　　　　　　　　　160000002300    0002200000006600000044000000264000001760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,12,11,9,3,10,8,7,6,5,1,2                                            204,12,11,9,3,10,8,6,7,5,1,2                                            304,(8,11,12),9,7,3,6,2,(1,5),10                                        404,8,9,6,11,(3,7,12),2,1,5,10                                          0
RAA20130227201302264513020850000サラ系一般　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,10,1,12,2,6,3,9,11,4,8                                            207,5,1,10,2,12,3,6,8,9,4,11                                            307,5,(1,10,12),6,2,3,9,8,11,4                                          407,1,5,10,12,(2,3,6),9,8,4,11                                          0
RAA20130301201302284513040870000サラ系一般　Ｃ１五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,8,14,11,5,7,4,2,1,13,12,3,9                                      206,10,14,8,5,11,7,4,2,1,3,13,12,9                                      306,10,14,(5,8,11),7,4,1,2,3,(12,13),9                                  4010,(6,14),(5,11),7,4,8,1,2,3,9,13,12                                  0
RAA20130202201302014512050380000サラ系４歳　２ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　２ロ　　サラ系４歳　サラ系0000  000000000000000000000１３１万上　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,12,8,9,2,7,11,10,5,4,13,6                                         201,3,2,(8,12),5,9,7,4,11,10,13,6                                       30(1,3),12,8,(2,5),9,(10,11),13,7,4,6                                   40(1,3),8,12,5,2,7,(4,10,11),13,9,6                                     0
RAA20130228201302274513030760000楽天競馬賞　Ｃ２八九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     楽天競馬賞　Ｃ２八九楽天競馬賞　楽天競0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,10,11,12,3,8,9,1,2,6,5                                            204,7,10,3,11,8,1,12,2,9,6,5                                            304,7,6,(3,10),2,11,8,9,12,1,5                                          404,3,(6,8),7,2,11,9,10,1,5,12                                          0
RAA20130228201302274513030860000疾風賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     疾風賞　Ｃ１　　　　疾風賞　Ｃ１疾風賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　090000002300    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,7,2,8,5,1,12,3,6,11,9,10                                            30(2,4,7),(1,5,8),11,12,3,6,9,10                                        402,4,1,7,5,8,11,(3,12),6,9,10                                          00                                                                      0
