RAA20130314201303134312031060000フレンドリービット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フレンドリービット特フレンドリーフレン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,12,14,4,8,10,3,9,5,1,13,11,7                                      202,6,12,4,14,8,3,10,1,9,13,5,11,7                                      30(2,12),14,(4,9,13),6,7,(8,10),3,(1,11),5                              402,12,14,9,4,13,7,3,8,10,1,11,5,6                                      0
RAA20130314201303134312031160000ダイオライト記念（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　DIOLITE KINEN                                                                                                                                                                                                                                                                                                                                                           ダイオライト記念（中ダイオライトダイオ0000B 140004000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　240000002300    0032000000112000000640000003200000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,14,10,4,11,13,3,6,7,9,1,2,12,8                                      205,14,10,4,11,13,3,7,6,9,1,2,12,8                                      305,14,10,11,4,3,13,7,1,9,6,2,8,12                                      405,11,14,10,4,3,1,13,7,9,2,8,6,12                                      0
RAA20130315201303144312040970000ベストビット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ベストビット特別（中ベストビットベスト0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,12,3,5,10,2,4,1,6,11,9                                            207,8,12,3,5,2,10,4,6,11,1,9                                            307,8,12,3,5,2,10,(4,6),11,(1,9)                                        407,8,3,12,2,5,6,10,4,11,9,1                                            0
RAA20130314201303134312030660000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,11,4,6,8,12,14,13,1,2,9,10,3                                      205,7,11,4,6,8,13,12,1,14,2,9,10,3                                      305,7,11,4,8,13,(2,6),1,(9,14),10,12,3                                  405,11,4,7,8,13,2,6,1,9,(10,14),3,12                                    0
RAA20130316201303154312051280000草萌特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          草萌特別　Ｃ１一　　草萌特別　Ｃ草萌特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001800000005400000036000000216000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,11,7,2,3,5,4,8,9,10                                                 201,11,7,2,5,4,3,8,9,10                                                 301,11,7,(2,5),3,4,8,10,9                                               401,11,7,5,3,4,2,8,10,9                                                 0
RAA20130314201303134312030860000飛脚スプリント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          飛脚スプリント　　　飛脚スプリン飛脚ス0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001400000004200000025200000168000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,3,8,2,6,7,5,4,10,9                                                  30(1,3),8,2,6,4,10,7,5,9                                                403,8,2,1,6,4,10,5,7,9                                                  00                                                                      0
RAA20130316201303154312050780000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,10,11,9,5,3,6,7,12,4,8                                            201,2,10,11,9,5,3,6,7,12,(4,8)                                          301,(2,10),9,11,5,6,3,7,12,8,4                                          401,10,11,9,2,6,5,3,12,7,8,4                                            0
RAA20130312201303114312011140000ツグミ賞　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ツグミ賞　Ｃ１Ｃ２　ツグミ賞　Ｃツグミ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,11,2,9,12,5,6,4,3,(1,8)                                          20(7,10),11,2,9,12,4,5,6,3,8,1                                          307,10,(4,11),2,(5,9),12,6,3,1,8                                        407,10,(2,4),9,5,11,3,6,12,1,8                                          0
RAA20130312201303114312010840000ありがとう！！中山富雄さん退職記念！！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ありがとう！！中山富ありがとう！ありが0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,9,(1,2,12),4,14,11,10,13,8,7,3                                    205,6,(1,2,9),12,4,14,11,10,13,8,7,3                                    30(5,6),(2,9),4,12,1,14,(7,10),(8,13),11,3                              40(5,6),(2,9),4,1,12,14,(8,10),7,13,11,3                                0
RAA20130314201303134312030560000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,10,4,5,1,12,8,3,11,2,7,9                                            306,10,(5,12),1,4,8,11,7,3,(2,9)                                        406,10,5,12,1,4,8,7,3,11,9,2                                            00                                                                      0
RAA20130312201303114312010640000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,12,(4,13),5,11,3,8,6,14,2,7,10                                    201,9,12,4,13,5,11,3,8,(2,6,10,14),7                                    30(1,9),12,4,13,5,3,10,11,7,8,6,14,2                                    409,12,1,4,13,10,7,(3,5),(6,8),11,14,2                                  0
RAA20130313201303124312020750000まーくん祝３４歳ボーダーやめました記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     まーくん祝３４歳ボーまーくん祝３まーく0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,6,11,7,9,3,(4,8),14,1,(2,12),5,10                                  2013,6,11,7,9,3,(4,8),14,1,12,2,5,10                                    3013,6,11,(7,9),14,3,8,4,1,5,12,10,2                                    4013,6,9,14,11,3,7,1,8,5,4,10,12,2                                      0
RAA20130315201303144312041070000春音特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春音特別　Ｂ２二　　春音特別　Ｂ春音特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,3,8,2,12,4,10,1,11,9                                            205,6,7,3,8,2,12,4,10,1,11,9                                            305,6,(7,8),3,2,12,10,4,11,9,1                                          405,(6,8),(2,3),7,10,(11,12),4,9,1                                      0
