RAA20130404201304034301031160000マリーンＣ（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　MARINE CUP                                                                                                                                                                                                                                                                                                                                                              マリーンＣ（中央交流マリーンＣ（マリー0000C 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002300    0021000000073500000420000002100000010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,10,12,7,1,14,5,13,3,8,11,9,2                                      206,4,10,7,12,1,14,5,13,3,8,11,9,2                                      30(4,6,10),(7,12),14,5,3,1,13,8,9,11,2                                  4010,4,6,7,12,14,5,3,13,8,1,9,11,2                                      0
RAA20130405201304044301040870000ナイスハルター特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ナイスハルター特別（ナイスハルタナイス0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,10,3,7,11,1,2,6,8                                               204,5,9,3,10,7,1,11,2,6,8                                               304,5,9,3,10,7,11,1,6,2,8                                               40(4,5),9,3,11,(7,10),6,1,2,8                                           0
RAA20130404201304034301030960000さくら特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               さくら特別　　　　　さくら特別　さくら0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,4,5,2,9,8,7,10,3                                                  206,1,4,2,5,7,8,9,10,3                                                  306,1,4,2,5,7,8,9,(3,10)                                                406,1,4,2,5,7,9,8,3,10                                                  0
RAA20130402201304014301010740000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,(5,8),10,(7,12),6,4,11,3,1,9                                        30(2,5),8,12,10,7,(1,6),4,11,9,3                                        402,5,8,10,(1,6,7,12),4,9,11,3                                          00                                                                      0
RAA20130403201304024301021050000昇竜スプリント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          昇竜スプリント　　　昇竜スプリン昇竜ス0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000140000000420000002520000016800000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111403000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(3,5,8,11),7,10,1,4,(2,9),6                                           3011,(8,10),(3,5),9,7,(1,2),4,6                                         4011,10,9,8,(3,5),2,7,(1,4),6                                           00                                                                      0
RAA20130406201304054301050580000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,10,8,1,12,11,7,3,9,4,2                                            205,6,10,8,(11,12),1,7,3,9,4,2                                          305,6,10,8,11,1,12,7,3,9,(2,4)                                          405,6,8,10,11,1,3,7,(9,12),2,4                                          0
RAA20130403201304024301020750000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111303000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(5,6,10),7,11,(3,4,9),(1,2),8                                         306,10,5,11,7,(3,9),4,2,1,8                                             406,10,5,11,7,3,9,2,4,1,8                                               00                                                                      0
RAA20130403201304024301020950000小川照夫先生御退職記念杯　Ｃ１三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     小川照夫先生御退職記小川照夫先生小川照0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414144030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,8,12,(1,5),9,2,10,13,7,4,14,11                                    203,6,8,1,5,12,2,9,10,7,13,(4,14),11                                    303,6,(1,8),5,2,12,10,(9,14),13,7,4,11                                  403,6,1,5,8,14,2,9,(7,10,12),13,4,11                                    0
RAA20130405201304044301040570000爽春スプリント　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     爽春スプリント　Ｃ３爽春スプリン爽春ス0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    00009000000027000000162000001080000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002011,1,5,2,10,12,6,3,8,7,9,4                                            3011,12,1,5,2,10,6,3,8,9,7,4                                            4011,12,1,5,2,6,9,3,10,7,8,4                                            00                                                                      0
RAA20130405201304044301040770000祝須山裕之新居購入目指せ３５年ローン完済　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝須山裕之新居購入目祝須山裕之新祝須山0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,1,13,4,2,5,3,11,7,14,9,8,12                                      206,10,(1,13),4,2,5,3,11,7,14,9,8,12                                    30(6,10,13),7,1,4,(3,5),2,11,14,9,8,12                                  40(10,13),6,7,1,5,2,9,3,4,14,11,(8,12)                                  0
RAA20130404201304034301030260000サラ系一般　Ｃ３五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,9,5,10,11,12,6,7,8,2,3                                            204,1,5,9,10,11,12,8,6,7,2,3                                            304,1,9,10,5,12,11,8,(6,7),2,3                                          404,9,10,8,12,5,11,6,7,2,1,3                                            0
RAA20130404201304034301030760000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,12,9,5,3,4,11,2,6,7,1,10                                            208,12,5,9,3,2,11,4,6,7,1,10                                            308,12,5,(3,7,9),11,6,(2,10),1,4                                        408,12,7,5,3,9,11,6,2,10,1,4                                            0
RAA20130405201304044301040970000はまぐり賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     はまぐり賞　Ｃ１　　はまぐり賞　はまぐ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,4,6,10,8,3,9,(1,2,7)                                                405,4,3,6,8,10,9,2,7,1                                                  00                                                                      00                                                                      0
RAA20130403201304024301021150000柏の葉オープン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                        柏の葉オープン　　　柏の葉オープ柏の葉0000E 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002300    0005000000015000000100000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,(4,8),(1,14),3,2,13,10,11,12,5                                  206,7,9,4,8,1,14,3,2,13,10,11,12,5                                      307,6,(9,14),8,4,3,1,(2,10),13,11,12,5                                  407,(8,9,14),(1,3,6),10,4,13,2,11,12,5                                  0
RAA20130402201304014301010340000サラ系一般　Ｃ３九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,11,5,(2,8,9),10,(4,6),12,1                                        203,7,11,5,2,8,4,(6,9,10),12,1                                          307,(3,12),10,(5,11),2,4,8,6,9,1                                        40(7,12),3,10,5,4,11,(2,6,8),1,9                                        0
RAA20130402201304014301010940000サラ系一般　Ｃ２一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,13,12,4,5,3,7,1,6,8,14,10,11                                      209,2,13,12,4,3,5,7,(1,6),8,14,10,11                                    309,2,13,(3,4,12),7,5,1,6,8,14,10,11                                    409,13,4,3,2,12,7,1,5,6,14,8,10,11                                      0
