RAA20130416201304154501010940000ダイヤモンドフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ダイヤモンドフラワーダイヤモンドダイヤ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,5,12,9,2,3,8,6,7,4,11                                            201,10,9,12,5,8,2,6,3,7,4,11                                            301,(9,12),8,10,(5,6),2,(3,7),11,4                                      401,9,12,8,(5,6),(2,10),3,7,11,4                                        0
RAA20130417201304164501020950000エイプリルフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               エイプリルフラワー賞エイプリルフエイプ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,7,2,13,12,3,8,14,9,11,1,6                                         204,5,7,2,12,3,13,8,14,11,9,1,6                                         304,7,5,(2,13),8,12,3,11,9,1,14,6                                       404,7,2,13,8,5,(11,12),(1,3,9),6,14                                     0
RAA20130417201304164501021050000エイプリルスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          エイプリルスター賞（エイプリルスエイプ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,14,13,4,9,12,6,11,7,5,8,1,2                                      2010,3,13,14,4,9,6,12,5,11,7,8,1,2                                      30(3,10),14,13,4,6,(9,11,12),2,5,8,7,1                                  403,14,10,13,4,(5,6),11,12,(1,9),(2,7),8                                0
RAA20130417201304164501021250000山桜特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               山桜特別　１　　　　山桜特別　１山桜特0000E 120000000000000000000サラ系３歳　３５０万上　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,9,1,7,10,2,8,4,3                                                  205,6,1,9,7,2,10,3,4,8                                                  305,6,7,1,10,2,3,4,9,8                                                  405,6,7,10,2,1,3,4,8,9                                                  0
RAA20130416201304154501010840000２０１３春川崎ＪｓＣ　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ２０１３春川崎ＪｓＣ２０１３春川２０１0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,14,11,4,6,8,5,10,13,2,12,1,9                                      203,7,14,11,4,6,5,8,1,10,13,2,12,9                                      303,7,(4,10,14),(5,13),1,11,6,8,2,9,12                                  403,7,4,1,10,5,13,9,14,6,2,(11,12),8                                    0
RAA20130420201304194501050980000芦ノ湖特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          芦ノ湖特別　Ｃ１一　芦ノ湖特別　芦ノ湖0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00020000000060000000400000002400000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141320100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,7,2,4,14,5,11,6,3,9,13,12                                        2010,1,7,2,4,(5,14),11,(3,6),9,12,13                                    307,14,10,4,6,2,13,1,5,9,3,12,11                                        4014,6,10,2,7,4,13,5,9,12,1,3,11                                        0
RAA20130416201304154501011040000ＪＨ双葉開設特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＪＨ双葉開設特別　ＢＪＨ双葉開設ＪＨ双0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,11,4,6,10,5,14,12,2,1,3,9                                         207,8,11,4,6,5,10,12,14,2,9,3,1                                         307,8,11,4,6,5,10,12,14,2,9,1,3                                         407,(4,8),5,6,11,12,10,2,14,1,3,9                                       0
RAA20130417201304164501020550000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,5,6,4,11,9,1,10,3,12                                            202,7,8,4,5,6,1,11,9,3,10,12                                            30(2,7),(5,8),(4,6),(1,11),9,10,3,12                                    402,5,7,4,6,(1,11),8,9,3,10,12                                          0
RAA20130419201304184501040470000サラ系一般　Ｃ３四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,8,5,10,(2,11),3,1,4,12,7                                          209,6,8,5,10,2,11,1,3,4,12,7                                            309,6,8,5,11,(1,2,10),3,4,7,12                                          40(6,9),8,5,1,11,2,3,10,7,4,12                                          0
RAA20130419201304184501041170000春眠特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春眠特別　Ｃ１二　　春眠特別　Ｃ春眠特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,11,13,9,14,4,1,12,10,7,8,2,3                                      205,6,11,13,9,14,1,4,12,7,10,3,2,8                                      30(5,6,13),11,9,(4,12),7,3,14,1,2,10,8                                  40(5,13),6,7,11,(4,12),3,9,(1,10),14,2,8                                0
RAA20130416201304154501010740000サラ系一般　Ｃ１五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,11,12,6,9,2,4,10,1,8,7,5                                            203,11,12,6,9,2,4,1,10,5,7,8                                            303,11,12,(7,8,10),4,2,9,1,(5,6)                                        403,12,2,7,1,8,4,11,9,10,(5,6)                                          0
RAA20130420201304194501050880000強羅特別　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          強羅特別　Ｃ２二　　強羅特別　Ｃ強羅特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,12,11,8,6,9,10,1,7,4,5,3                                            202,12,11,6,8,9,10,7,1,4,5,3                                            302,12,6,11,8,10,7,9,1,4,5,3                                            40(2,6),8,10,12,7,11,9,1,4,5,3                                          0
RAA20130418201304174501031260000若草特別　Ｂ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          若草特別　Ｂ１一　　若草特別　Ｂ若草特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0003000000009000000060000000360000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,2,6,10,5,7,(1,4),9,11                                             208,3,2,6,10,7,5,1,4,9,11                                               308,3,(6,7),10,2,(4,5),1,11,9                                           408,3,6,10,5,7,4,1,2,11,9                                               0
