RAA20130522201305214502020950000メイフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               メイフラワー賞（中央メイフラワーメイフ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,14,5,6,13,4,7,3,1,2,11,12,8                                      209,10,5,14,6,13,4,7,3,1,11,12,2,8                                      309,14,10,(5,6),4,7,3,13,1,12,11,8,2                                    409,6,14,10,(4,5),7,3,1,8,12,13,11,2                                    0
RAA20130523201305214502021050000メイスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          メイスター賞（中央交メイスター賞メイス0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,11,(2,4,12),(8,14),3,1,7,10,9,13                                  205,6,11,2,4,12,8,14,1,3,10,7,9,13                                      305,6,11,2,8,3,4,1,(10,12,14),7,9,13                                    405,(2,6),(3,4),1,8,11,10,9,12,14,7,13                                  0
RAA20130523201305224502030560000サラ系一般　Ｃ３七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,7,8,2,3,1,4,11,6,5,10                                            209,12,7,8,2,1,3,4,11,5,6,10                                            309,12,3,7,8,(1,2),4,11,5,6,10                                          409,(3,7),12,1,(8,11),2,4,5,6,10                                        0
RAA20130525201305244502050580000サラ系一般　Ｃ３一二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,5,12,9,1,6,11,10,3,8,2                                            204,7,5,1,12,11,9,6,10,3,8,2                                            304,7,5,1,12,(6,11),9,10,3,8,2                                          404,7,1,5,11,6,10,12,3,9,8,2                                            0
RAA20130523201305224502030460000サラ系一般　Ｃ３七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,12,9,11,1,8,3,2,5,6,4,7                                            2010,12,9,1,8,2,11,3,5,6,4,7                                            3010,12,9,(1,8),3,6,2,4,5,11,7                                          40(10,12),8,(1,3),2,9,4,5,6,7,11                                        0
RAA20130523201305224502031260000青葉特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          青葉特別　Ｂ１　　　青葉特別　Ｂ青葉特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0003000000009000000060000000360000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,12,7,13,1,5,9,4,8,11,14,6,3,10                                      202,12,7,13,1,5,9,4,8,14,11,(3,6,10)                                    30(2,12,13),9,7,5,8,1,4,(6,14),10,3,11                                  4013,(2,12),9,7,8,1,5,(4,6),10,14,3,11                                  0
RAA20130522201305214502020650000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,10,5,(7,9),12,2,8,1,4,11                                          203,6,10,5,9,7,8,12,2,1,4,11                                            303,6,10,9,(5,8),(1,12),4,7,2,11                                        40(3,6),5,10,8,(1,9),(2,7),4,12,11                                      0
RAA20130521201305204502010840000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414133030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,13,1,14,11,7,8,6,3,5,9,10,12,2                                      204,13,1,11,14,7,3,8,6,5,9,10,12,2                                      304,13,11,1,(6,14),7,3,8,10,5,9,12,2                                    404,1,11,7,14,3,(5,6),8,13,10,9,2,12                                    0
RAA20130524201305234502040570000サラ系一般　Ｃ３四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,6,7,1,10,11,9,5,8,2,3,4                                            2012,6,7,1,10,11,5,9,2,8,3,4                                            3012,7,6,10,1,8,11,9,5,3,2,4                                            4012,7,1,6,9,10,5,(4,11),2,3,8                                          0
RAA20130522201305214502020250000サラ系一般　Ｃ３十１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    000080000000240000001440000009600000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(6,10),3,7,11,4,2,5,8,9,12,1                                          206,10,3,7,2,11,4,5,1,8,9,12                                            306,7,12,10,11,5,3,2,1,9,4,8                                            407,6,12,5,10,2,11,(1,3),9,8,4                                          0
RAA20130523201305224502030760000サラ系一般　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,12,4,11,8,3,9,2,5,1                                               206,7,12,4,11,3,8,(2,9),5,1                                             30(6,7),12,5,11,9,8,4,3,2,1                                             406,7,5,(11,12),9,3,(4,8),1,2                                           0
RAA20130525201305244502050980000小田原城あじさい花菖蒲特別　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          小田原城あじさい花菖小田原城あじ小田原0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,6,2,11,10,3,9,7,14,13,1,12,4                                      205,8,2,6,10,11,3,9,7,14,13,1,12,4                                      305,(6,8,10),2,9,(3,7,11),14,1,13,12,4                                  405,10,2,8,(6,9),3,7,14,1,13,11,4,12                                    0
