RAA20130516201305154703021060000若鮎賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          若鮎賞（中央交流）　若鮎賞（中央若鮎賞0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,10,4,5,3,6,1,7,2                                                  208,9,10,4,5,3,1,6,7,2                                                  309,10,8,4,1,5,3,6,7,2                                                  409,10,4,8,1,5,3,7,6,2                                                  0
RAA20130530201305294704020960000揖斐川賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          揖斐川賞（中央交流）揖斐川賞（中揖斐川0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,5,6,10,3,7,1,9                                                    208,4,5,3,6,1,10,7,9                                                    308,3,5,4,1,6,7,10,9                                                    403,8,5,4,6,7,1,10,9                                                    0
RAA20130530201305294704021060000馬瀬川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          馬瀬川特別（中央交流馬瀬川特別（馬瀬川0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,4,1,10,5,2,7,8,6                                                  203,9,4,1,10,2,5,7,8,6                                                  303,(1,4,9),2,10,7,8,6,5                                                403,4,(1,9,10),2,7,8,6,5                                                0
RAA20130528201305274704011140000Ａ・Ｇ・Ｉ　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ａ・Ｇ・Ｉ　Ｂ１　　Ａ・Ｇ・Ｉ　Ａ・Ｇ0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000002000000008800000048000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,7,3,4,5,10,6,1,8                                                  202,7,9,3,4,10,5,1,6,8                                                  302,7,3,4,9,5,10,1,6,8                                                  402,7,3,4,9,5,1,10,6,8                                                  0
RAA20130514201305134703010440000Ｊの頑張りに感動！！３　Ｃ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｊの頑張りに感動！！Ｊの頑張りにＪの頑0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,3,7,2,5,8,6,9,1                                                  2010,4,3,7,2,5,8,1,6,9                                                  3010,4,3,7,2,5,8,6,1,9                                                  4010,4,2,3,8,7,5,1,6,9                                                  0
RAA20130518201305174703041080000東海クラウン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                            東海クラウン　Ａ１　東海クラウン東海ク0000E 000000000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,1,4,3,7,5,9,8,6                                                  202,10,4,1,3,7,8,5,9,6                                                  302,10,4,1,3,7,8,6,5,9                                                  402,10,4,1,3,7,8,6,5,9                                                  0
RAA20130601201305314704040980000板取川特別　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          板取川特別　Ｃ１４　板取川特別　板取川0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,3,6,2,7,5,8,4,10                                                  201,9,3,6,2,5,7,4,8,10                                                  301,9,3,6,2,5,4,7,8,10                                                  401,9,3,6,5,4,7,8,2,10                                                  0
RAA20130514201305134703010640000サラ系Ｃ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１０組　Ｃ１サラ系Ｃ１０サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,10,3,6,7,5,2,1,8                                                  204,9,10,3,7,2,6,5,1,8                                                  304,10,9,3,7,2,6,5,1,8                                                  404,10,3,7,9,2,6,5,1,8                                                  0
RAA20130517201305164703030470000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,3,10,4,9,2,5,8                                                  201,6,7,3,10,4,9,2,5,8                                                  301,6,7,3,10,9,2,4,5,8                                                  401,6,3,7,10,9,2,4,5,8                                                  0
RAA20130518201305174703040680000サラ系Ｃ１１組　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１１組　Ｃ１サラ系Ｃ１１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,7,6,3,9,1,5,8                                                     202,4,7,3,6,9,8,5,1                                                     302,(4,6,7),3,9,1,5,8                                                   402,(6,7),3,4,1,9,5,8                                                   0
RAA20130528201305274704010840000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,2,5,7,3,1,4                                                     206,8,9,2,5,7,3,1,4                                                     306,9,8,2,3,5,7,1,4                                                     406,2,9,3,8,1,5,7,4                                                     0
RAA20130531201305304704031070000飛騨川特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          飛騨川特別　Ｃ１　　飛騨川特別　飛騨川0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,7,9,4,5,10,3,6,8                                                  201,2,7,9,4,5,10,3,6,8                                                  301,7,2,9,4,3,5,10,6,8                                                  401,7,4,2,9,3,5,10,6,8                                                  0
RAA20130601201305314704040680000サラ系Ｃ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１０組　Ｃ１サラ系Ｃ１０サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,10,2,3,8,6,9,4,7                                                  201,5,10,2,9,3,6,8,4,7                                                  301,5,10,2,9,3,6,8,7,4                                                  405,1,2,9,10,3,6,8,7                                                    0
