RAA20130619201306184303020850000ナイスブーツ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ナイスブーツ特別（中ナイスブーツナイス0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,9,2,4,6,5,3,1,7                                                  208,10,9,2,6,4,5,3,1,7                                                  308,10,5,(2,9),6,4,(1,3),7                                              408,5,10,9,2,1,(4,6),3,7                                                0
RAA20130619201306184303021050000ファンシーサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ファンシーサドル特別ファンシーサファン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,8,1,10,12,2,3,11,4,6,13,9                                         205,7,1,8,10,12,2,3,11,4,6,13,9                                         305,7,(1,8),10,12,(2,11),3,6,4,9,13                                     405,7,8,10,1,12,11,2,6,3,4,9,13                                         0
RAA20130620201306194303030860000ナイスサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ナイスサドル特別（中ナイスサドルナイス0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909094020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,3,7,4,1,6,5                                                     202,8,9,3,7,4,1,5,6                                                     302,8,9,3,4,7,1,(5,6)                                                   402,8,9,3,4,7,1,5,6                                                     0
RAA20130620201306194303030360000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002011,2,3,4,7,10,1,9,12,8,5,6                                            302,(4,11),3,7,9,12,10,8,1,6,5                                          402,11,4,3,7,9,12,8,10,6,1,5                                            00                                                                      0
RAA20130621201306204303040670000サラ系一般　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313133040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,6,12,10,3,13,4,11,1,7,8,9                                         202,5,6,12,10,3,13,11,4,1,9,8,7                                         302,6,10,5,3,12,1,(8,13),(4,11),9,7                                     402,6,5,10,3,12,1,8,4,13,9,11,7                                         0
RAA20130618201306174303010240000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,8,1,7,10,9,13,12,2,11,3,4                                         205,6,8,1,7,10,9,13,2,12,11,3,4                                         305,6,8,7,1,10,9,13,12,11,2,3,4                                         405,6,8,7,10,13,12,1,9,11,3,4,2                                         0
RAA20130622201306214303050980000荷風特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          荷風特別　Ｃ１一　　荷風特別　Ｃ荷風特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001800000005400000036000000216000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,12,8,2,9,11,4,3,6,10,5                                            201,7,12,8,2,9,11,4,6,3,5,10                                            301,7,12,8,9,2,11,(3,4),6,(5,10)                                        401,7,8,12,9,2,11,3,4,6,10,5                                            0
RAA20130621201306204303040170000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,7,8,1,9,4,6,2,10,5                                                  303,7,9,6,8,(1,4),(2,10),5                                              403,7,9,6,4,8,1,2,10,5                                                  00                                                                      0
RAA20130622201306214303050680000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212124040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,9,12,5,11,3,10,4,7,8                                            201,2,6,9,3,12,5,4,11,10,8,7                                            301,(2,6),9,(4,12),5,7,8,(3,11),10                                      402,6,1,9,4,5,12,8,7,10,11,3                                            0
RAA20130621201306204303041170000ローズ賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ローズ賞　　　　　　ローズ賞　　ローズ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    00013000000039000000234000001560000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121230400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002010,2,6,11,9,4,8,1,3,12,5,7                                            3010,2,6,4,(9,11),1,3,12,(5,8),7                                        4010,2,6,4,1,11,9,3,12,5,8,7                                            00                                                                      0
RAA20130619201306184303020650000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,13,9,2,6,11,1,3,8,12,14,4,7                                      205,10,13,9,2,6,11,1,3,8,14,12,4,7                                      305,13,2,6,10,(3,8,11),9,(1,14),(7,12),4                                405,13,2,6,3,8,11,14,1,12,9,4,10,7                                      0
RAA20130618201306174303010840000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,1,7,8,4,3,2,12,9,11,10                                            205,6,1,7,8,4,12,3,2,11,9,10                                            305,6,7,4,8,12,2,1,(3,9),11,10                                          405,6,7,4,12,8,2,9,11,3,1,10                                            0
RAA20130620201306194303030660000菊屋キャロッタ焼き賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     菊屋キャロッタ焼き賞菊屋キャロッ菊屋キ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,6,1,2,8,3,4,5                                                       307,6,1,(2,8),(3,4),5                                                   407,6,1,8,4,2,3,5                                                       00                                                                      0
