RAA20130711201307104706020960000あじめ峡賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          あじめ峡賞（中央交流あじめ峡賞（あじめ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,6,9,10,1,5,4                                                    202,7,8,6,9,10,1,5,4                                                    307,(2,8),6,10,9,5,1,4                                                  407,8,10,6,2,5,4,1,9                                                    0
RAA20130711201307104706021060000恵那峡特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          恵那峡特別（中央交流恵那峡特別（恵那峡0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,6,7,5,1,4,10,9,3                                                  208,2,1,6,7,5,4,9,10,3                                                  308,2,1,(5,6,7),4,9,10,3                                                408,2,5,1,7,6,4,9,3,10                                                  0
RAA20130725201307244707020960000カンナ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          カンナ賞（中央交流）カンナ賞（中カンナ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,10,9,1,6,8,4,5                                                  202,3,7,1,10,9,6,8,4,5                                                  302,3,7,1,10,9,8,6,4,5                                                  402,3,7,1,(8,9,10),6,4,5                                                0
RAA20130709201307084706010640000サラ系Ｃ１８組　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１８組　Ｃ１サラ系Ｃ１８サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,8,7,4,5,1,3,2                                                     206,9,7,8,4,5,3,1,2                                                     306,9,7,8,4,5,3,1,2                                                     406,8,7,9,3,4,5,1,2                                                     0
RAA20130713201307124706041080000サマーＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SUMMER CUP                                                                                                                                                                                                                                                                                                                                                              サマーＣ　　　　　　サマーＣ　　サマー0000D 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    00018000000045000000198000001080000005400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,3,5,8,7,4,6,9,2                                                  2010,3,5,1,8,7,6,4,9,2                                                  3010,3,(6,7),(5,8),1,4,9,2                                              4010,3,(7,8),6,5,(4,9),1,2                                              0
RAA20130709201307084706010140000サラ系３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳６組　６　サラ系３歳６サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,2,4,1,5,9,8,6                                                     203,7,2,4,1,9,5,8,6                                                     303,7,2,4,1,9,5,8,6                                                     403,4,2,7,1,9,8,5,6                                                     0
RAA20130712201307114706030770000サラ系Ｃ４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ４組　Ｃ４　サラ系Ｃ４組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,5,6,8,2,7,3,1                                                     204,9,5,2,6,8,7,3,1                                                     304,9,5,2,6,8,3,7,1                                                     404,5,9,2,6,3,8,7,1                                                     0
RAA20130712201307114706031070000付知峡特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          付知峡特別　Ｃ１　　付知峡特別　付知峡0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,2,3,10,1,4,9,6,5                                                  207,8,10,2,3,1,4,6,9,5                                                  307,8,10,2,3,1,9,4,6,5                                                  40(7,8),(2,10),(1,3),(4,6,9),5                                          0
RAA20130713201307124706040680000サラ系Ｃ１２・１５組　Ｃ１２１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１２・１５組サラ系Ｃ１２サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,1,4,8,3,2,9,6,7                                                  205,10,1,4,8,3,2,9,6,7                                                  305,10,4,1,8,3,2,9,7,6                                                  4010,5,3,1,4,8,2,9,6,7                                                  0
RAA20130723201307224707010340000サラ系３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳６組　６　サラ系３歳６サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,6,7,1,10,4,5,3,8                                                  202,9,6,7,1,10,4,5,3,8                                                  302,6,9,1,10,7,4,8,5,3                                                  402,6,9,10,1,4,7,8,5,3                                                  0
RAA20130726201307254707030570000サラ系Ｃ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ５組　Ｃ５　サラ系Ｃ５組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,3,4,1,5,6,7                                                       202,8,4,1,3,5,6,7                                                       302,8,4,1,3,5,6,7                                                       402,4,8,3,1,5,7,6                                                       0
RAA20130726201307254707030970000Ｃ級Ｃｈ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ級Ｃｈ　　　　　　Ｃ級Ｃｈ　　Ｃ級Ｃ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000260000000520000002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,8,9,7,4,1,2,3,10                                                  205,6,8,7,4,9,1,2,3,10                                                  305,6,8,7,4,9,1,2,10,3                                                  40(5,6),(7,8),4,9,1,2,10,3                                              0
RAA20130726201307254707031070000スーパーメイト創立４０周年記念　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     スーパーメイト創立４スーパーメイスーパ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,2,3,9,8,7,6,5,10,1                                                  204,2,3,9,8,7,5,6,1,10                                                  304,2,3,9,7,8,6,5,1,10                                                  404,2,3,8,9,7,5,6,1,10                                                  0
