RAA20130829201308284409031060000フォーチュネイトほうせんか特別（中央交流　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトほうフォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,11,9,(3,8),6,1,4,10,5,7                                             202,11,9,3,8,6,1,4,10,5,7                                               30(2,11),9,(4,8),1,(3,6),(7,10),5                                       4011,9,2,8,4,1,3,7,6,10,5                                               0
RAA20130802201308014407040870000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000130000000390000002340000015600000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,5,9),(1,10),(2,7),6,3,8,11                                         40(4,5),9,1,10,2,7,6,3,8,11                                             00                                                                      00                                                                      0
RAA20130816201308154408041270000盆踊り特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          盆踊り特別　Ｃ１一　盆踊り特別　盆踊り0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,10,14,6,3,(2,7,11),4,12,13,9,16,15,1                              208,5,10,3,14,6,2,11,7,4,12,13,9,16,15,1                                308,5,10,14,(6,11),3,(2,12),(4,7),9,(13,15),16,1                        408,5,10,14,11,6,12,3,2,4,7,9,(1,15),13,16                              0
RAA20130817201308164408051080000ｃｈｏｉｃｅ？×モバダビ賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ｃｈｏｉｃｅ？×モバｃｈｏｉｃｅｃｈｏ0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00020000000060000000400000002400000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003012,14,(8,10),6,3,2,9,1,13,7,4,5,11                                    4012,14,8,10,6,(2,3),1,9,4,13,7,5,11                                    00                                                                      00                                                                      0
RAA20130828201308264409011240000新涼特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新涼特別　Ｃ１二　　新涼特別　Ｃ新涼特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000210000000630000004200000025200000168000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,10,16),2,1,7,5,(6,11),8,12,15,3,(9,14),13                          4010,16,4,(1,2),(5,7),11,(6,8),12,3,15,9,13,14                          00                                                                      00                                                                      0
RAA20130829201308284409030660000サラ系一般　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,8,4,3,(2,7),(6,9),5,1                                              4010,8,4,3,(2,7),9,6,5,1                                                00                                                                      00                                                                      0
RAA20130803201308024407051180000立会川駅前通り繁栄会りょうくん特別　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          立会川駅前通り繁栄会立会川駅前通立会川0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001312122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,(3,5),1,12,6,(8,13),10,7,11,4                                       202,(3,5),(1,12),6,13,8,7,(10,11),4                                     30(2,5),(3,12,13),7,1,6,8,11,10,4                                       402,5,13,12,1,7,3,6,8,11,10,4                                           0
RAA20130813201308124408010640000サラ系一般　Ｃ３十１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,10,7,12,1,4,11,3,(2,9),8                                          205,(6,10),7,1,12,4,11,3,9,2,8                                          305,(6,10),7,1,12,4,11,3,(2,9),8                                        40(5,6,10),7,1,4,(11,12),3,2,9,8                                        0
RAA20130813201308124408010940000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414301000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,6),13,5,12,2,(3,7),9,10,8,(4,14),11                                401,6,13,5,12,2,7,3,9,10,(4,8),14,11                                    00                                                                      00                                                                      0
RAA20130817201308164408051180000ドリーミーナイト賞　Ｂ２三Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ドリーミーナイト賞　ドリーミーナドリー0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002700000008100000054000000324000002160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616152010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,12,13,1,4,8,3,9,5,11,7,6,15,14,16                                202,10,12,13,1,4,8,9,3,5,11,7,6,15,14,16                                302,10,(12,13),1,8,9,4,5,(3,11),7,15,14,16,6                            402,10,(1,13),12,(4,5,8,9),3,15,11,7,14,16                              0
RAA20130828201308264409010240000サラ系一般　Ｃ３１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,3,10,1,6,7,8,9,11,12,4,13,2                                         305,3,10,1,6,(8,9),12,(4,7),11,13,2                                     405,3,10,(1,6),(8,9),12,4,(7,11),13,2                                   00                                                                      0
