RAA20131121201311204714030960000古太尽特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          古太尽特別（中央交流古太尽特別（古太尽0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,9,1,10,4,5,7,8,6                                                  202,3,9,1,10,4,7,5,8,6                                                  303,(2,9),10,1,4,7,5,6,8                                                40(3,9),10,1,2,4,7,5,6,8                                                0
RAA20131122201311214714040970000プリンセス特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　PRINCESS TOKUBETSU                                                                                                                                                                                                                                                                                                                                                      プリンセス特別　　　プリンセス特プリン0000D 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0002000000005000000022000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,10,5,8,6,7,1,4,3                                                  202,9,10,5,8,7,6,4,3,1                                                  30(2,9),10,5,8,7,6,3,4,1                                                40(2,10),9,(5,8),7,3,4,6,1                                              0
RAA20131120201311194714020850000雪待月賞　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     雪待月賞　Ｃ１０　　雪待月賞　Ｃ雪待月0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,9,3,1,8,5,7,4                                                     202,6,9,3,8,1,7,5,4                                                     302,9,6,8,3,1,7,5,4                                                     402,9,8,7,3,5,6,1,4                                                     0
RAA20131123201311224714050580000サラ系Ｃ２１組　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２１組　Ｃ２サラ系Ｃ２１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,2,9,4,7,3,1,5                                                     208,6,2,9,4,7,3,1,5                                                     308,6,9,2,4,7,3,1,5                                                     406,8,9,2,4,3,7,1,5                                                     0
RAA20131120201311194714020650000サラ系Ｃ１１組　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１１組　Ｃ１サラ系Ｃ１１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,3,1,5,4,2,6                                                     207,8,3,9,1,5,4,2,6                                                     307,8,1,9,4,3,5,2,6                                                     407,8,1,4,3,9,5,2,6                                                     0
RAA20131120201311194714020950000笠松ＧＰ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KASAMATSU GRAND PRIX                                                                                                                                                                                                                                                                                                                                                    笠松ＧＰ　　　　　　笠松ＧＰ　　笠松Ｇ0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    00100000000250000001100000006000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,6,9,2,7,5,3,8,4                                                  201,10,6,2,9,3,7,5,4,8                                                  301,10,6,5,2,3,(7,8),4,9                                                401,10,(5,6),(2,3),(7,8),4,9                                            0
RAA20131123201311224714050880000いろり火賞　Ｂ６Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     いろり火賞　Ｂ６Ｃ３いろり火賞　いろり0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,4,6,5,3,2,1                                                     207,8,9,4,6,5,2,3,1                                                     307,8,9,4,6,5,1,3,2                                                     40(7,8),4,5,6,1,9,3,2                                                   0
RAA20131121201311204714030760000初霜賞　Ｃ２６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     初霜賞　Ｃ２６　　　初霜賞　Ｃ２初霜賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,10,1,8,4,5,2,7                                                    206,9,1,10,8,5,4,7,2                                                    306,9,10,1,5,8,4,2,7                                                    406,9,10,1,5,8,4,2,7                                                    0
RAA20131123201311224714050380000サラ系Ｃ２３組　Ｃ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２３組　Ｃ２サラ系Ｃ２３サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,2,7,8,5,6,4                                                       201,3,7,2,8,5,6,4                                                       301,3,7,8,2,6,5,4                                                       403,1,8,7,6,2,5,4                                                       0
RAA20131123201311224714050280000サラ系Ｃ２４組　Ｃ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２４組　Ｃ２サラ系Ｃ２４サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,3,8,1,7,9,5,2,4                                                     206,3,8,1,7,5,9,2,4                                                     306,3,8,7,1,5,9,2,4                                                     403,6,8,7,5,9,1,2,4                                                     0
RAA20131122201311214714040270000サラ系Ｃ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１９組　Ｃ１サラ系Ｃ１９サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,7,2,4,5,3,6                                                       208,1,7,2,4,5,3,6                                                       308,1,7,2,4,5,3,6                                                       408,1,7,2,4,5,3,6                                                       0
