RAA20131219201312184510030160000サラ系３歳　７ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　７ロ　　サラ系３歳　サラ系0000  120000000000000000000１００万上１１５万未満　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,12,7,5,2,8,3,10,9,6,1                                            204,11,2,12,7,5,8,3,10,9,6,1                                            30(4,11),8,12,2,10,7,5,3,9,1,6                                          40(4,11),2,8,(10,12),1,7,3,5,9,6                                        0
RAA20131219201312184510031160000全日本２歳優駿（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ZENNIPPON NISAI YUSHUN                                                                                                                                                                                                                                                                                                                                                  全日本２歳優駿（中央全日本２歳優全日本0000A 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    003500000012250000070000000350000001750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141313302000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,7),9,11,3,14,8,10,2,6,1,12,13                                      204,7,9,3,11,14,8,6,10,2,1,12,13                                        304,(7,9),3,(6,8),11,14,2,1,10,12,13                                    404,9,7,3,8,6,1,2,11,10,14,12,13                                        0
RAA20131218201312174510021150000東スポ師走オープン【地方交流】（中央認定　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 東スポ師走オープン【東スポ師走オ東スポ0000E 110002000000000000000サラ系２歳　２６５万上　　　　　　　　　　　　　　　　　　　160000002300    0005000000015000000100000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,9,4,7,5,11,1,2,8,6                                               203,10,9,4,7,11,5,2,1,8,6                                               3010,3,9,11,7,(2,4),1,5,8,6                                             4010,9,11,7,4,1,2,3,5,(6,8)                                             0
RAA20131220201312194510040870000サウンドホース賞（中央認定）　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 サウンドホース賞（中サウンドホーサウン0000E 110000000000000000000サラ系２歳　１９５万上２６５万未満　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,7,5,10,4,11,3,6,1,9                                               202,8,7,5,10,4,11,3,6,1,9                                               30(2,7),3,(5,10),(4,11),8,6,1,9                                         402,7,5,4,10,3,11,6,1,8,9                                               0
RAA20131218201312174510021050000もみの木特別　Ｂ１二Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          もみの木特別　Ｂ１二もみの木特別もみの0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00030000000090000000600000003600000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,14,1,3,7,5,12,9,8,11,13,6,4                                      2010,2,1,14,3,7,5,9,12,11,8,13,6,4                                      30(2,10),14,3,7,1,(8,9,12),(5,11),13,6,4                                4010,2,3,7,1,8,12,14,5,11,13,9,4,6                                      0
RAA20131221201312204510050580000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,7,9,11,5,10,1,4,8,12                                            202,3,6,7,9,5,11,10,1,12,8,4                                            302,6,3,7,5,(9,10),11,8,1,12,4                                          402,6,7,10,3,5,8,9,4,12,1,11                                            0
RAA20131221201312204510050780000サラ系一般　Ｃ２１２１３１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,8,2,6,7,3,5,1,4                                                  2010,9,2,8,6,7,3,5,1,4                                                  3010,9,2,7,8,3,6,5,1,4                                                  4010,9,2,7,3,6,8,5,1,4                                                  0
RAA20131220201312194510040470000サラ系一般　Ｃ２九十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101030300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,2,9,5,1,(4,6),3,7                                                2010,8,2,(1,5,9),(3,4),6,7                                              3010,8,9,(2,4),(1,5,6),(3,7)                                            4010,(2,8),1,3,9,5,(4,6),7                                              0
RAA20131217201312164510010440000サラ系３歳　３ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　３ロ　　サラ系３歳　サラ系0000  120000000000000000000１４７万上１７７万未満　　　　　　　　　　　　　　　　　　　150000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,4,8,10,2,11,5,9,6,7,3,1                                            2012,4,8,10,2,6,5,11,7,9,3,1                                            3012,4,10,2,9,3,5,6,8,7,1,11                                            4012,4,(2,10),3,9,6,5,8,7,1,11                                          0
RAA20131217201312164510011140000日高特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          日高特別　Ｂ３二　　日高特別　Ｂ日高特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,14,5,1,6,13,4,12,2,11,7,10,8,9                                      203,14,5,1,13,6,4,2,12,11,7,10,8,9                                      303,14,5,13,12,6,1,4,7,2,11,10,9,8                                      403,14,5,12,13,4,6,(1,2,7),11,9,10,8                                    0
RAA20131220201312194510041070000ジングルベル特別　Ｂ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ジングルベル特別　Ｂジングルベルジング0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,13,1,12,(3,8),2,9,6,14,7,5,11                                    204,10,13,12,1,3,8,2,6,9,14,7,5,11                                      30(4,10),12,13,(1,3),8,2,6,14,7,9,5,11                                  4010,4,12,1,8,13,3,6,7,2,14,9,5,11                                      0
RAA20131219201312184510030860000ありがとう！福山競馬記念　Ｃ１五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ありがとう！福山競馬ありがとう！ありが0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,7,1,8,10,4,5,12,11,9                                            202,3,6,7,1,8,10,4,12,5,11,9                                            302,7,3,12,1,6,8,(4,10),9,11,5                                          402,7,1,12,3,9,8,4,10,5,11,6                                            0
RAA20131219201312184510030560000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,12,3,4,6,8,2,5,11,1,10                                            207,9,12,3,4,6,8,2,5,11,1,10                                            307,9,(3,12),4,8,6,5,2,11,(1,10)                                        407,9,3,12,4,(6,8,11),5,2,10,1                                          0
RAA20131218201312174510020650000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,(7,9),10,4,5,11,1,3,8,2,12                                          206,7,9,4,10,5,1,11,3,8,2,12                                            306,10,(4,5),9,(7,11),3,1,2,8,12                                        406,10,(4,5),(3,9),11,1,7,2,8,12                                        0
RAA20131217201312164510011040000カンツバキ賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     カンツバキ賞　Ｃ２　カンツバキ賞カンツ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,5,3,7,4,11,1,2,13,12,10,6                                         208,9,5,3,7,4,11,1,2,10,13,12,6                                         308,9,(3,5,7),11,1,4,2,13,12,10,6                                       408,9,3,7,5,(1,11),2,4,13,(6,10),12                                     0
