RAA20131212201312114715021160000初雪特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初雪特別（中央交流）初雪特別（中初雪特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,6,7,2,1,4,10,8,3                                                  205,9,6,7,2,1,4,10,8,3                                                  305,9,6,2,1,4,10,7,8,3                                                  405,9,2,(1,6),(4,10),8,3,7                                              0
RAA20131213201312124715030970000サラ系Ｃ１８組牝馬　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１８組牝馬　サラ系Ｃ１８サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,5,7,2,9,10,3,8,6                                                  204,1,7,10,2,5,9,3,8,6                                                  304,1,7,10,2,5,9,8,3,6                                                  40(1,4),10,7,2,5,9,8,6,3                                                0
RAA20131214201312134715040380000サラ系Ｃ１６組　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１６組　Ｃ１サラ系Ｃ１６サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,1,5,8,4,6,3,9,2,10                                                  207,1,8,5,4,6,3,9,2,10                                                  307,1,8,(4,5),6,3,9,2,10                                                407,8,(1,4),5,6,3,9,2,10                                                0
RAA20131228201312134715040880000Ｃｈ（中央認定）　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            Ｃｈ（中央認定）　１Ｃｈ（中央認Ｃｈ（0000  110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002500000006250000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,8,2,9,1,7,4,10                                                    203,5,8,2,9,1,7,4,10                                                    303,5,2,9,8,1,7,4,10                                                    403,5,9,2,1,4,7,10,8                                                    0
RAA20131231201312304716040140000サラ系２歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳３組　３　サラ系２歳３サラ系0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,5,1,2,3                                                           206,4,3,5,1,2                                                           306,4,3,2,5,1                                                           404,6,3,2,5,1                                                           0
RAA20140110201312304716040940000ライデンリーダー記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　RAIDEN LEADER KINEN                                                                                                                                                                                                                                                                                                                                                     ライデンリーダー記念ライデンリーライデ0000D 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    00015000000037500000165000000900000004500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010090910100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,5,9,4,6,2,3,7                                                    2010,1,5,9,4,6,2,7,3                                                    3010,1,5,(2,4),9,(3,6),7                                                405,10,4,2,1,6,9,3,7                                                    0
RAA20131214201312134715040780000サラ系Ｃ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ９組　Ｃ９　サラ系Ｃ９組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,2,10,8,3,9,4,5                                                  201,6,2,7,8,10,9,3,4,5                                                  306,7,1,8,10,3,9,2,4,5                                                  407,6,8,9,3,1,10,2,4,5                                                  0
RAA20131214201312134715041080000北アルプス特別　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          北アルプス特別　Ｃ１北アルプス特北アル0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,1,2,3,7,6,10                                                    205,8,9,1,2,7,3,10,6                                                    305,8,9,1,2,7,3,10,6                                                    405,8,1,9,6,3,2,7,10                                                    0
RAA20131230201312294716030920000さざんか特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          さざんか特別　Ｃ１　さざんか特別さざん0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,8,6,9,5,10,2,1,4                                                  203,7,8,6,9,5,10,2,1,4                                                  30(3,7,8),6,5,2,10,4,1,9                                                407,8,5,2,6,3,10,4,1,9                                                  0
RAA20131231201312304716040240000サラ系Ｃ１８組　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１８組　Ｃ１サラ系Ｃ１８サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,6,8,3,4,7,9,1                                                     202,5,6,8,3,7,4,9,1                                                     302,5,6,8,3,7,4,9,1                                                     402,5,6,8,3,7,9,4,1                                                     0
RAA20131213201312124715030570000サラ系Ｃ２１組　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２１組　Ｃ２サラ系Ｃ２１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,4,7,10,1,3,9,8,2                                                  206,5,4,7,10,3,1,9,2,8                                                  306,5,4,7,10,(2,3,8),1,9                                                406,4,5,7,10,8,2,9,3,1                                                  0
