RAA20140219201402184211010950000ツインシャイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツインシャイン特別（ツインシャイツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,8,7,12,11,4,9,10,1,6,2                                            203,5,8,7,11,12,4,9,1,10,6,2                                            303,8,5,7,6,12,11,9,1,4,10,2                                            403,8,7,6,11,12,5,1,9,10,2,4                                            0
RAA20140221201402204211030870000ツインアタック特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツインアタック特別（ツインアタッツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,10,1,8,11,2,7,12,3,4,5                                            206,9,10,1,11,2,8,7,3,12,4,5                                            306,9,10,11,1,7,2,8,3,4,12,5                                            406,10,11,9,7,2,1,4,3,8,5,12                                            0
RAA20140221201402204211031070000マルチフレンド特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチフレンド特別（マルチフレンマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000068000000520000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,2,12,4,5,11,3,1,9,8,6                                            207,10,12,2,3,11,4,1,9,5,8,6                                            307,10,12,11,3,2,9,8,4,1,5,6                                            407,12,2,3,11,10,8,1,9,4,5,6                                            0
RAA20140220201402194211020960000若盛特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若盛特別　　　　　　若盛特別　　若盛特0000E 120000000000000000000サラ系３歳　２５０万上　　　　　　　　　　　　　　　　　　　150000002300    0002200000006600000037400000286000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,10,1,6,2,3,7,11,9,8,12                                            205,4,1,10,2,6,3,7,11,9,8,12                                            304,6,5,1,3,2,10,7,11,9,8,12                                            404,6,3,1,5,9,2,7,10,8,11,12                                            0
RAA20140220201402194211021060000春告草特別　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春告草特別　Ｃ１三　春告草特別　春告草0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001800000005400000030600000234000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,11,6,8,3,1,12,2,10,5,4,9                                            207,11,6,8,3,1,12,2,5,10,4,9                                            307,8,3,6,5,1,2,11,12,4,10,9                                            408,7,5,3,6,2,1,12,4,10,11,9                                            0
RAA20140220201402194211020760000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,6,11,4,7,5,9,12,8,10                                            201,2,3,4,6,7,11,5,8,9,10,12                                            301,3,6,2,7,4,5,11,8,9,10,12                                            401,6,3,7,4,5,8,10,2,11,12,9                                            0
RAA20140219201402184211010750000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,12,11,2,6,8,1,9,7,4,10,5                                            203,12,11,8,2,9,7,6,1,4,10,5                                            303,12,11,2,8,7,10,9,4,1,6,5                                            403,11,12,2,1,8,9,10,7,5,6,4                                            0
RAA20140220201402194211021260000仲春特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          仲春特別　Ｂ３二　　仲春特別　Ｂ仲春特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00020000000060000000340000002600000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,2,8,11,10,3,7,5,9,1,4,6                                            2012,2,8,11,10,7,3,9,5,1,4,6                                            3012,8,2,11,1,10,9,5,7,3,6,4                                            4012,1,8,2,11,10,5,9,6,3,7,4                                            0
RAA20140221201402204211030970000越生町のマスコット「うめりん」賞　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     越生町のマスコット「越生町のマス越生町0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,11,3,6,12,7,10,1,4,2,9                                            208,5,11,3,7,6,12,10,1,9,4,2                                            308,5,11,3,7,6,10,1,9,12,4,2                                            408,5,3,6,11,10,7,1,9,12,4,2                                            0
RAA20140222201402214211040580000サラ系一般　Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３二　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000800000002400000013600000104000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,2,11,1,9,12,8,7,5,6,4                                            203,10,2,11,(1,9),12,8,7,5,6,4                                          303,10,11,2,9,1,12,7,8,6,5,4                                            403,9,2,11,10,6,7,1,12,8,5,4                                            0
RAA20140219201402184211010650000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,3,10,12,1,4,8,7,11,5,6                                            209,2,3,12,8,10,4,1,11,7,5,6                                            309,2,12,8,3,4,1,10,11,6,7,5                                            409,12,8,1,2,3,4,10,6,7,11,5                                            0
RAA20140220201402194211021160000ユングフラウ賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　JUNGFRAU SHO                                                                                                                                                                                                                                                                                                                                                            ユングフラウ賞　　　ユングフラウユング0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002300    0012000000042000000240000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,11,2,12,3,7,10,5,9,6                                              204,8,11,2,3,12,5,7,10,9,6                                              304,8,11,5,3,12,2,7,10,9,6                                              404,11,8,3,5,7,12,2,10,9,6                                              0
RAA20140219201402184211011050000サラ系一般　Ｃ１五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,6,9,8,12,11,4,5,10,1                                            202,3,7,6,9,8,12,11,4,5,10,1                                            302,3,7,6,11,9,8,12,10,4,5,1                                            402,6,11,3,9,8,7,10,12,4,5,1                                            0
