RAA20140212201402114311020850000サカメン杯　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サカメン杯　　　　　サカメン杯　サカメ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001400000004200000025200000168000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,5,8,11,10,12,2,4,3,9,7,6                                            301,11,10,5,4,12,3,8,(6,7),(2,9)                                        401,11,10,4,5,12,3,7,6,8,9,2                                            00                                                                      0
RAA20140213201402124311030960000フレンドリーレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フレンドリーレイン特フレンドリーフレン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,14,12,6,9,5,10,11,2,13,8,4,3                                      201,7,14,12,6,9,5,10,2,11,4,13,8,3                                      301,7,6,12,9,(5,10),3,14,4,2,11,8,13                                    401,7,6,5,3,9,12,10,2,4,11,13,8,14                                      0
RAA20140214201402134311040870000ベストレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ベストレイン特別（中ベストレインベスト0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,3,8,10,5,9,4,1,7,11                                               202,6,3,8,10,5,9,4,1,7,11                                               302,6,3,8,10,9,4,5,1,7,11                                               402,6,3,8,9,10,4,7,1,5,11                                               0
RAA20140214201402134311040470000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,10,12,4,3,2,1,8,11,9,5                                            204,6,7,10,12,1,2,3,8,9,11,5                                            306,7,4,10,(1,2,12),9,(3,8),11,5                                        406,7,10,8,12,4,2,1,9,3,11,5                                            0
RAA20140215201402144311050680000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212126030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,1,5,12,3,6,9,10,2,4,8,11                                            207,12,1,5,10,9,3,6,4,2,11,8                                            307,(1,12),4,5,(3,10,11),2,9,6,8                                        407,(1,4,12),11,5,3,10,2,8,9,6                                          0
RAA20140215201402144311050380000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212126030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,8,3,11,6,10,12,1,5,2,4                                            207,9,8,10,3,12,6,11,1,2,5,4                                            307,9,8,3,10,6,12,2,5,11,1,4                                            407,8,(3,10),6,2,9,12,5,1,11,4                                          0
RAA20140213201402124311031160000春告鳥特別　Ｂ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春告鳥特別　Ｂ２三　春告鳥特別　春告鳥0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,14,6,8,2,11,9,7,12,1,10,13,3,4                                      205,14,2,8,6,11,7,9,12,13,1,10,4,3                                      305,14,2,7,8,6,(4,11),13,9,1,3,12,10                                    405,14,2,7,4,8,11,6,13,9,1,3,10,12                                      0
RAA20140215201402144311050480000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212126030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,11,5,3,6,4,8,10,9,7,12,2                                            201,11,3,5,6,4,10,8,9,7,12,2                                            301,11,(3,6),10,5,4,8,9,7,12,2                                          401,11,10,6,4,3,8,5,9,7,12,2                                            0
RAA20140215201402144311050980000立春賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     立春賞　Ｃ２　　　　立春賞　Ｃ２立春賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414145030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,7,9,(8,14),(3,4,10),1,12,11,13,6,5                                  402,9,7,14,10,8,4,3,1,12,11,13,6,5                                      00                                                                      00                                                                      0
RAA20140212201402114311020350000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002012,2,4,7,9,3,5,10,6,11,8,1                                            3012,2,4,9,(3,6,7),10,11,(5,8),1                                        4012,2,9,4,3,6,10,7,11,8,5,1                                            00                                                                      0
RAA20140212201402114311020450000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,13,7,9,3,14,1,8,2,6,12,4,5,11                                      2010,13,9,7,14,3,1,8,2,6,4,12,5,11                                      3010,13,9,3,(7,14),1,8,6,4,2,5,12,11                                    4010,13,3,9,14,1,4,7,8,5,6,2,11,12                                      0
RAA20140213201402124311031060000報知ＧＰＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HOCHI GRAND PRIX CUP                                                                                                                                                                                                                                                                                                                                                    報知ＧＰＣ　　　　　報知ＧＰＣ　報知Ｇ0000D 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　180000002300    0010000000035000000200000001000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,14,13,5,8,9,12,7,3,1,11,2,10,6                                      204,14,5,13,9,8,12,3,7,1,11,2,10,6                                      304,14,5,13,9,7,8,3,11,12,1,6,2,10                                      404,14,13,5,7,9,8,3,11,12,1,6,2,10                                      0
RAA20140212201402114311020950000成田漬物本舗南高梅はちみつ漬賞　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     成田漬物本舗南高梅は成田漬物本舗成田漬0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,2,10,7,1,6,3,13,12,5,14,4,11                                      209,8,2,10,6,7,1,3,13,12,14,5,4,11                                      309,8,(2,7),6,10,3,(12,13,14),1,(4,5),11                                409,8,2,7,6,3,12,14,13,10,4,11,5,1                                      0
