RAA20140319201403184312021050000ベストビット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ベストビット特別（中ベストビットベスト0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,1,12,6,13,11,2,5,4,10,8                                         203,7,9,1,12,6,13,2,11,5,4,10,8                                         303,7,9,1,(6,12),(2,13),(4,5),10,11,8                                   403,9,7,1,12,6,2,13,4,5,11,10,8                                         0
RAA20140320201403194312031060000フレンドリービット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フレンドリービット特フレンドリーフレン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,2,6,3,10,12,7,5,13,8,11,1                                         204,9,2,6,3,10,12,5,7,13,8,11,1                                         304,2,6,9,3,5,10,(7,13),(8,12),11,1                                     404,2,6,5,3,13,10,7,8,12,9,11,1                                         0
RAA20140320201403194312031160000ダイオライト記念（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　DIOLITE KINEN                                                                                                                                                                                                                                                                                                                                                           ダイオライト記念（中ダイオライトダイオ0000B 140004000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　240000002300    0032000000112000000640000003200000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,14,2,3,7,8,12,11,1,10,9,4,5,13                                      206,14,2,3,7,8,12,11,10,1,9,4,5,13                                      306,14,7,2,3,12,11,1,10,9,8,4,5,13                                      406,14,3,7,2,12,10,11,1,9,4,8,5,13                                      0
RAA20140321201403204312040670000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141430300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,4,11,14,5,7,12,13,6,3,8,2,1                                      2010,9,4,14,11,5,7,12,3,13,6,8,2,1                                      3010,4,11,14,9,(5,7),13,(6,12),3,8,2,1                                  4010,4,5,11,7,6,14,13,9,8,3,12,1,2                                      0
RAA20140318201403174312010940000サラ系一般　Ｃ２一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,10,12,1,6,7,8,3,2,11,4                                            205,10,9,12,6,1,8,7,3,2,11,4                                            30(9,10,12),5,6,8,3,7,(1,2,11),4                                        409,12,10,6,5,3,11,8,2,7,4,1                                            0
RAA20140318201403174312011140000桜月特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          桜月特別　Ｂ３二　　桜月特別　Ｂ桜月特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002200000006600000044000000264000001760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,12,9,11,3,5,7,14,4,13,10,1,8                                      202,6,9,12,11,5,3,7,14,10,13,4,8,1                                      302,6,12,(9,11),5,3,8,13,(7,14),1,(4,10)                                402,12,6,11,9,8,5,3,1,13,14,7,10,4                                      0
RAA20140321201403204312040370000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413133030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,14,4,10,8,5,1,12,7,9,2,11                                         203,6,14,1,10,4,8,5,12,7,9,11,2                                         303,6,10,1,12,14,5,8,11,4,9,7,2                                         403,6,10,1,12,11,5,14,8,7,4,9,2                                         0
RAA20140319201403184312020850000サラ系一般　Ｃ１二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,12,5,7,14,1,2,3,4,13,11,10,9                                      206,8,12,5,7,1,14,2,3,4,13,11,10,9                                      306,8,2,5,7,1,12,4,14,(3,13),11,10,9                                    406,8,2,5,1,7,4,13,11,14,10,3,9,12                                      0
RAA20140319201403184312020950000サラ系一般　Ｃ１二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,7,9,11,5,12,8,1,2,6,3,10                                            304,7,(1,9,11),(5,12),8,(6,10),2,3                                      404,7,11,1,12,(5,6,9),(2,8),10,3                                        00                                                                      0
RAA20140321201403204312040170000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,6,8,1,12,4,7,11,9,3,5,10                                            30(2,6),(1,4),8,12,9,11,3,7,5,10                                        402,6,1,4,8,9,12,11,3,7,5,10                                            00                                                                      0
RAA20140321201403204312041270000啓蟄賞　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     啓蟄賞　Ｃ１Ｃ２　　啓蟄賞　Ｃ１啓蟄賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,8,1,14,3,4,6,13,2,12,10,11,7                                      209,5,8,1,14,3,6,4,2,13,10,12,11,7                                      309,5,8,(1,6,14),3,4,2,13,12,10,11,7                                    409,5,6,1,8,14,4,3,2,13,12,11,10,7                                      0
RAA20140318201403174312010440000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,10,7,4,5,1,2,9,3,11                                               206,10,8,7,4,5,1,9,2,3,11                                               306,4,10,1,9,7,5,2,11,8,3                                               406,4,1,9,10,2,5,7,11,(3,8)                                             0
RAA20140320201403194312030760000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,11,8,6,4,3,5,1,2,12,7                                            209,10,8,11,6,5,4,1,3,2,12,7                                            309,10,11,8,(1,5,6),4,2,3,12,7                                          409,10,11,8,1,6,5,(2,3,4),12,7                                          0
