RAA20140507201405065004021050000兵庫ＣｈＳ（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HYOGO CHAMPIONSHIP                                                                                                                                                                                                                                                                                                                                                      兵庫ＣｈＳ（中央交流兵庫ＣｈＳ（兵庫Ｃ0000B 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　187000002400    00280000000700000003360000022400000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,5,4,8,10,6,7,1,3,2,12,9                                            2011,5,(4,8),6,10,7,1,3,2,12,9                                          3011,5,4,1,6,8,7,12,10,3,2,9                                            4011,5,4,6,1,8,12,7,10,2,3,9                                            0
RAA20140523201405215005041060000由良川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           由良川特別（中央交流由良川特別（由良川0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001100000002200000011000000066000000440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,10,11,4,9,3,7,8,1,12,5                                            202,6,10,4,11,9,(3,7),1,8,12,5                                          302,10,7,6,9,4,11,12,3,1,8,5                                            402,7,10,6,(4,9,12),3,1,11,8,5                                          0
RAA20140508201405075004030960000おゝ浜のポン酢特別Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           おゝ浜のポン酢特別Ａおゝ浜のポンおゝ浜0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000750000001500000007500000045000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,11,3,9,6,2,7,(1,12),8,4                                          205,10,11,3,6,9,2,7,1,12,8,4                                            3010,11,5,6,3,9,7,(4,12)                                                4010,6,11,3,7,5,12,9,4                                                  0
RAA20140509201405085004040770000Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           Ｂ２　　　　　　　　Ｂ２　　　　Ｂ２　0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000500000001000000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,1,6,2,7,3                                                         204,5,1,6,2,(3,7)                                                       305,4,1,6,(3,7),2                                                       405,4,1,6,3,7,2                                                         0
RAA20140526201405235005060880000Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ１　　　　　　　　Ｃ１　　　　Ｃ１　0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000005400000027000000150000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,3,11,(1,6),7,5,9,12,4,2                                          2010,8,3,11,6,1,(7,9),5,(4,12),2                                        3010,(6,8),3,11,9,1,5,7,12,4,2                                          4010,6,3,8,11,1,5,9,7,4,12,2                                            0
RAA20140507201405055004010940000ちっちゃいおっさん大笑点Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      ちっちゃいおっさん大ちっちゃいおちっち0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,(2,12),6,8,1,9,5,11,3,7                                          204,10,(2,12),6,1,(8,9),5,3,11,7                                        304,10,1,9,6,12,2,(5,7),3,8,11                                          404,10,(1,6),12,9,2,(5,7),3,8,11                                        0
RAA20140520201405165005030280000Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ３二　　　　　　　Ｃ３二　　　Ｃ３二0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000360000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,2,4,6,1,7,5,9,10                                                  203,8,2,4,(1,6),7,5,9,10                                                303,8,6,2,1,(4,5),7,10,9                                                403,2,6,8,5,10,1,7,4,9                                                  0
RAA20140530201405295006020470000Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２三　　　　　　　Ｃ２三　　　Ｃ２三0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,6,8,5,4,2,3,1,7                                                  209,10,6,8,4,5,2,3,1,7                                                  3010,(4,9),8,6,5,3,1,2,7                                                4010,4,9,5,8,6,1,3,7,2                                                  0
RAA20140602201405305006030280000Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ３二　　　　　　　Ｃ３二　　　Ｃ３二0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000360000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,2,7,9,3,5,8,1,6                                                  204,10,2,7,3,9,8,5,6,1                                                  30(4,10),2,7,1,3,5,9,6,8                                                4010,4,2,7,3,1,5,9,8,6                                                  0
RAA20140507201405055004011140000しょうぶ賞Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           しょうぶ賞Ｂ２　　　しょうぶ賞Ｂしょう0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001000000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001210102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,12,11,3,2,9,10,1,4,8                                                207,12,11,3,2,9,10,1,4,8                                                307,12,11,3,2,10,(1,9),4,8                                              407,(11,12),3,(1,2),10,9,4,8                                            0
RAA20140523201405215005040460000リミテッドＣ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      リミテッドＣ２　　　リミテッドＣリミテ0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,4,10,(2,5),3,9,1                                                  206,8,(4,10),5,2,3,1,9                                                  305,8,3,10,2,6,1,4,9                                                    405,3,8,10,2,1,6,9,4                                                    0
RAA20140523201405225005051270000あやめ賞Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           あやめ賞Ｂ２　　　　あやめ賞Ｂ２あやめ0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001000000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,6,1,(5,10),8,7,3,2,12,11                                          204,9,6,1,5,(8,10),7,3,2,12,11                                          304,9,(1,5),(6,10),8,7,3,2,11,12                                        404,(5,9),7,1,8,10,6,3,11,2,12                                          0
RAA20140507201405015003061070000はなみずき賞Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      はなみずき賞Ｂ２　　はなみずき賞はなみ0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,11,2,4,5,12,7,9,1,6,8                                            203,10,11,2,4,5,7,9,12,1,6,8                                            30(3,10),11,2,(5,7),4,9,1,(8,12),6                                      403,10,11,2,5,7,4,9,8,1,6,12                                            0
RAA20140508201405075004030660000Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２二　　　　　　　Ｃ２二　　　Ｃ２二0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,7,9,1,2,5,4,6                                                     203,8,7,9,1,2,(4,5),6                                                   303,8,7,9,2,5,1,4,6                                                     403,8,7,9,2,1,5,4,6                                                     0
RAA20140520201405165005030880000ひめじ官兵衛特別Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      ひめじ官兵衛特別Ｂ２ひめじ官兵衛ひめじ0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,6,4,(7,11),1,(8,10),3,2                                           205,9,6,4,7,11,1,10,8,3,2                                               306,1,5,9,8,4,7,10,11,3,2                                               406,1,5,8,4,(3,7),9,10,11,2                                             0
