RAA20150122201501214416031160000ＴＣＫ女王盃（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TCK JO-O HAI                                                                                                                                                                                                                                                                                                                                                            ＴＣＫ女王盃（中央交ＴＣＫ女王盃ＴＣＫ0000C 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0022000000077000000440000002200000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,3,4,2,(5,7),1,8                                                     206,3,4,2,(5,7),(1,8)                                                   306,3,4,2,5,7,8,1                                                       406,3,(4,5),2,7,1,8                                                     0
RAA20150124201501234416050580000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000080000000240000001440000009600000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151514104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,12),15,11,(5,13),6,10,1,8,(2,14),9,7                               40(4,12),15,11,5,13,6,10,8,1,14,2,9,7                                   00                                                                      00                                                                      0
RAA20150122201501214416030960000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515153020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,11,3,12,(1,2),7,(13,15),5,14,8,9,10                               204,6,11,3,12,(1,7),(2,14),15,13,9,5,(8,10)                             30(4,6),11,3,1,15,9,12,2,14,5,13,7,10,8                                 406,4,3,1,11,(2,15),5,9,13,14,12,10,7,8                                 0
RAA20150122201501214416030560000サラ系一般　Ｃ２九十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515152020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,7,10,4,13,15,(5,14),1,(6,8,9),11,2,12                               403,7,10,4,13,15,(5,14),1,6,9,8,11,2,12                                 00                                                                      00                                                                      0
RAA20150123201501224416041270000ジャニュアリー賞　Ｂ２三Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ジャニュアリー賞　Ｂジャニュアリジャニ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002700000008100000054000000324000002160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616163040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,13,15,9,6,(5,8),12,1,16,10,7,14,11,2,4                              203,13,15,9,6,5,8,16,1,(10,12),7,14,11,(2,4)                            303,13,15,(5,9),8,16,6,7,1,14,11,(2,4),12,10                            403,13,15,9,5,16,8,6,7,1,14,11,4,2,12,10                                0
RAA20150123201501224416040670000サラ系一般　Ｃ２１２１３１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001514143040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,9,5,12,15,(2,11),1,4,(8,13),6,7,10                                  403,9,12,(5,15),11,2,1,4,13,10,8,6,7                                    00                                                                      00                                                                      0
RAA20150124201501234416050980000サラ系一般　Ｃ２１５１６１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１５サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001514141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,(3,14),5,15,10,1,8,7,11,2,6,4                                    209,12,14,3,5,1,15,10,7,8,2,11,6,4                                      309,14,12,3,5,1,2,7,10,15,6,4,8,11                                      409,14,5,3,2,12,1,7,10,6,15,4,11,8                                      0
RAA20150121201501204416021150000桃花賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                                 桃花賞　　　　　　　桃花賞　　　桃花賞0000E 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    00065000000195000001300000007800000052000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151510100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,5,4,2,(8,12),9,7,1,14,10,3,15,11,6                                 2013,5,4,2,8,12,9,7,1,14,10,3,(11,15),6                                 305,4,(2,13),9,8,12,1,14,7,10,11,3,15,6                                 405,4,9,2,(8,12),1,14,13,10,7,11,3,15,6                                 0
RAA20150120201501194416010840000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151515102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(13,14),2,15,3,1,(10,12),8,6,11,7,9,5,4                               4013,14,15,(2,3),12,1,10,(6,8),9,11,7,5,4                               00                                                                      00                                                                      0
RAA20150121201501204416020850000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002011,(4,5,12),10,16,1,13,8,15,3,(6,14),9,2,7                            304,11,12,10,16,1,5,15,(8,13),14,6,3,7,2,9                              404,11,12,(1,10),8,16,13,5,6,14,15,3,7,2,9                              00                                                                      0
RAA20150124201501234416051280000睦月特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          睦月特別　Ｃ１二　　睦月特別　Ｃ睦月特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208,9,11,(10,14),15,3,5,12,13,1,6,4,(2,7),16                            30(8,9,11),14,(10,15),12,3,13,5,(6,7),1,4,16,2                          409,11,8,(10,14),(3,12,15),13,5,(1,7),6,4,2,16                          00                                                                      0
