RAA20150205201502044417031060000アーバンステージ如月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           アーバンステージ如月アーバンステアーバ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,8,12,2,4,16,(1,6),14,11,10,13,7,9,5                                 403,8,12,2,(4,16),1,6,14,11,10,13,9,7,5                                 00                                                                      00                                                                      0
RAA20150207201502064417050580000サラ系一般　Ｃ２１７Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１７サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003014,(8,11),9,1,2,3,7,4,5,12,13,10,6                                    4014,8,11,9,1,2,3,(4,7),5,(10,13),6,12                                  00                                                                      00                                                                      0
RAA20150228201502274418050480000サラ系一般　Ｃ３一二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,4,8,14,10,12,9,6,5,13,11,7,2,1                                      403,4,12,9,8,(10,14),5,6,13,11,7,2,1                                    00                                                                      00                                                                      0
RAA20150227201502264418040870000サラ系一般　Ｃ１五Ｃ２四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五Ｃサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00013000000039000000234000001560000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015141430400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003015,5,12,1,3,14,11,(4,13),10,9,8,6,2                                   4015,5,12,1,14,3,11,13,4,10,9,8,6,2                                     00                                                                      00                                                                      0
RAA20150203201502024417010840000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,13,(7,11),3,15,4,5,(2,9),16,14,12,1,8,10                            306,(7,11),13,3,15,5,4,(1,9),10,16,2,14,12,8                            406,11,(3,7),15,13,(4,5),1,9,16,10,2,12,8,14                            00                                                                      0
RAA20150227201502264418041070000キャピタルステッキ賞　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          キャピタルステッキ賞キャピタルスキャピ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616163040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,10,8,16,5,6,7,15,4,3,2,1,12,14,13,11                                408,10,9,(5,6,16),(4,7),(2,15),3,1,14,(12,13),11                        00                                                                      00                                                                      0
RAA20150204201502034417021050000クロッカス特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               クロッカス特別　　　クロッカス特クロッ0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000250000000875000005000000037500000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131313101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,8),13,(3,12),7,1,(4,5,11),10,6,9                                   402,8,13,3,7,(1,5),(4,12),11,10,6,9                                     00                                                                      00                                                                      0
RAA20150228201502274418051080000君子蘭特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               君子蘭特別　　　　　君子蘭特別　君子蘭0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,12,10,11,14,2,9,13,3,6,5,8                                      201,4,7,12,10,14,11,2,9,13,3,6,5,8                                      304,7,1,11,3,10,14,12,2,9,13,6,5,8                                      404,7,1,11,(3,10),2,14,6,12,5,9,13,8                                    0
RAA20150205201502044417030760000サラ系一般　Ｃ２十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161510100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003011,13,(15,16),1,4,10,2,8,3,6,9,5,14,12                                4015,13,(11,16),4,1,10,8,2,3,9,6,5,14,12                                00                                                                      00                                                                      0
RAA20150224201502234418010940000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,11,13,12,1,16,10,14,3,7,(2,8),5,(6,15),4                            4013,(9,11),(1,12),16,14,10,3,2,7,(5,6),15,4,8                          00                                                                      00                                                                      0
RAA20150207201502064417050980000サラ系一般　Ｃ２１４１５１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,8,(3,5),9,6,12,2,15,11,14,10,13,7                                 201,4,8,3,5,9,6,12,2,15,14,11,10,13,7                                   304,8,1,3,12,6,5,(9,15),2,13,11,14,10,7                                 404,8,1,3,12,6,15,13,2,5,(9,11),10,14,7                                 0
