RAA20150205201502044719030960000立春賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          立春賞（中央交流）　立春賞（中央立春賞0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,4,10,7,1,6,3,2                                                  205,8,9,4,7,10,6,1,2,3                                                  305,8,4,9,6,7,10,1,2,3                                                  405,4,8,9,6,7,(1,2,10),3                                                0
RAA20150206201502054719040270000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,3,6,1,7,2                                                       204,5,8,3,6,1,7,2                                                       304,5,(3,8),6,2,7,1                                                     404,5,8,3,6,7,1,2                                                       0
RAA20150219201502184720030860000梅見月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          梅見月賞（中央交流）梅見月賞（中梅見月0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,3,8,1,5,9,4,10,7                                                  206,2,3,1,5,4,8,9,10,7                                                  306,(2,3),(1,5),7,4,10,9,8                                              406,3,2,7,5,1,4,10,9,8                                                  0
RAA20150219201502184720030960000うぐいす特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          うぐいす特別（中央交うぐいす特別うぐい0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,2,1,8,10,9,4,3                                                    205,7,8,2,10,1,9,4,3                                                    305,7,2,1,10,8,4,9,3                                                    405,7,2,1,4,9,3,10,8                                                    0
RAA20150205201502044719030460000サラ系Ｃ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１９組　Ｃ１サラ系Ｃ１９サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,3,5,7,4,2                                                       201,6,3,8,5,7,2,4                                                       301,6,(3,8),5,7,2,4                                                     401,6,8,(3,5),7,2,4                                                     0
RAA20150219201502184720030760000サラ系３歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳１組特別　サラ系３歳１サラ系0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000330000000660000003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,8,6,5,2,3,4,1                                                     207,9,8,6,2,5,3,4,1                                                     307,9,8,2,(3,6),4,5,1                                                   407,9,8,2,3,4,6,5,1                                                     0
RAA20150220201502194720040670000サラ系Ｂ９・Ｃ３組　Ｂ９Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ９・Ｃ３組　サラ系Ｂ９・サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,2,1,3,5                                                         204,6,7,2,1,3,5                                                         304,7,6,1,2,3,5                                                         404,(1,7),6,2,3,5                                                       0
RAA20150220201502194720040970000Ｃ級Ｃｈ　Ｃ級　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ級Ｃｈ　Ｃ級　　　Ｃ級Ｃｈ　ＣＣ級Ｃ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000260000000520000002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,2,8,5,9,3,4,1,10                                                  206,7,2,8,5,3,9,4,1,10                                                  307,2,6,5,8,4,3,9,1,10                                                  40(2,7),(5,8),6,4,3,1,9,10                                              0
RAA20150205201502044719030160000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,9,1,5,8,7,4,3                                                     202,6,9,1,5,7,8,4,3                                                     302,(6,9),1,7,5,8,4,3                                                   402,1,9,7,6,5,8,4,3                                                     0
RAA20150204201502034719020950000雪割草賞　Ａ４Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     雪割草賞　Ａ４Ｂ３　雪割草賞　Ａ雪割草0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,10,4,2,8,1,6,3,5                                                  209,7,10,4,2,8,1,6,3,5                                                  309,7,10,4,2,8,3,6,1,5                                                  409,4,10,7,2,8,3,6,5,1                                                  0
RAA20150205201502044719030260000サラ系Ｃ２４組　Ｃ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２４組　Ｃ２サラ系Ｃ２４サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,2,8,5,6,4,3                                                       201,7,2,5,6,8,4,3                                                       301,7,5,2,6,8,4,3                                                       401,7,5,2,6,8,4,3                                                       0
