RAA20150311201503104312020950000ベストビット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ベストビット特別（中ベストビットベスト0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,13,8,5,9,7,4,11,12,2,10,6,3                                         201,13,8,5,7,9,4,10,12,2,11,6,3                                         301,(7,13),12,8,5,10,4,6,2,9,11,3                                       401,7,13,12,8,5,10,2,4,6,9,3,11                                         0
RAA20150312201503114312031160000ダイオライト記念（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　DIOLITE KINEN                                                                                                                                                                                                                                                                                                                                                           ダイオライト記念（中ダイオライトダイオ0000B 140004000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　240000002300    0032000000112000000640000003200000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,2,6,5,1,11,12,3,7,10,9                                            208,4,2,6,5,1,11,12,3,7,10,9                                            304,8,6,2,(5,11),1,12,3,7,(9,10)                                        404,6,5,2,11,8,1,12,7,3,9,10                                            0
RAA20150313201503124312040970000フレンドリービット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フレンドリービット特フレンドリーフレン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,5,6,8,7,3,1                                                       202,4,6,5,8,7,1,3                                                       302,4,6,5,8,7,1,3                                                       402,4,6,5,8,7,1,3                                                       0
RAA20150312201503114312030760000スカパー！南関東地方競馬チャンネル賞　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     スカパー！南関東地方スカパー！南スカパ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,10,8,11,5,6,9,3,4,7                                               202,1,10,8,5,11,6,3,9,4,7                                               302,1,10,5,8,3,(9,11),6,4,7                                             402,1,10,5,8,3,9,4,6,7,11                                               0
RAA20150311201503104312020650000感謝祐ちゃん第２の人生賭けよう記念　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     感謝祐ちゃん第２の人感謝祐ちゃん感謝祐0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,8,10,6,11,5,9,4,7,1                                               202,3,8,10,6,11,5,9,4,7,1                                               302,3,(10,11),8,6,(5,9),(4,7),1                                         402,3,11,10,8,5,6,4,9,7,1                                               0
RAA20150313201503124312040770000板倉良一勤続３０周年記念　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     板倉良一勤続３０周年板倉良一勤続板倉良0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,11,9,6,5,3,4,1,2,7                                               208,10,11,9,5,6,3,1,4,7,2                                               308,10,11,9,(5,6),1,3,4,2,7                                             408,10,11,9,5,1,6,3,2,7,4                                               0
RAA20150314201503134312050980000桜月賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     桜月賞　Ｃ２　　　　桜月賞　Ｃ２桜月賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,6,3,4,10,1,8,2,11,9                                               207,6,10,5,3,4,1,8,2,11,9                                               307,6,3,10,4,1,5,8,2,(9,11)                                             407,6,3,4,10,1,8,2,5,11,9                                               0
RAA20150313201503124312040470000船橋ＲＣ名物！菊屋キャロッタ焼き賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     船橋ＲＣ名物！菊屋キ船橋ＲＣ名物船橋Ｒ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,10,4,7,11,2,9,8,6,1                                               203,5,10,11,7,4,2,9,8,6,1                                               303,5,10,7,11,4,9,2,8,6,1                                               403,5,10,11,9,7,2,4,8,6,1                                               0
RAA20150314201503134312051180000草萌特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          草萌特別　Ｃ１一　　草萌特別　Ｃ草萌特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001800000005400000036000000216000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,12,13,10,1,2,7,6,8,11,9,3,4                                         205,12,13,10,2,1,7,6,11,8,9,3,4                                         3012,5,13,2,10,1,7,(6,8),11,3,9,4                                       4012,2,13,10,7,8,11,5,6,1,3,9,4                                         0
RAA20150311201503104312020850000春疾風賞　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     春疾風賞　Ｂ３　　　春疾風賞　Ｂ春疾風0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,6,5,(2,3),8,7,10,9,1                                                404,6,5,3,2,8,7,10,1,9                                                  00                                                                      00                                                                      0
RAA20150310201503094312011040000三咲特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          三咲特別　Ｂ２二　　三咲特別　Ｂ三咲特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,4,6,2,10,3,8,11,13,1,14,5,12                                      207,9,6,4,2,10,3,8,11,13,1,14,5,12                                      307,(4,6,9),(2,10),(3,13),8,11,1,14,5,12                                404,7,2,10,6,13,3,8,9,11,14,1,5,12                                      0
RAA20150313201503124312040570000礒と松が贈る！弓山せんぱい北見へ見送る賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     礒と松が贈る！弓山せ礒と松が贈る礒と松0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,8,10,3,1,7,9,11,2,5                                               204,6,8,1,10,3,7,9,11,2,5                                               304,6,8,3,(1,7,10),11,9,2,5                                             404,8,6,3,1,10,7,9,11,2,5                                               0
RAA20150312201503114312030660000桃の花賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          桃の花賞　　　　　　桃の花賞　　桃の花0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001400000004200000025200000168000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,6,8,9,1,2,7,10,5,4                                                  303,(6,8),(1,2),9,4,7,10,5                                              403,6,8,2,1,4,10,9,7,5                                                  00                                                                      0
