RAA20150514201505134703020860000若鮎賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          若鮎賞（中央交流）　若鮎賞（中央若鮎賞0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,2,4,3,10,6,1,9,7                                                  205,8,2,3,4,10,6,1,9,7                                                  305,8,2,3,6,4,10,1,9,7                                                  40(5,8),2,6,3,10,4,1,9,7                                                0
RAA20150514201505134703020960000初夏特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初夏特別（中央交流）初夏特別（中初夏特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,6,9,2,5,8,7,10,4                                                  201,3,6,9,5,2,8,7,10,4                                                  301,3,6,9,5,8,2,7,4,10                                                  406,1,3,9,8,5,2,7,4,10                                                  0
RAA20150529201505274704020960000揖斐川賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          揖斐川賞（中央交流）揖斐川賞（中揖斐川0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,6,3,5,10,7,2,8,9                                                  201,4,6,3,5,10,7,2,8,9                                                  303,4,1,(5,6),7,(2,10),8,9                                              403,4,5,(1,2),(6,7),10,8,9                                              0
RAA20150529201505274704021060000馬瀬川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          馬瀬川特別（中央交流馬瀬川特別（馬瀬川0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,5,3,8,10,1,6,2,4                                                  207,9,5,3,8,10,1,2,6,4                                                  307,9,10,5,1,8,3,2,6,4                                                  407,(9,10),5,8,1,2,3,6,4                                                0
RAA20150502201505014702060680000サラ系Ｃ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ５組　Ｃ５　サラ系Ｃ５組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,4,1,6,3                                                           205,2,4,1,3,6                                                           305,2,4,1,3,6                                                           405,2,4,1,3,6                                                           0
RAA20150515201505144703031170000夏木立特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          夏木立特別　Ｃ１　　夏木立特別　夏木立0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00002050000004100000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,2,7,8,1,5,6,9,4                                                  2010,3,2,(7,8),1,(5,6),(4,9)                                            3010,3,8,2,1,7,6,5,9,4                                                  4010,3,8,2,1,6,7,4,5,9                                                  0
RAA20150514201505134703020260000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000195000000390000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,6,8,2,4,1                                                       203,5,7,6,8,2,4,1                                                       303,(5,7),(2,8),6,1,4                                                   403,(5,7),8,2,1,6,4                                                     0
RAA20150526201505254704010340000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000195000000390000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,5,2,7,4,3                                                       201,6,8,5,2,7,4,3                                                       301,6,5,8,2,4,7,3                                                       401,5,6,8,2,7,4,3                                                       0
RAA20150514201505134703020760000サラ系Ａ４・Ｂ３組特選　Ａ４Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ａ４・Ｂ３組特サラ系Ａ４・サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000195000000390000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,9,8,4,6,5,7                                                     201,2,3,9,8,4,6,5,7                                                     302,1,3,(8,9),4,5,6,7                                                   402,8,3,9,4,5,6,1,7                                                     0
RAA20150529201505274704020860000サラ系Ａ４・Ｂ３組特選　Ａ４Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ａ４・Ｂ３組特サラ系Ａ４・サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000195000000390000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,8,3,4,1,7,5                                                       202,6,8,3,4,1,7,5                                                       302,6,8,4,3,1,7,5                                                       40(4,6,8),2,3,(1,5,7)                                                   0
RAA20150516201505154703041080000かがり火特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          かがり火特別　Ａ２　かがり火特別かがり0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000400000000800000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,4,2,9,5,7,3,6                                                     201,8,2,4,9,5,7,3,6                                                     301,8,4,2,7,(5,9),6,3                                                   408,7,4,(1,2),9,5,6,3                                                   0
RAA20150530201505294704041080000長良川特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          長良川特別　Ａ２　　長良川特別　長良川0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000400000000800000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,5,9,4,1,6,8,2                                                     207,3,4,5,9,1,8,6,2                                                     303,7,5,4,9,8,1,6,2                                                     403,5,(4,9),(1,7),(6,8),2                                               0
RAA20150516201505154703041180000東海クラウン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                            東海クラウン　Ａ１　東海クラウン東海ク0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    0000860000001720000008600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,5,6,3,1,4,2                                                       208,7,5,6,3,4,1,2                                                       308,7,(5,6),4,3,1,2                                                     407,8,(4,6),5,3,2,1                                                     0
RAA20150516201505154703040780000サラ系Ｃ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１０組　Ｃ１サラ系Ｃ１０サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,4,3,2,9,1,8,6                                                     205,7,3,4,2,9,1,8,6                                                     305,7,3,(4,9),2,(1,8),6                                                 407,5,3,9,4,2,(1,8),6                                                   0
RAA20150529201505284704031070000飛騨川特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          飛騨川特別　Ｃ１　　飛騨川特別　飛騨川0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000205000000410000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,6,1,8,4,5,3                                                       202,7,6,1,8,4,5,3                                                       302,7,6,1,8,5,4,3                                                       402,(1,7),6,8,5,4,3                                                     0
RAA20150515201505144703031070000サラ系Ｃ２組特選　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２組特選　Ｃサラ系Ｃ２組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000155000000310000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,9,8,7,6,1,3,5                                                     202,(4,9),(7,8),6,1,3,5                                                 309,7,2,(4,8),6,5,3,1                                                   409,7,2,4,8,6,5,3,1                                                     0
RAA20150526201505254704010840000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,1,4,3,7,6,2                                                         205,3,1,4,7,2,6                                                         305,3,1,4,7,6,2                                                         405,3,4,1,7,6,2                                                         0
RAA20150502201505014702061180000花吹雪特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          花吹雪特別　Ｃ１　　花吹雪特別　花吹雪0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000205000000410000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,4,2,8,6,9,7,5                                                     201,3,2,4,6,8,9,5,7                                                     301,3,9,4,2,8,6,5,7                                                     401,3,9,4,8,2,6,5,7                                                     0
RAA20150529201505284704030670000志田山健次生誕記念　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     志田山健次生誕記念　志田山健次生志田山0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,6,4,1,2,5                                                         203,7,6,4,1,2,5                                                         303,7,4,6,1,2,5                                                         403,7,4,1,6,2,5                                                         0
RAA20150515201505144703030170000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,2,8,7,6,3                                                       201,4,5,2,7,8,6,3                                                       304,1,5,8,7,2,3,6                                                       404,1,5,8,7,2,3,6                                                       0
RAA20150529201505274704020760000サラ系Ｂ４組　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ４組　Ｂ４　サラ系Ｂ４組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000155000000310000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,1,7,9,5,6,4,3                                                     208,2,1,7,9,5,6,4,3                                                     308,7,(1,9),2,5,(4,6),3                                                 40(7,8,9),1,2,5,(4,6),3                                                 0
